repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
golang/go,CLOSED,273.8338888888889,39,178,50,2287,3,59,1
golang/go,CLOSED,151.88666666666666,1,7,8,79,3,7,1
golang/go,CLOSED,8.250277777777777,1,6,2,381,3,1,1
golang/go,CLOSED,1017.1166666666667,2,91,1,524,3,33,1
golang/go,CLOSED,37.77611111111111,2,12,0,147,4,3,1
golang/go,CLOSED,140.56083333333333,1,15,1,0,3,26,1
golang/go,CLOSED,234.07972222222222,1,2,3,230,3,36,1
golang/go,CLOSED,7.546944444444445,1,1,1,12,3,13,1
golang/go,CLOSED,6707.790277777778,7,231,3,2118,3,85,1
golang/go,CLOSED,765.7352777777778,2,7,5,88,3,5,1
golang/go,CLOSED,2484.6455555555553,1,1,0,53,4,4,1
golang/go,CLOSED,24.71361111111111,1,2,2,249,3,10,1
golang/go,CLOSED,4123.017222222222,1,1,1,136,3,28,1
golang/go,CLOSED,170.23916666666668,3,248,4,12,3,60,1
golang/go,CLOSED,28.673333333333332,1,2,4,0,3,17,1
golang/go,CLOSED,28.759166666666665,1,3,12,0,3,16,1
golang/go,CLOSED,5623.583611111111,1,1,1,0,3,12,1
golang/go,CLOSED,12.736666666666666,23,30,30,22,4,16,3
golang/go,CLOSED,245.27027777777778,5,77,15,131,4,24,2
golang/go,CLOSED,1789.8316666666667,1,2,2,231,3,11,1
golang/go,CLOSED,74.82222222222222,1,1,1,355,3,17,1
golang/go,CLOSED,7249.8425,1,1,1,0,3,7,1
golang/go,CLOSED,2196.300277777778,4,59,25,1285,3,88,1
golang/go,CLOSED,4102.95,1,14,4,1935,3,7,1
golang/go,CLOSED,12243.200277777778,2,3,1,119,3,17,1
golang/go,CLOSED,77.92777777777778,1,3,3,0,3,11,1
golang/go,CLOSED,138.845,1,1,1,0,3,8,1
golang/go,CLOSED,11.331388888888888,2,7,1,12,3,20,1
golang/go,CLOSED,6.286666666666667,1,0,8,0,3,10,1
golang/go,CLOSED,46.85333333333333,1,15,2,80,2,5,1
golang/go,CLOSED,2.002222222222222,1,0,0,1211,2,1,2
golang/go,CLOSED,409.01944444444445,2,25,13,1145,2,8,1
golang/go,CLOSED,2953.2027777777776,1,26,7,205,3,45,2
golang/go,CLOSED,1790.3497222222222,3,48,1,274,3,25,1
golang/go,CLOSED,22.66138888888889,3,32,0,12,3,12,1
golang/go,CLOSED,151.715,2,7,1,117,3,15,1
golang/go,CLOSED,203.3125,4,5,2,111,3,37,1
golang/go,CLOSED,6439.566111111111,2,14,2,1175,3,28,1
golang/go,CLOSED,614.3102777777777,16,18,18,0,3,11,2
golang/go,CLOSED,229.22611111111112,1,2,3,161,3,6,1
golang/go,CLOSED,2839.1872222222223,2,14,1,115,3,35,1
golang/go,CLOSED,4314.0038888888885,1,1,1,148,3,21,1
golang/go,CLOSED,2064.311388888889,1,15,6,129,4,37,4
golang/go,CLOSED,42.35611111111111,1,6,0,37,3,7,1
golang/go,CLOSED,48.535555555555554,2,4,1,155,2,13,1
golang/go,CLOSED,43.63777777777778,1,1,6,13,4,7,1
golang/go,CLOSED,272.745,7,17,10,289,4,20,3
golang/go,CLOSED,121.44083333333333,2,21,1,391,3,23,2
golang/go,CLOSED,7.991666666666666,1,1,1,19,4,3,2
golang/go,CLOSED,28.942222222222224,1,2,2,0,4,6,2
golang/go,CLOSED,95.65527777777778,1,2,0,0,3,11,1
golang/go,CLOSED,3633.1383333333333,10,0,14,0,4,8,7
golang/go,CLOSED,5828.778888888889,11,29,25,195,2,3,1
golang/go,CLOSED,9549.294444444444,1,15,0,29,3,23,1
golang/go,CLOSED,860.0294444444445,1,3,3,36,3,1,1
golang/go,CLOSED,10877.3325,1,30,44,346,3,43,2
golang/go,CLOSED,3676.2761111111113,1,5,1,0,3,18,1
golang/go,CLOSED,2616.5555555555557,1,1,1,76,3,3,1
golang/go,CLOSED,9024.879166666668,1,1,1,0,3,10,1
golang/go,CLOSED,1329.675,6,737,371,686,3,10,1
golang/go,CLOSED,19272.533888888887,2,11,3,8835,4,7,4
golang/go,CLOSED,4420.205555555555,4,21,0,27,2,8,3
golang/go,CLOSED,19964.102222222224,2,2,2,27,4,4,2
golang/go,CLOSED,24465.55,1,1,1,14,3,8,1
golang/go,CLOSED,20167.369166666667,2,12,3,167,4,3,1
golang/go,CLOSED,10.923333333333334,1,6,2,476,3,6,1
golang/go,CLOSED,17.414444444444445,1,9,5,183,4,11,1
golang/go,CLOSED,20414.294444444444,2,17,0,359,4,8,1
golang/go,CLOSED,5612.841388888889,1,5,0,182,3,15,2
golang/go,CLOSED,11426.670555555556,1,2,2,133,3,14,1
golang/go,CLOSED,21528.30222222222,3,3,3,181,4,1,1
golang/go,CLOSED,167.93055555555554,4,96,46,12,3,13,1
golang/go,CLOSED,259.0177777777778,1,8,1,12,3,5,1
golang/go,CLOSED,15.3175,1,3,0,12,4,13,1
golang/go,CLOSED,176.87166666666667,2,2,2,105,3,16,1
golang/go,CLOSED,4776.315,2,44,0,280,3,4,1
golang/go,CLOSED,1877.4247222222223,2,100,106,191,3,9,2
golang/go,CLOSED,157.27,2,78,2,12,3,50,4
golang/go,CLOSED,104.55555555555556,1,1,1,0,3,6,1
golang/go,CLOSED,3159.7955555555554,2,8,0,396,3,14,1
golang/go,CLOSED,24702.89138888889,2,17,10,261,2,24,1
golang/go,CLOSED,25765.595833333333,1,16,0,1732,5,5,1
golang/go,CLOSED,1.636111111111111,1,4,5,62,2,4,1
golang/go,CLOSED,10339.981944444444,2,5,1,141,3,21,1
golang/go,CLOSED,3905.8708333333334,2,55,0,307,3,22,1
golang/go,CLOSED,30.890555555555554,2,46,0,18,3,6,1
golang/go,CLOSED,3018.7069444444446,1,1,1,30,4,5,1
golang/go,CLOSED,13558.676111111112,4,151,20,319,4,19,1
golang/go,CLOSED,3832.821388888889,1,1,1,134,3,12,1
golang/go,CLOSED,20665.076944444445,1,31,6,854,3,7,4
golang/go,CLOSED,300.035,1,8,6,14,2,14,1
golang/go,CLOSED,60.618611111111115,1,3,3,44,2,8,1
golang/go,CLOSED,376.9861111111111,1,8,0,1211,3,2,1
golang/go,CLOSED,30194.6375,3,255,45,4718,4,23,1
golang/go,CLOSED,1677.9444444444443,2,69,0,12,3,10,3
golang/go,CLOSED,35.43944444444445,1,4,0,12,3,2,1
golang/go,CLOSED,2316.1141666666667,1,15,10,148,3,3,1
golang/go,CLOSED,484.3436111111111,1,3,2,158,3,1,1
golang/go,CLOSED,6481.475277777778,1,1,1,12,3,1,1
golang/go,CLOSED,48.44722222222222,1,1,1,0,3,8,1
golang/go,CLOSED,32030.46111111111,1,2,1,208,4,6,1
golang/go,CLOSED,32597.835277777776,1,4,4,0,4,4,1
golang/go,CLOSED,6.457777777777777,2,2,2,9,4,5,2
golang/go,CLOSED,32676.646666666667,1,7,7,74,4,1,1
golang/go,CLOSED,32645.58,1,2,2,132,3,7,1
golang/go,CLOSED,305.38944444444445,1,1,2,24,3,13,1
golang/go,CLOSED,18.1325,1,1,1,0,3,5,1
