repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
goldbergyoni/nodebestpractices,MERGED,12635.180277777778,1,1,1,85,2,7,1
goldbergyoni/nodebestpractices,MERGED,153.825,1,7,7,9,3,4,1
goldbergyoni/nodebestpractices,MERGED,498.47194444444443,2,10,7,70,2,1,1
goldbergyoni/nodebestpractices,MERGED,51.46111111111111,1,1925,0,174,2,0,1
goldbergyoni/nodebestpractices,MERGED,24.01638888888889,1,1,1,12,3,0,1
goldbergyoni/nodebestpractices,MERGED,126.54527777777778,1,16,16,0,3,0,1
goldbergyoni/nodebestpractices,MERGED,16.33361111111111,1,1,1,26,3,0,1
goldbergyoni/nodebestpractices,MERGED,38.31444444444445,2,5,4,34,2,0,1
goldbergyoni/nodebestpractices,MERGED,2456.325,1,2,1,0,3,1,1
goldbergyoni/nodebestpractices,MERGED,21.68777777777778,13,420,243,44,3,1,5
goldbergyoni/nodebestpractices,CLOSED,193.27833333333334,1,31,3,0,2,0,1
goldbergyoni/nodebestpractices,CLOSED,193.4686111111111,1,15,3,0,2,0,1
goldbergyoni/nodebestpractices,MERGED,83.56194444444445,1,0,0,106,3,1,1
goldbergyoni/nodebestpractices,CLOSED,149.2125,1,1,1,16,3,1,2
goldbergyoni/nodebestpractices,MERGED,265.3888888888889,10,2,1290,154,3,1,1
goldbergyoni/nodebestpractices,MERGED,265.64194444444445,1,1,1,0,1,0,1
goldbergyoni/nodebestpractices,MERGED,172.57194444444445,1,2,2,51,3,4,1
goldbergyoni/nodebestpractices,MERGED,36.95666666666666,1,1,1,0,2,0,3
goldbergyoni/nodebestpractices,MERGED,43.84222222222222,7,1163,1147,99,1,0,1
goldbergyoni/nodebestpractices,MERGED,33.088055555555556,2,2,2,0,3,2,1
goldbergyoni/nodebestpractices,MERGED,2212.0280555555555,3,7,7,0,3,2,2
goldbergyoni/nodebestpractices,MERGED,23.309722222222224,1,1,1,0,3,1,1
goldbergyoni/nodebestpractices,MERGED,814.9394444444445,1,1,1,0,3,0,3
goldbergyoni/nodebestpractices,MERGED,347.4925,9,9,9,102,3,3,1
goldbergyoni/nodebestpractices,MERGED,863.5938888888888,1,2,2,198,2,1,1
goldbergyoni/nodebestpractices,CLOSED,1663.2033333333334,7,1505,1477,103,2,4,2
goldbergyoni/nodebestpractices,MERGED,18.27638888888889,12,89,121,17241,5,2,1
goldbergyoni/nodebestpractices,MERGED,921.0166666666667,7,1503,1476,97,1,0,1
goldbergyoni/nodebestpractices,CLOSED,1064.5691666666667,1,1,4,54,3,1,1
goldbergyoni/nodebestpractices,CLOSED,1067.1541666666667,1,1,1,43,3,1,1
goldbergyoni/nodebestpractices,MERGED,22.266944444444444,2,1,1,114,3,2,1
goldbergyoni/nodebestpractices,CLOSED,13324.912777777778,4,122,122,68,5,1,3
goldbergyoni/nodebestpractices,MERGED,11.109444444444444,1,0,1,326,2,0,1
goldbergyoni/nodebestpractices,MERGED,11.323055555555555,7,27,0,97,2,3,1
goldbergyoni/nodebestpractices,MERGED,2856.1369444444445,1,1,1,0,1,0,2
goldbergyoni/nodebestpractices,MERGED,344.81111111111113,1,78,29,0,3,4,1
goldbergyoni/nodebestpractices,MERGED,200.06527777777777,2,31,0,24,2,0,5
goldbergyoni/nodebestpractices,MERGED,8.398333333333333,1,3,2,91,2,2,1
goldbergyoni/nodebestpractices,MERGED,249.99416666666667,7,16,0,100,2,1,2
goldbergyoni/nodebestpractices,MERGED,250.2097222222222,1,1,1,0,1,0,1
goldbergyoni/nodebestpractices,MERGED,19.569444444444443,1,1,1,0,3,1,1
goldbergyoni/nodebestpractices,MERGED,612.4441666666667,54,3,15,0,4,4,1
goldbergyoni/nodebestpractices,CLOSED,860.9330555555556,1,4,3,40,2,0,4
goldbergyoni/nodebestpractices,MERGED,233.03194444444443,7,15,0,90,1,0,1
goldbergyoni/nodebestpractices,MERGED,233.07833333333335,1,1,1,0,2,0,1
goldbergyoni/nodebestpractices,MERGED,11.469166666666666,8,10,10,33,3,2,1
goldbergyoni/nodebestpractices,MERGED,268.6897222222222,1,1,1,0,3,1,1
goldbergyoni/nodebestpractices,CLOSED,6.980833333333333,9,302,302,409,2,1,1
goldbergyoni/nodebestpractices,MERGED,456.0838888888889,7,1167,956,96,1,0,1
goldbergyoni/nodebestpractices,MERGED,19.538611111111113,1,1,1,24,3,6,2
goldbergyoni/nodebestpractices,MERGED,16.1925,1,1,1,0,2,0,1
goldbergyoni/nodebestpractices,MERGED,40.46805555555556,4,85,12,188,2,2,1
goldbergyoni/nodebestpractices,MERGED,4.801111111111111,1,1,3,0,2,0,1
goldbergyoni/nodebestpractices,MERGED,2.161111111111111,2,10,0,93,1,0,1
goldbergyoni/nodebestpractices,MERGED,3.4691666666666667,1,3,3,110,2,3,1
goldbergyoni/nodebestpractices,MERGED,98.38027777777778,1,13,3,17,2,0,2
goldbergyoni/nodebestpractices,MERGED,618.7113888888889,8,86,17,890,4,4,8
goldbergyoni/nodebestpractices,MERGED,614.2122222222222,1,2,1,35,3,2,1
goldbergyoni/nodebestpractices,MERGED,312.8433333333333,1,1,1,0,1,0,1
goldbergyoni/nodebestpractices,MERGED,10.753055555555555,1,14,3,17,2,1,1
goldbergyoni/nodebestpractices,CLOSED,3237.2833333333333,3,46,49,0,2,0,1
goldbergyoni/nodebestpractices,MERGED,8.119444444444444,1,1,1,0,2,0,1
goldbergyoni/nodebestpractices,MERGED,287.27222222222224,3,14,16,0,2,2,1
goldbergyoni/nodebestpractices,MERGED,34.54638888888889,1,1,1,50,3,2,1
goldbergyoni/nodebestpractices,MERGED,1182.7675,1,1,1,96,3,2,1
goldbergyoni/nodebestpractices,MERGED,1832.3280555555555,10,777,101,0,3,3,7
goldbergyoni/nodebestpractices,MERGED,1920.5408333333332,1,0,2,0,3,1,1
goldbergyoni/nodebestpractices,MERGED,1920.6352777777777,1,6,0,0,3,1,1
goldbergyoni/nodebestpractices,MERGED,6.770277777777777,1,1,1,0,2,0,1
goldbergyoni/nodebestpractices,MERGED,4713.6475,18,591,92,40,3,6,9
goldbergyoni/nodebestpractices,MERGED,15.501388888888888,1,1,1,0,2,1,1
goldbergyoni/nodebestpractices,MERGED,37.312222222222225,1,1,1,0,2,0,1
goldbergyoni/nodebestpractices,MERGED,5.229722222222223,1,0,1,0,2,0,1
goldbergyoni/nodebestpractices,MERGED,52.25361111111111,1,1,1,50,3,2,1
goldbergyoni/nodebestpractices,MERGED,21.42,1,1,1,332,4,4,2
goldbergyoni/nodebestpractices,CLOSED,4067.2644444444445,25,652,318,0,4,4,1
goldbergyoni/nodebestpractices,MERGED,243.10805555555555,1,1,1,20,4,2,1
goldbergyoni/nodebestpractices,MERGED,2486.466388888889,20,757,169,53,3,6,12
goldbergyoni/nodebestpractices,CLOSED,8.384722222222223,1,56,54,23,2,1,1
goldbergyoni/nodebestpractices,MERGED,413.74833333333333,2,15,15,0,3,3,11
goldbergyoni/nodebestpractices,MERGED,413.02694444444444,10,447,49,102,3,2,4
goldbergyoni/nodebestpractices,MERGED,671.6194444444444,1,171,15,307,4,10,5
goldbergyoni/nodebestpractices,MERGED,850.9452777777777,1,119,0,49,3,3,2
goldbergyoni/nodebestpractices,MERGED,1361.5280555555555,4,4,4,96,2,3,1
goldbergyoni/nodebestpractices,MERGED,1257.121388888889,1,1,1,0,2,0,1
goldbergyoni/nodebestpractices,MERGED,1843.2247222222222,1,26,9,122,5,4,13
goldbergyoni/nodebestpractices,MERGED,15.018055555555556,1,1,1,0,2,0,1
goldbergyoni/nodebestpractices,MERGED,28.54277777777778,1,2,3,0,2,0,1
goldbergyoni/nodebestpractices,MERGED,80.51555555555555,5,226,0,185,3,5,7
goldbergyoni/nodebestpractices,MERGED,58.049166666666665,1,1,1,137,3,3,3
goldbergyoni/nodebestpractices,MERGED,286.1922222222222,1,1,1,0,1,0,1
goldbergyoni/nodebestpractices,MERGED,368.7863888888889,1,3,3,93,2,2,1
goldbergyoni/nodebestpractices,MERGED,8.988333333333333,1,3,3,0,2,2,1
goldbergyoni/nodebestpractices,MERGED,162.295,90,155,155,61,2,0,2
goldbergyoni/nodebestpractices,MERGED,36.1775,89,1708,0,0,2,0,1
goldbergyoni/nodebestpractices,MERGED,364.7275,41,1918,414,196,3,7,35
goldbergyoni/nodebestpractices,MERGED,86.48138888888889,3,106,0,0,3,3,6
goldbergyoni/nodebestpractices,MERGED,4.262777777777778,1,8,7,30,2,0,1
goldbergyoni/nodebestpractices,MERGED,22.84611111111111,4,10,10,238,2,0,1
goldbergyoni/nodebestpractices,MERGED,4.538611111111111,4,4,0,398,2,0,1
goldbergyoni/nodebestpractices,MERGED,2.1869444444444444,2,10,0,95,1,0,1
goldbergyoni/nodebestpractices,MERGED,152.42777777777778,1,1,1,74,4,4,2
goldbergyoni/nodebestpractices,MERGED,28.91027777777778,1,1,1,0,4,3,1
goldbergyoni/nodebestpractices,MERGED,21.28638888888889,132,1064,1064,311,3,0,1
goldbergyoni/nodebestpractices,CLOSED,5403.015,1,2,2,102,4,4,1
goldbergyoni/nodebestpractices,MERGED,156.04444444444445,581,37456,2898,65,24,1,1
goldbergyoni/nodebestpractices,MERGED,151.4911111111111,10,36,36,1762,2,3,3
goldbergyoni/nodebestpractices,MERGED,10.465,1,1,1,243,2,0,1
goldbergyoni/nodebestpractices,MERGED,46.05972222222222,1,1,1,0,1,0,1
goldbergyoni/nodebestpractices,MERGED,13.676666666666666,28,127,125,470,2,0,1
goldbergyoni/nodebestpractices,MERGED,4.365,1,1,1,0,2,2,1
goldbergyoni/nodebestpractices,CLOSED,1455.7736111111112,10,354,11,52,4,2,2
goldbergyoni/nodebestpractices,MERGED,212.05833333333334,13,78,30,11,2,0,1
goldbergyoni/nodebestpractices,MERGED,227.86083333333335,2,3,3,96,3,0,2
