repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
google-gemini/gemini-cli,MERGED,2.1069444444444443,2,7,7,268,2,2,2
google-gemini/gemini-cli,MERGED,1.2077777777777778,10,709,132,165,5,2,3
google-gemini/gemini-cli,MERGED,10.87861111111111,3,43,19,271,3,6,3
google-gemini/gemini-cli,MERGED,14.387222222222222,4,48,77,200,2,2,2
google-gemini/gemini-cli,MERGED,2.055277777777778,2,6,0,282,2,2,2
google-gemini/gemini-cli,MERGED,5.674444444444444,2,6,6,834,3,2,3
google-gemini/gemini-cli,MERGED,24.808055555555555,12,38,15,929,3,3,3
google-gemini/gemini-cli,MERGED,27.52111111111111,3,200,1,585,3,4,4
google-gemini/gemini-cli,MERGED,1.2847222222222223,1,1,0,59,2,2,2
google-gemini/gemini-cli,CLOSED,1.2308333333333332,2,6,0,165,2,1,1
google-gemini/gemini-cli,MERGED,24.661944444444444,1,5,5,927,3,2,2
google-gemini/gemini-cli,CLOSED,53.03888888888889,1,126,129,1188,2,1,5
google-gemini/gemini-cli,MERGED,39.01777777777778,1,2,12,156,2,1,1
google-gemini/gemini-cli,MERGED,6.21,10,310,292,1160,2,2,10
google-gemini/gemini-cli,MERGED,95.4275,3,26,8,564,3,2,5
google-gemini/gemini-cli,MERGED,94.85027777777778,20,486,26,1588,3,4,5
google-gemini/gemini-cli,MERGED,12.329722222222221,1,1,1,30,2,2,2
google-gemini/gemini-cli,MERGED,2.210277777777778,2,91,2,170,2,2,2
google-gemini/gemini-cli,MERGED,1.5327777777777778,2,19,15,400,2,2,3
google-gemini/gemini-cli,MERGED,17.62388888888889,4,92,102,1187,3,1,6
google-gemini/gemini-cli,MERGED,17.511388888888888,2,69,0,620,2,2,1
google-gemini/gemini-cli,MERGED,1.4483333333333333,4,19,19,97,3,2,3
google-gemini/gemini-cli,MERGED,20.816111111111113,7,162,139,3507,2,3,3
google-gemini/gemini-cli,CLOSED,1.54,7,15,15,43,2,2,1
google-gemini/gemini-cli,CLOSED,1.7322222222222223,7,15,15,43,2,2,1
google-gemini/gemini-cli,MERGED,23.55638888888889,2,195,47,1118,4,5,8
google-gemini/gemini-cli,MERGED,4.485277777777778,6,247,34,2177,2,3,7
google-gemini/gemini-cli,MERGED,2.413611111111111,5,57,22,1646,2,2,4
google-gemini/gemini-cli,MERGED,8.307222222222222,7,170,98,272,3,2,5
google-gemini/gemini-cli,MERGED,121.3411111111111,4,646,46,685,4,4,5
google-gemini/gemini-cli,MERGED,15.667222222222222,2,97,0,162,3,3,1
google-gemini/gemini-cli,MERGED,23.195833333333333,2,6,5,346,2,1,1
google-gemini/gemini-cli,MERGED,3.1036111111111113,6,71,4,427,2,2,3
google-gemini/gemini-cli,MERGED,20.549444444444443,4,661,513,2228,2,3,10
google-gemini/gemini-cli,MERGED,117.96083333333333,1,1,2,669,2,3,2
google-gemini/gemini-cli,MERGED,19.77611111111111,3,5,2,901,2,2,4
google-gemini/gemini-cli,MERGED,46.691944444444445,2,6,11,304,2,1,3
google-gemini/gemini-cli,MERGED,19.647222222222222,1,2,2,0,2,2,1
google-gemini/gemini-cli,MERGED,20.613888888888887,1,1,0,507,3,1,2
google-gemini/gemini-cli,MERGED,23.322777777777777,2,90,0,735,2,3,2
google-gemini/gemini-cli,MERGED,22.385833333333334,1,48,29,818,3,2,6
google-gemini/gemini-cli,MERGED,19.359444444444446,2,13,2,495,2,2,3
google-gemini/gemini-cli,MERGED,21.969722222222224,1,20,2,261,2,2,3
google-gemini/gemini-cli,MERGED,48.165277777777774,3,133,16,1102,3,2,16
google-gemini/gemini-cli,MERGED,6.845277777777778,7,76,6,226,2,3,4
google-gemini/gemini-cli,MERGED,5.829166666666667,6,517,28,1779,2,3,8
google-gemini/gemini-cli,MERGED,27.995833333333334,1,1,2,349,2,3,2
google-gemini/gemini-cli,MERGED,6.720555555555555,2,86,1,260,2,1,7
google-gemini/gemini-cli,MERGED,172.13888888888889,2,46,40,391,2,1,3
google-gemini/gemini-cli,MERGED,36.66,1,1,1,458,3,1,3
google-gemini/gemini-cli,CLOSED,37.24777777777778,6,214,6,2278,2,3,2
google-gemini/gemini-cli,MERGED,134.74333333333334,9,442,7,399,5,1,4
google-gemini/gemini-cli,MERGED,1.31,8,27,0,216,3,1,2
google-gemini/gemini-cli,MERGED,18.311666666666667,4,272,34,701,2,1,1
google-gemini/gemini-cli,MERGED,20.780277777777776,13,597,359,1018,2,8,20
google-gemini/gemini-cli,MERGED,45.5725,2,29,1,549,2,1,2
google-gemini/gemini-cli,CLOSED,71.31305555555555,1,142,0,177,2,3,8
google-gemini/gemini-cli,CLOSED,3.7802777777777776,1,33,10,725,2,5,3
google-gemini/gemini-cli,MERGED,3.311111111111111,2,42,25,526,2,2,5
google-gemini/gemini-cli,CLOSED,32.0775,130,4931,3724,1513,18,1,1
google-gemini/gemini-cli,MERGED,1.8419444444444444,1,7,4,401,2,3,3
google-gemini/gemini-cli,MERGED,29.225277777777777,2,116,48,803,3,4,5
google-gemini/gemini-cli,MERGED,3.0302777777777776,1,38,0,32,2,2,2
google-gemini/gemini-cli,CLOSED,57.48861111111111,7,15,15,43,3,2,2
google-gemini/gemini-cli,CLOSED,88.73194444444445,3,31,3,2139,2,4,1
google-gemini/gemini-cli,MERGED,33.56472222222222,5,677,657,880,4,2,17
google-gemini/gemini-cli,MERGED,16.4525,2,59,0,254,3,2,3
google-gemini/gemini-cli,MERGED,26.388055555555557,2,41,23,352,2,3,5
google-gemini/gemini-cli,MERGED,1.4144444444444444,2,89,0,357,2,2,4
google-gemini/gemini-cli,MERGED,50.176944444444445,37,1256,623,1322,3,1,2
google-gemini/gemini-cli,CLOSED,90.34777777777778,2,38,0,182,1,2,1
google-gemini/gemini-cli,MERGED,18.529444444444444,3,15,7,390,2,1,1
google-gemini/gemini-cli,MERGED,1.2266666666666666,14,313,51,1194,2,2,3
google-gemini/gemini-cli,MERGED,73.87333333333333,2,41,24,2263,3,1,3
google-gemini/gemini-cli,MERGED,21.964166666666667,2,98,0,1699,4,1,4
google-gemini/gemini-cli,MERGED,25.359166666666667,8,55,22,288,3,2,8
google-gemini/gemini-cli,MERGED,3.2725,1,0,9,65,4,1,3
google-gemini/gemini-cli,MERGED,21.676666666666666,3,38,2,1226,2,2,3
google-gemini/gemini-cli,MERGED,32.117222222222225,4,150,6,246,2,1,16
google-gemini/gemini-cli,MERGED,102.90388888888889,8,250,63,548,2,1,2
google-gemini/gemini-cli,CLOSED,64.4025,3,66,56,1687,2,3,2
google-gemini/gemini-cli,MERGED,33.72027777777778,1,2,2,336,3,2,2
google-gemini/gemini-cli,MERGED,24.0325,26,263,112,846,2,3,2
google-gemini/gemini-cli,MERGED,9.163333333333334,2,3,3,493,2,1,1
google-gemini/gemini-cli,MERGED,21.928333333333335,4,153,4,870,2,1,1
google-gemini/gemini-cli,CLOSED,71.7838888888889,4,17,17,457,1,2,2
google-gemini/gemini-cli,MERGED,69.72222222222223,12,987,1227,1329,2,4,4
google-gemini/gemini-cli,MERGED,1.5919444444444444,4,6,159,13,3,2,3
google-gemini/gemini-cli,MERGED,1.0522222222222222,3,9,7,27,3,2,2
google-gemini/gemini-cli,MERGED,20.500555555555554,2,276,138,1727,2,1,4
google-gemini/gemini-cli,CLOSED,20.825,2,98,18,1391,2,3,6
google-gemini/gemini-cli,MERGED,64.27305555555556,12,1264,212,1119,2,2,3
google-gemini/gemini-cli,MERGED,120.78138888888888,14,351,38,2543,2,2,9
google-gemini/gemini-cli,CLOSED,2.999722222222222,4,54,32,457,3,4,2
google-gemini/gemini-cli,MERGED,1.1175,1,69,0,147,3,2,3
google-gemini/gemini-cli,MERGED,2.968888888888889,1,2,11,353,5,3,3
google-gemini/gemini-cli,MERGED,69.67833333333333,2,2,3,1171,2,1,1
google-gemini/gemini-cli,MERGED,27.076666666666668,7,295,98,967,2,3,6
google-gemini/gemini-cli,MERGED,2.421666666666667,5,99,309,6456,3,3,3
google-gemini/gemini-cli,MERGED,101.66472222222222,2,262,0,221,2,1,5
google-gemini/gemini-cli,MERGED,6.810555555555555,3,25,3,602,3,2,2
google-gemini/gemini-cli,MERGED,20.078055555555554,8,290,464,206,5,2,14
google-gemini/gemini-cli,MERGED,96.0175,2,49,21,669,2,3,3
google-gemini/gemini-cli,MERGED,113.08194444444445,1,47,33,491,3,2,2
google-gemini/gemini-cli,MERGED,94.91555555555556,8,440,32,234,2,2,8
google-gemini/gemini-cli,MERGED,119.87555555555555,14,2746,0,3338,3,2,19
google-gemini/gemini-cli,CLOSED,96.62305555555555,3,25,4,408,1,3,3
google-gemini/gemini-cli,MERGED,119.25083333333333,2,46,7,219,4,2,5
google-gemini/gemini-cli,MERGED,5.060833333333333,5,141,158,603,3,3,5
google-gemini/gemini-cli,MERGED,4.341666666666667,2,3,3,455,2,2,4
google-gemini/gemini-cli,MERGED,1.2727777777777778,3,35,30,1252,3,2,9
google-gemini/gemini-cli,MERGED,9.446666666666667,3,73,16,303,2,2,2
google-gemini/gemini-cli,MERGED,22.184166666666666,3,48,269,2354,14,2,3
google-gemini/gemini-cli,MERGED,132.85861111111112,2,131,1,2615,2,1,5
google-gemini/gemini-cli,CLOSED,140.1886111111111,0,0,0,2314,2,2,3
google-gemini/gemini-cli,MERGED,13.93361111111111,2,22,1,560,2,1,1
google-gemini/gemini-cli,MERGED,15.030277777777778,3,44,1,272,2,2,2
google-gemini/gemini-cli,MERGED,21.476666666666667,9,280,6,310,2,2,2
google-gemini/gemini-cli,CLOSED,1.0180555555555555,5,1,70,13,2,1,1
google-gemini/gemini-cli,MERGED,41.521388888888886,2,123,110,963,2,1,1
google-gemini/gemini-cli,MERGED,46.18222222222222,4,159,6,721,3,1,7
google-gemini/gemini-cli,MERGED,22.576944444444443,1,2,2,486,2,1,1
google-gemini/gemini-cli,MERGED,1.4358333333333333,5,70,1,694,4,2,4
google-gemini/gemini-cli,MERGED,21.065,14,279,74,633,2,7,2
google-gemini/gemini-cli,MERGED,2.053611111111111,3,9,4,686,2,1,1
