repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
grafana/grafana,MERGED,2.548611111111111,2,4,0,740,3,2,2
grafana/grafana,MERGED,1.0241666666666667,63,647,617,298,2,2,1
grafana/grafana,MERGED,2.169722222222222,75,821,683,298,2,4,1
grafana/grafana,MERGED,2.4227777777777777,6,1191,12,272,2,1,3
grafana/grafana,MERGED,1.9958333333333333,80,597,442,298,2,1,1
grafana/grafana,MERGED,7.758055555555556,2,173,7,332,2,1,1
grafana/grafana,MERGED,7.534166666666667,5,152,23,178,2,1,1
grafana/grafana,MERGED,10.053611111111111,18,396,54,297,0,1,1
grafana/grafana,MERGED,14.3375,1,1,1,1329,3,3,1
grafana/grafana,MERGED,14.925555555555556,1,1,0,229,2,1,1
grafana/grafana,MERGED,19.762777777777778,13,359,214,1076,2,2,4
grafana/grafana,MERGED,11.355,1,47,56,221,2,3,1
grafana/grafana,CLOSED,17.81,5,7,2,564,15,1,1
grafana/grafana,MERGED,21.392777777777777,15,141,15,1669,2,1,1
grafana/grafana,MERGED,24.5425,5,145,1,527,3,3,1
grafana/grafana,MERGED,20.5775,3,5,3,514,2,1,1
grafana/grafana,MERGED,1.3575,1,13,7,49,2,3,1
grafana/grafana,MERGED,1.2527777777777778,2,25,30,147,3,1,3
grafana/grafana,MERGED,2.1669444444444443,1,1,1,325,2,2,1
grafana/grafana,MERGED,2.088611111111111,1,13,7,18,2,2,1
grafana/grafana,MERGED,29.313055555555554,3,4,4,577,2,1,1
grafana/grafana,MERGED,10.092777777777778,1,1,1,47,2,3,1
grafana/grafana,MERGED,19.30472222222222,1,11,1,329,2,1,1
grafana/grafana,MERGED,5.310277777777777,2,706,0,230,1,4,1
grafana/grafana,MERGED,17.907222222222224,1,17,6,599,2,1,4
grafana/grafana,MERGED,24.672777777777778,1,19,0,438,2,2,1
grafana/grafana,MERGED,1.1177777777777778,3,8,13,384,2,1,1
grafana/grafana,MERGED,23.38111111111111,3,33,5,1994,2,1,8
grafana/grafana,MERGED,2.437777777777778,6,192,15,235,2,1,2
grafana/grafana,MERGED,1.8836111111111111,8,23,22,162,3,4,1
grafana/grafana,MERGED,1.1794444444444445,5,47,70,31,2,1,1
grafana/grafana,CLOSED,49.66416666666667,1,3,0,491,4,1,3
grafana/grafana,MERGED,1.9241666666666666,1,1,1,627,2,2,1
grafana/grafana,MERGED,6.819444444444445,49,232,782,499,2,1,1
grafana/grafana,MERGED,11.642222222222221,2,3,2,110,2,1,1
grafana/grafana,MERGED,58.45916666666667,1,1,1,21,3,3,1
grafana/grafana,MERGED,65.42888888888889,1,1,1,542,2,2,1
grafana/grafana,MERGED,8.555555555555555,2,0,87,445,2,1,1
grafana/grafana,MERGED,13.649444444444445,84,551,178,897,2,1,1
grafana/grafana,MERGED,15.588055555555556,1,1,0,1028,2,1,1
grafana/grafana,MERGED,1.5352777777777777,2,55,4,944,2,1,1
grafana/grafana,MERGED,94.63111111111111,17,76,318,456,2,1,3
grafana/grafana,MERGED,70.18027777777777,2,27,5,255,2,2,1
grafana/grafana,MERGED,1.1072222222222223,8,32,17,676,2,1,1
grafana/grafana,MERGED,94.34527777777778,1,3,2,95,2,1,1
grafana/grafana,MERGED,70.70222222222222,2,11,19,112,2,5,1
grafana/grafana,MERGED,1.5497222222222222,5,136,12,564,3,1,2
grafana/grafana,MERGED,70.9975,3,27,23,112,2,5,1
grafana/grafana,MERGED,70.69888888888889,61,170,156,564,2,0,2
grafana/grafana,MERGED,71.1025,5,349,26,112,2,5,1
grafana/grafana,MERGED,1.2875,12,151,26,1876,4,7,4
grafana/grafana,MERGED,116.89583333333333,2,8,5,635,2,7,1
grafana/grafana,MERGED,68.77666666666667,5,35,3,172,2,1,1
grafana/grafana,MERGED,120.98666666666666,3,6,6,583,2,1,1
grafana/grafana,MERGED,4.114722222222222,5,31,0,31,2,1,1
grafana/grafana,MERGED,73.85111111111111,5,348,24,112,2,2,1
grafana/grafana,MERGED,2.5505555555555555,4,337,25,112,2,2,1
grafana/grafana,MERGED,80.11416666666666,43,826,335,84,2,2,8
grafana/grafana,MERGED,70.05,7,244,31,682,3,1,5
grafana/grafana,MERGED,28.16111111111111,18,169,165,156,2,1,4
grafana/grafana,MERGED,95.02416666666667,3,4,0,626,4,1,3
