repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
hakimel/reveal.js,MERGED,80.27444444444444,7,10,10,209,2,2,5
hakimel/reveal.js,CLOSED,494.7,1,7,0,203,2,1,1
hakimel/reveal.js,MERGED,1502.0472222222222,2,7,2,138,3,3,1
hakimel/reveal.js,CLOSED,6842.524722222222,3,6,5,377,1,0,1
hakimel/reveal.js,MERGED,33.819722222222225,1,1,1,73,2,1,1
hakimel/reveal.js,MERGED,3499.2191666666668,4,13,4,267,2,2,1
hakimel/reveal.js,MERGED,4160.035555555555,1,1,1,0,3,0,1
hakimel/reveal.js,CLOSED,8494.465555555556,7,31,19,346,3,3,1
hakimel/reveal.js,CLOSED,1.0016666666666667,1,6,0,77,1,0,1
hakimel/reveal.js,MERGED,117.84388888888888,1,7,1,376,4,3,1
hakimel/reveal.js,CLOSED,892.7186111111112,2,10296,88,328,5,1,3
hakimel/reveal.js,CLOSED,1441.4205555555557,1,1,1,21,5,1,3
hakimel/reveal.js,MERGED,2605.3966666666665,2,15,5,3199,4,6,1
hakimel/reveal.js,CLOSED,2186.2708333333335,1,10,0,44,5,1,3
hakimel/reveal.js,CLOSED,3736.362777777778,1,9,0,62,4,2,4
hakimel/reveal.js,CLOSED,3861.8166666666666,1,21,0,0,3,1,1
