repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
home-assistant/core,MERGED,1.4697222222222222,5,30,16,1927,4,5,5
home-assistant/core,MERGED,1.7908333333333333,1,14,3,1950,5,1,2
home-assistant/core,CLOSED,3.283333333333333,1,5,5,2028,1,1,1
home-assistant/core,MERGED,3.5933333333333333,3,615,0,1920,3,0,6
home-assistant/core,MERGED,5.684722222222222,1,2,2,5117,2,1,1
home-assistant/core,MERGED,7.896944444444444,3,3,3,2028,3,1,1
home-assistant/core,MERGED,1.5505555555555555,3,3,3,2055,3,0,2
home-assistant/core,MERGED,16.720555555555556,2,3,3,1744,4,3,2
home-assistant/core,MERGED,1.6847222222222222,1,1,1,1992,2,0,2
home-assistant/core,MERGED,2.963611111111111,3,3,3,1788,3,0,2
home-assistant/core,MERGED,5.446666666666666,5,14,155,2012,2,1,4
home-assistant/core,MERGED,16.224444444444444,3,64,9,2051,2,0,2
home-assistant/core,MERGED,3.1508333333333334,1,11,0,1910,3,1,2
home-assistant/core,MERGED,3.6886111111111113,7,7,6,2131,3,1,2
home-assistant/core,MERGED,7.513888888888889,2,31,1,3410,6,5,2
home-assistant/core,MERGED,4.083611111111111,1,0,34,1933,3,1,2
home-assistant/core,MERGED,5.344166666666666,1,4,0,2557,2,1,1
home-assistant/core,MERGED,5.927222222222222,1,0,1,2394,2,1,2
home-assistant/core,MERGED,6.355833333333333,1,4,6,1886,2,0,1
home-assistant/core,MERGED,18.158055555555556,4,152,17,2455,3,4,17
home-assistant/core,MERGED,1.2419444444444445,2,0,81,2075,2,0,2
home-assistant/core,MERGED,15.268611111111111,4,4,4,2288,3,0,2
home-assistant/core,MERGED,25.049722222222222,4,137,47,2142,4,1,3
home-assistant/core,MERGED,13.137777777777778,2,6,4,1947,3,1,1
home-assistant/core,MERGED,1.9336111111111112,2,2,1,1732,2,0,2
home-assistant/core,MERGED,1.533611111111111,1,1,1,2306,3,1,5
home-assistant/core,MERGED,7.9125,16,287,79,2859,4,1,2
home-assistant/core,MERGED,1.0652777777777778,4,5,5,2016,2,1,2
home-assistant/core,MERGED,1.8597222222222223,3,34,18,1947,3,1,3
home-assistant/core,MERGED,6.349722222222222,1,1,1,1811,3,16,1
home-assistant/core,MERGED,23.60388888888889,7,283,0,2104,2,7,1
home-assistant/core,MERGED,4.153333333333333,8,261,182,1925,4,3,2
home-assistant/core,MERGED,8.498888888888889,2,89,5,1926,2,1,2
home-assistant/core,MERGED,11.840555555555556,2,14,14,2218,5,1,5
home-assistant/core,MERGED,2.266388888888889,3,3,3,1960,3,2,2
home-assistant/core,MERGED,12.335833333333333,3,50,50,2071,5,3,5
home-assistant/core,MERGED,2.2580555555555555,2,4,4,2049,2,1,2
home-assistant/core,CLOSED,3.5391666666666666,1,6,1,2055,2,0,3
home-assistant/core,MERGED,3.1325,1,1,0,2010,2,0,2
home-assistant/core,MERGED,3.705,5,122,3,1915,2,1,2
home-assistant/core,MERGED,3.7405555555555554,1,3,3,1895,2,0,2
home-assistant/core,MERGED,2.4947222222222223,2,4,1,1927,2,0,2
home-assistant/core,MERGED,4.462777777777778,1,45,58,1938,2,0,1
home-assistant/core,MERGED,3.2616666666666667,2,6,12,2012,2,0,2
home-assistant/core,MERGED,1.1130555555555555,2,60,47,2204,2,1,4
home-assistant/core,MERGED,7.942777777777778,3,2,4,2040,2,0,1
home-assistant/core,MERGED,11.535555555555556,2,5,2,3901,2,0,1
home-assistant/core,MERGED,8.428333333333333,2,4,2,2004,4,1,3
home-assistant/core,MERGED,16.549722222222222,6,107,18,2094,2,1,2
home-assistant/core,MERGED,4.908888888888889,2,212,48,2107,3,1,4
home-assistant/core,MERGED,1.5122222222222221,2,6,7,2140,3,0,4
home-assistant/core,MERGED,62.62916666666667,4,5,5,1934,4,2,13
home-assistant/core,MERGED,1.8488888888888888,3,3,3,2006,2,0,2
home-assistant/core,MERGED,20.886944444444445,2,23,9,2099,3,3,1
home-assistant/core,MERGED,17.5775,5,167,2,1940,2,3,3
home-assistant/core,MERGED,4.232777777777778,3,3,3,2033,4,1,4
home-assistant/core,MERGED,23.68166666666667,6,345,6,1975,4,1,5
home-assistant/core,MERGED,9.001111111111111,4,9,2,2028,5,1,2
home-assistant/core,MERGED,47.48,2,71,60,2005,4,1,2
home-assistant/core,MERGED,5.335555555555556,12,49,71,1954,3,1,3
home-assistant/core,MERGED,1.1775,3,11,5,1948,2,1,2
home-assistant/core,MERGED,6.801944444444445,3,3,3,1888,4,9,3
home-assistant/core,MERGED,27.225277777777777,2,19,11,2187,4,1,1
home-assistant/core,MERGED,2.6058333333333334,2,3,3,2130,4,1,2
home-assistant/core,MERGED,21.089166666666667,5,34,13,2141,2,0,10
home-assistant/core,MERGED,1.9147222222222222,2,10,3,2071,2,1,2
home-assistant/core,MERGED,11.897222222222222,4,149,160,3049,7,10,4
home-assistant/core,MERGED,2.485,3,3,3,2047,3,0,2
home-assistant/core,MERGED,2.298888888888889,1,11,1,1995,2,1,2
home-assistant/core,MERGED,12.6475,5,9,9,1968,5,1,6
home-assistant/core,MERGED,1.0433333333333332,1,1,1,2535,3,0,2
home-assistant/core,MERGED,1.1119444444444444,3,3,3,1933,3,0,2
home-assistant/core,MERGED,66.29805555555555,1,7,4,2061,3,5,7
home-assistant/core,MERGED,18.235555555555557,2,249,6,2038,5,1,3
home-assistant/core,MERGED,1.8363888888888888,6,6,6,1943,2,0,2
home-assistant/core,MERGED,38.49027777777778,6,98,1,1937,3,0,2
home-assistant/core,MERGED,9.030833333333334,5,31,8,2038,2,1,1
home-assistant/core,MERGED,9.3975,3,10,37,1946,5,2,5
home-assistant/core,MERGED,2.631111111111111,3,18,10,2078,2,0,1
home-assistant/core,MERGED,11.186388888888889,3,3,3,1957,3,0,3
home-assistant/core,MERGED,18.465833333333332,2,1,1,2108,3,0,6
home-assistant/core,MERGED,14.866666666666667,1,3,2,2003,2,1,2
home-assistant/core,MERGED,1.3322222222222222,3,3,3,1941,4,1,2
home-assistant/core,CLOSED,22.7825,1,3,1,1534,3,3,4
home-assistant/core,MERGED,1.3688888888888888,2,12,1,1958,4,2,1
home-assistant/core,MERGED,67.49361111111111,9,132,104,2092,3,3,3
home-assistant/core,MERGED,26.504722222222224,2,38,22,1979,3,0,2
home-assistant/core,MERGED,29.648888888888887,5,109,0,1982,2,3,6
home-assistant/core,MERGED,13.2925,3,3,3,1951,2,0,1
home-assistant/core,MERGED,4.321111111111111,3,3,3,1981,4,1,2
home-assistant/core,MERGED,5.565833333333333,1,3,2,11483,4,1,1
home-assistant/core,MERGED,52.73972222222222,2,86,118,3382,4,2,1
home-assistant/core,CLOSED,3.727777777777778,5,100,4,1302,3,29,9
home-assistant/core,MERGED,57.37111111111111,3,53,24,2017,3,4,5
