repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
hoppscotch/hoppscotch,MERGED,9.586666666666666,4,4,4,450,3,1,2
hoppscotch/hoppscotch,MERGED,25.436944444444446,1,2,0,982,2,0,2
hoppscotch/hoppscotch,MERGED,97.8725,9,187,54,1841,2,1,8
hoppscotch/hoppscotch,MERGED,73.38805555555555,2,22,15,1119,2,0,2
hoppscotch/hoppscotch,CLOSED,140.26194444444445,1,1,3,368,2,1,1
hoppscotch/hoppscotch,MERGED,140.78972222222222,33,71,110,755,2,5,2
hoppscotch/hoppscotch,MERGED,5.924166666666666,2,24,53,154,2,0,4
hoppscotch/hoppscotch,MERGED,1.0508333333333333,12,32,29,120,3,0,3
hoppscotch/hoppscotch,MERGED,41.76277777777778,4,16,11,223,3,0,4
hoppscotch/hoppscotch,MERGED,24.156944444444445,4,2,6,577,3,1,4
hoppscotch/hoppscotch,MERGED,27.694166666666668,7,52,49,364,2,0,3
hoppscotch/hoppscotch,MERGED,5.8197222222222225,12,2358,1568,1941,3,0,4
hoppscotch/hoppscotch,MERGED,42.46361111111111,1,3,3,608,2,0,2
hoppscotch/hoppscotch,MERGED,45.50083333333333,8,76,15,4123,2,0,5
hoppscotch/hoppscotch,MERGED,172.74833333333333,76,10494,822,12439,2,0,4
hoppscotch/hoppscotch,MERGED,558.9677777777778,28,1829,67,311,2,1,1
hoppscotch/hoppscotch,MERGED,173.84527777777777,9,316,0,482,3,1,5
hoppscotch/hoppscotch,MERGED,306.18944444444446,63,3476,339,2368,4,0,14
hoppscotch/hoppscotch,MERGED,315.1463888888889,3,56,19,2534,2,0,5
hoppscotch/hoppscotch,MERGED,142.3711111111111,2,7,7,254,3,5,5
hoppscotch/hoppscotch,MERGED,1.4402777777777778,3,58,35,252,2,0,2
hoppscotch/hoppscotch,MERGED,14.190277777777778,1,4,1,742,3,0,3
hoppscotch/hoppscotch,MERGED,23.59638888888889,4,7,7,159,3,0,3
hoppscotch/hoppscotch,MERGED,9.657777777777778,10,32,63,638,2,0,1
hoppscotch/hoppscotch,MERGED,12.884444444444444,2,17,13,73,2,0,8
hoppscotch/hoppscotch,MERGED,15.866388888888888,13,1080,1381,961,2,0,3
hoppscotch/hoppscotch,MERGED,24.88277777777778,18,610,539,497,2,1,3
hoppscotch/hoppscotch,MERGED,71.5425,1,139,0,625,3,3,3
hoppscotch/hoppscotch,MERGED,2.4225,3,6,81,98,2,0,1
hoppscotch/hoppscotch,MERGED,130.82055555555556,44,2909,1022,17297,2,0,8
hoppscotch/hoppscotch,MERGED,157.22027777777777,1,1452,618,1101,2,0,3
hoppscotch/hoppscotch,MERGED,195.25944444444445,36,1763,1438,770,4,1,12
hoppscotch/hoppscotch,MERGED,10.775833333333333,1,5,1,478,2,0,5
hoppscotch/hoppscotch,MERGED,20.55527777777778,1,13,0,202,2,0,2
hoppscotch/hoppscotch,MERGED,93.8825,23,992,2040,2556,2,0,4
hoppscotch/hoppscotch,CLOSED,281.11694444444447,1,6,1,841,3,1,2
hoppscotch/hoppscotch,MERGED,149.34305555555557,28,7963,5621,2101,3,0,3
hoppscotch/hoppscotch,MERGED,163.5225,1,15,2,190,5,1,4
hoppscotch/hoppscotch,MERGED,231.68138888888888,77,2688,765,578,3,2,11
hoppscotch/hoppscotch,MERGED,149.63444444444445,2,12,2,289,3,0,5
hoppscotch/hoppscotch,MERGED,226.42666666666668,6,640,35,389,2,0,5
hoppscotch/hoppscotch,MERGED,38.75416666666667,1,30,14,139,2,0,2
hoppscotch/hoppscotch,MERGED,43.06611111111111,1,12,1,130,3,0,4
hoppscotch/hoppscotch,MERGED,47.81777777777778,4,34,15,2462,2,0,5
hoppscotch/hoppscotch,MERGED,73.86277777777778,8,95,16,2214,2,0,2
hoppscotch/hoppscotch,MERGED,19.68111111111111,2,2,2,363,3,0,5
hoppscotch/hoppscotch,CLOSED,230.66416666666666,1,2,6,1700,2,3,1
hoppscotch/hoppscotch,MERGED,7.086111111111111,1,1,1,87,2,0,1
hoppscotch/hoppscotch,MERGED,2.638611111111111,1,209,0,1807,2,0,4
hoppscotch/hoppscotch,MERGED,6.551944444444445,10,360,274,330,2,0,2
hoppscotch/hoppscotch,MERGED,2.843611111111111,2,39,74,110,2,0,1
hoppscotch/hoppscotch,MERGED,703.5466666666666,9,1676,1396,1303,2,1,10
hoppscotch/hoppscotch,MERGED,10.948333333333334,13,128,89,1096,3,0,8
hoppscotch/hoppscotch,CLOSED,44.26,1,180,8,104,2,2,1
hoppscotch/hoppscotch,MERGED,67.81666666666666,8,2569,1988,843,2,0,3
hoppscotch/hoppscotch,MERGED,48.82472222222222,1,7,7,176,2,0,1
hoppscotch/hoppscotch,MERGED,92.93027777777777,1,11,1,329,2,0,4
hoppscotch/hoppscotch,MERGED,29.587777777777777,5,75,6,2249,2,0,1
hoppscotch/hoppscotch,CLOSED,729.0055555555556,1,1,1,113,2,3,1
hoppscotch/hoppscotch,MERGED,74.27666666666667,19,1078,125,5110,2,0,10
hoppscotch/hoppscotch,MERGED,82.5975,12,279,72,249,2,0,7
hoppscotch/hoppscotch,CLOSED,772.1283333333333,62,4233,1834,16779,1,1,7
hoppscotch/hoppscotch,MERGED,293.78055555555557,24,1426,113,885,2,1,4
hoppscotch/hoppscotch,MERGED,1653.266111111111,19,340,58,913,4,11,17
hoppscotch/hoppscotch,MERGED,237.30527777777777,6,151,79,145,3,0,8
hoppscotch/hoppscotch,MERGED,220.37805555555556,2,174,25,2771,2,0,6
hoppscotch/hoppscotch,MERGED,272.7472222222222,5,245,104,176,3,1,8
hoppscotch/hoppscotch,MERGED,19.491666666666667,6,20,41,182,3,0,4
hoppscotch/hoppscotch,MERGED,116.8625,1,5,1,176,2,1,3
hoppscotch/hoppscotch,MERGED,449.2888888888889,2,529,41,101,3,6,4
hoppscotch/hoppscotch,MERGED,25.43111111111111,2,53,2,1652,2,0,3
hoppscotch/hoppscotch,CLOSED,1231.7097222222221,1,39,15,643,3,13,2
hoppscotch/hoppscotch,MERGED,48.132777777777775,4,7,2959,1431,2,0,2
hoppscotch/hoppscotch,MERGED,94.94888888888889,9,37,31,1681,2,0,3
hoppscotch/hoppscotch,MERGED,76.26444444444445,3,150,32,359,3,0,4
hoppscotch/hoppscotch,MERGED,93.23527777777778,3,97,1,377,3,1,3
hoppscotch/hoppscotch,MERGED,850.9205555555556,1,6,1,327,3,0,7
hoppscotch/hoppscotch,MERGED,118.12416666666667,3,7,3,161,3,0,3
hoppscotch/hoppscotch,MERGED,216.8463888888889,4,37,28,350,3,0,6
hoppscotch/hoppscotch,MERGED,194.7161111111111,1,20,1,205,2,0,4
hoppscotch/hoppscotch,MERGED,1390.6930555555555,15,1559,51,332,2,0,7
hoppscotch/hoppscotch,MERGED,1.0941666666666667,8,36,36,72,2,0,3
hoppscotch/hoppscotch,MERGED,798.7483333333333,49,3324,893,731,4,0,10
hoppscotch/hoppscotch,MERGED,812.0127777777777,11,381,11,698,9,17,25
hoppscotch/hoppscotch,MERGED,743.8294444444444,11,411,53,5427,3,0,14
hoppscotch/hoppscotch,MERGED,11.399444444444445,13,426,15,1846,3,0,12
hoppscotch/hoppscotch,MERGED,42.14333333333333,11,303,135,378,2,0,6
hoppscotch/hoppscotch,MERGED,57.28472222222222,1,1,1,143,3,2,4
hoppscotch/hoppscotch,MERGED,2314.745,2,35,6,1259,3,6,8
hoppscotch/hoppscotch,MERGED,95.64944444444444,1,80,1,1547,2,0,1
hoppscotch/hoppscotch,MERGED,3.4825,37,113,113,133,2,0,6
hoppscotch/hoppscotch,MERGED,21.324444444444445,6,68,45,218,3,4,8
hoppscotch/hoppscotch,CLOSED,2042.1519444444446,3,46,19,794,2,1,1
hoppscotch/hoppscotch,MERGED,30.86611111111111,2,8,3,720,3,0,2
hoppscotch/hoppscotch,MERGED,266.7775,1,36,7,230,3,0,1
hoppscotch/hoppscotch,MERGED,2.511388888888889,8,122,64,4029,3,0,3
hoppscotch/hoppscotch,MERGED,11.6475,2,2,2,183,2,0,3
hoppscotch/hoppscotch,MERGED,2.8761111111111113,1,42,1,552,2,0,1
hoppscotch/hoppscotch,MERGED,180.9936111111111,1,8,5,705,4,7,3
hoppscotch/hoppscotch,MERGED,1.7108333333333334,2,28,24,200,2,0,1
hoppscotch/hoppscotch,MERGED,39.51583333333333,1,1,1,453,4,0,3
hoppscotch/hoppscotch,MERGED,96.9011111111111,8,126,34,3031,2,0,7
hoppscotch/hoppscotch,MERGED,467.51444444444445,12,569,373,357,3,0,3
hoppscotch/hoppscotch,MERGED,18.94,20,446,102,1271,2,0,2
hoppscotch/hoppscotch,MERGED,213.76722222222222,3,66,36,1785,2,0,4
hoppscotch/hoppscotch,MERGED,230.48555555555555,55,1010,915,221,2,0,6
hoppscotch/hoppscotch,MERGED,103.77222222222223,2,51,38,900,2,0,1
hoppscotch/hoppscotch,MERGED,266.43583333333333,1,3,0,373,3,0,2
hoppscotch/hoppscotch,MERGED,192.56333333333333,8,20,22,883,2,0,4
hoppscotch/hoppscotch,MERGED,18.394166666666667,15,190,51,142,2,0,3
hoppscotch/hoppscotch,MERGED,1.4802777777777778,1,2,2,76,2,0,1
hoppscotch/hoppscotch,MERGED,15.362777777777778,1,2,1,39,2,0,1
hoppscotch/hoppscotch,MERGED,16.505,2,20,3,157,2,0,2
hoppscotch/hoppscotch,MERGED,5.4558333333333335,18,559,540,1243,2,0,1
hoppscotch/hoppscotch,MERGED,56.32472222222222,51,2122,659,2931,2,0,2
hoppscotch/hoppscotch,MERGED,53.19916666666666,6,5593,2137,278,3,0,4
hoppscotch/hoppscotch,MERGED,59.145833333333336,2,7,0,391,2,0,1
hoppscotch/hoppscotch,MERGED,57.401944444444446,12,129,79,4700,2,0,3
hoppscotch/hoppscotch,MERGED,271.63305555555553,1,44,8,878,3,0,2
hoppscotch/hoppscotch,MERGED,310.43888888888887,27,1212,729,142,2,0,4
