repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
huggingface/transformers,MERGED,7.192777777777778,1,1,1,712,3,3,1
huggingface/transformers,MERGED,8.892777777777777,5,7,7,108,3,2,1
huggingface/transformers,MERGED,12.394166666666667,12,14,28,38,4,2,4
huggingface/transformers,MERGED,17.37388888888889,1,1,1,498,4,1,3
huggingface/transformers,MERGED,22.174722222222222,11,24,95,142,3,2,3
huggingface/transformers,MERGED,20.85333333333333,1,159,21,260,3,3,3
huggingface/transformers,MERGED,1.8216666666666668,2,95,3,185,3,3,4
huggingface/transformers,MERGED,24.309444444444445,10,7,19,32,3,1,7
huggingface/transformers,MERGED,1.9302777777777778,1,65,65,41,4,3,1
huggingface/transformers,MERGED,20.96527777777778,2,4,2,93,3,3,1
huggingface/transformers,MERGED,26.79222222222222,5,33,35,542,3,1,1
huggingface/transformers,MERGED,2.3644444444444446,1,8,15,532,4,2,1
huggingface/transformers,MERGED,25.62527777777778,9,1,1306,72,4,8,1
huggingface/transformers,MERGED,2.19,1,14,11,779,3,1,1
huggingface/transformers,MERGED,22.25111111111111,1,1,33,50,3,1,1
huggingface/transformers,CLOSED,20.9825,0,0,0,1055,2,3,2
huggingface/transformers,MERGED,19.13388888888889,8,12,14,39,4,6,2
huggingface/transformers,CLOSED,47.451388888888886,5,91,0,153,3,3,1
huggingface/transformers,MERGED,52.5875,3,9,1,89,3,8,3
huggingface/transformers,MERGED,26.956944444444446,2,6,5,1577,3,2,3
huggingface/transformers,MERGED,88.8875,2,73,14,855,3,6,3
huggingface/transformers,MERGED,77.04638888888888,2,2,2,90,3,3,1
huggingface/transformers,MERGED,122.20722222222223,65,19,1367,225,4,5,1
huggingface/transformers,MERGED,19.7,44,40,250,40,3,4,1
huggingface/transformers,MERGED,3.835,9,81,66,493,3,1,1
huggingface/transformers,MERGED,94.89333333333333,68,61,1301,428,3,2,2
huggingface/transformers,MERGED,121.13861111111112,2,18,31,132,3,1,1
huggingface/transformers,MERGED,123.225,1,21,80,197,3,1,1
huggingface/transformers,MERGED,127.00694444444444,8,207,120,486,3,3,2
huggingface/transformers,MERGED,127.08027777777778,148,338,246,681,3,2,5
huggingface/transformers,MERGED,100.85111111111111,1,5,1,2073,4,4,1
huggingface/transformers,MERGED,5.500555555555556,1,26,26,683,4,1,2
huggingface/transformers,MERGED,4.075833333333334,34,50,51,662,3,1,1
huggingface/transformers,MERGED,1.6908333333333334,2,2,0,1398,3,2,1
huggingface/transformers,CLOSED,69.51666666666667,57,226,351,2413,6,3,1
huggingface/transformers,MERGED,130.65666666666667,1,14,1,458,4,8,14
huggingface/transformers,MERGED,131.4152777777778,1,17,18,103,3,2,2
huggingface/transformers,MERGED,115.20444444444445,15,356,538,1772,4,4,6
huggingface/transformers,MERGED,139.86222222222221,16,47,275,647,5,4,6
huggingface/transformers,MERGED,146.72694444444446,3,2,18,76,3,1,1
huggingface/transformers,MERGED,147.18333333333334,2,0,16,222,3,1,1
huggingface/transformers,MERGED,147.57611111111112,1,0,12,162,3,1,1
huggingface/transformers,MERGED,148.24083333333334,3,7,105,113,3,1,1
huggingface/transformers,MERGED,148.82166666666666,11,6,530,450,4,1,2
huggingface/transformers,CLOSED,52.76166666666666,1,3,0,0,3,2,2
huggingface/transformers,MERGED,126.5575,3,14,2,777,3,4,3
huggingface/transformers,MERGED,4.206944444444445,1,1,1,10151,4,4,1
huggingface/transformers,MERGED,122.83833333333334,3,95,39,225,4,3,5
huggingface/transformers,MERGED,40.21666666666667,39,93,93,748,4,4,4
huggingface/transformers,MERGED,10.759444444444444,7,7,7,681,3,1,1
huggingface/transformers,MERGED,15.31611111111111,3,57,0,657,4,2,2
