repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
iluwatar/java-design-patterns,CLOSED,825.2238888888888,1,1,1,3948,0,3,1
iluwatar/java-design-patterns,CLOSED,340.1961111111111,1,1,1,3625,0,3,1
iluwatar/java-design-patterns,CLOSED,662.1313888888889,1,1,1,3876,0,3,1
iluwatar/java-design-patterns,CLOSED,662.2802777777778,1,1,1,4299,0,3,1
iluwatar/java-design-patterns,CLOSED,338.0886111111111,1,1,1,3908,0,3,1
iluwatar/java-design-patterns,CLOSED,338.0808333333333,1,1,1,4530,0,3,1
iluwatar/java-design-patterns,CLOSED,339.28694444444443,1,1,1,4312,0,3,1
iluwatar/java-design-patterns,CLOSED,246.55444444444444,13,526,0,543,3,3,7
iluwatar/java-design-patterns,CLOSED,1181.1619444444445,1,1,1,3545,1,3,2
iluwatar/java-design-patterns,CLOSED,1181.2008333333333,1,1,1,4861,1,3,2
iluwatar/java-design-patterns,CLOSED,1350.9588888888889,1,1,1,4304,1,3,2
iluwatar/java-design-patterns,CLOSED,673.5538888888889,1,1,1,4843,0,3,1
iluwatar/java-design-patterns,CLOSED,673.7508333333334,1,1,1,3082,0,3,1
iluwatar/java-design-patterns,CLOSED,503.4605555555556,1,1,1,4297,1,3,2
iluwatar/java-design-patterns,CLOSED,335.7897222222222,1,1,1,3763,1,3,2
iluwatar/java-design-patterns,CLOSED,335.81305555555554,1,1,1,5182,1,3,2
iluwatar/java-design-patterns,CLOSED,308.805,19,2225,0,866,1,3,14
iluwatar/java-design-patterns,MERGED,347.96722222222223,1,24,0,142,2,4,2
iluwatar/java-design-patterns,MERGED,383.12055555555554,13,1041,0,737,3,4,7
iluwatar/java-design-patterns,MERGED,55.340833333333336,2,2,2,2014,1,2,1
iluwatar/java-design-patterns,MERGED,55.430277777777775,1,1,1,7748,1,2,1
iluwatar/java-design-patterns,MERGED,20.573888888888888,1,1,1,4122,1,2,1
iluwatar/java-design-patterns,MERGED,20.608888888888888,1,1,1,3743,1,2,1
iluwatar/java-design-patterns,CLOSED,672.6625,1,1,1,2636,0,3,1
iluwatar/java-design-patterns,MERGED,74.55305555555556,1,0,6,84,2,4,2
iluwatar/java-design-patterns,CLOSED,109.80944444444444,1,4,0,43,2,3,1
iluwatar/java-design-patterns,MERGED,127.3086111111111,8,643,0,364,3,4,15
iluwatar/java-design-patterns,MERGED,177.2186111111111,12,728,0,611,2,5,6
iluwatar/java-design-patterns,MERGED,16.613333333333333,1,1,1,2361,1,2,1
iluwatar/java-design-patterns,MERGED,16.635555555555555,1,1,1,2489,1,2,1
iluwatar/java-design-patterns,MERGED,16.641666666666666,1,1,1,4167,1,2,1
iluwatar/java-design-patterns,CLOSED,15.910833333333333,11,402,0,969,1,2,3
iluwatar/java-design-patterns,MERGED,56.231944444444444,11,663,0,110,2,5,10
iluwatar/java-design-patterns,MERGED,17.21,1,1,1,2060,1,2,1
iluwatar/java-design-patterns,MERGED,17.226111111111113,2,2,2,2854,1,2,1
iluwatar/java-design-patterns,MERGED,17.47861111111111,1,1,1,3768,1,2,1
iluwatar/java-design-patterns,MERGED,84.17666666666666,1,14,57,1255,2,9,8
iluwatar/java-design-patterns,CLOSED,1277.8986111111112,40,1248,37,953,2,5,4
iluwatar/java-design-patterns,CLOSED,484.3161111111111,1,1,1,9659,0,2,2
iluwatar/java-design-patterns,MERGED,19.54,2,2,2,1555,1,2,1
iluwatar/java-design-patterns,CLOSED,19.51861111111111,1,1,1,4178,0,2,1
iluwatar/java-design-patterns,MERGED,19.561666666666667,1,1,1,3217,1,2,1
iluwatar/java-design-patterns,MERGED,4.445277777777778,1,23,13,811,2,5,3
iluwatar/java-design-patterns,MERGED,119.7911111111111,20,1303,3,41,2,7,11
iluwatar/java-design-patterns,MERGED,27.97388888888889,19,1003,0,75,2,4,16
iluwatar/java-design-patterns,CLOSED,112.00833333333334,10,10,10,4803,0,2,1
iluwatar/java-design-patterns,MERGED,14.728055555555555,1,1,1,7626,1,2,1
iluwatar/java-design-patterns,MERGED,14.762777777777778,1,1,1,3834,1,2,1
iluwatar/java-design-patterns,MERGED,8.45111111111111,10,377,0,365,2,4,4
iluwatar/java-design-patterns,MERGED,9.966666666666667,3,245,40,232,2,4,2
iluwatar/java-design-patterns,MERGED,118.00805555555556,9,108,151,76,1,1,3
iluwatar/java-design-patterns,CLOSED,355.2316666666667,1,1,1,4157,0,2,1
iluwatar/java-design-patterns,MERGED,81.47555555555556,1,1,1,250,2,4,2
iluwatar/java-design-patterns,MERGED,177.65583333333333,1,1,1,7757,1,2,1
iluwatar/java-design-patterns,MERGED,179.71444444444444,1,256,0,430,2,5,2
iluwatar/java-design-patterns,MERGED,184.94833333333332,6,38,17,121,2,4,3
iluwatar/java-design-patterns,MERGED,186.06194444444444,1,109,0,71,2,4,2
iluwatar/java-design-patterns,CLOSED,506.3172222222222,1,1,1,6090,0,2,3
iluwatar/java-design-patterns,MERGED,20.201666666666668,1,1,1,1488,1,2,1
iluwatar/java-design-patterns,CLOSED,673.97,10,10,10,4875,0,2,1
iluwatar/java-design-patterns,CLOSED,503.10777777777776,1,1,1,4329,0,2,1
iluwatar/java-design-patterns,MERGED,83.2225,2,2,2,3241,1,2,1
iluwatar/java-design-patterns,MERGED,17.022777777777776,1,1,1,10228,1,2,1
iluwatar/java-design-patterns,CLOSED,1615.525,30,2006,0,316,2,3,4
iluwatar/java-design-patterns,MERGED,153.80166666666668,5,9,9,0,2,4,6
iluwatar/java-design-patterns,CLOSED,158.79194444444445,0,0,0,43,2,2,1
