repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
immich-app/immich,MERGED,2.4269444444444446,14,40,37,261,3,2,1
immich-app/immich,MERGED,2.1230555555555557,1,4,4,3324,1,0,1
immich-app/immich,MERGED,1.3747222222222222,2,18,2,80,3,0,2
immich-app/immich,MERGED,23.467222222222222,2,28,3,224,3,0,2
immich-app/immich,MERGED,8.615,2,5,5,1528,1,0,1
immich-app/immich,MERGED,21.4575,2,3,3,1315,1,1,1
immich-app/immich,MERGED,9.9975,3,6,6,3155,2,0,1
immich-app/immich,MERGED,9.995833333333334,1,1,1,1063,1,0,1
immich-app/immich,MERGED,17.608333333333334,5,174,174,721,1,0,1
immich-app/immich,MERGED,9.629722222222222,1,1,1,846,1,0,1
immich-app/immich,MERGED,16.151666666666667,2,2,2,0,3,0,2
immich-app/immich,MERGED,1.2608333333333333,1,2,1,0,2,0,1
immich-app/immich,MERGED,2.9608333333333334,1,1,1,1213,3,2,2
immich-app/immich,MERGED,10.426666666666666,1,1,1,838,2,0,1
immich-app/immich,MERGED,16.843888888888888,1,2,2,5128,2,0,1
immich-app/immich,MERGED,23.159444444444443,1,16,0,1039,3,1,1
immich-app/immich,MERGED,30.817222222222224,1,1,4,116,2,0,1
immich-app/immich,MERGED,46.13916666666667,1,1,1,115,2,0,1
immich-app/immich,MERGED,51.326388888888886,2,10,10,24,2,0,1
immich-app/immich,MERGED,54.63583333333333,1,3,1,0,4,1,2
immich-app/immich,MERGED,53.82861111111111,1,3,0,1319,3,0,1
immich-app/immich,CLOSED,67.30055555555556,1,1,1,1169,3,1,2
immich-app/immich,MERGED,75.90777777777778,1,1,1,0,3,0,1
immich-app/immich,MERGED,16.004166666666666,3,8,13,223,2,0,1
immich-app/immich,MERGED,96.62138888888889,4,49,3,68,5,2,1
immich-app/immich,MERGED,4.7058333333333335,2,11,11,0,2,0,1
immich-app/immich,MERGED,1.7955555555555556,6,44,19,299,2,0,1
immich-app/immich,MERGED,1.9941666666666666,1,1,4,12,2,0,1
immich-app/immich,MERGED,14.40611111111111,1,1,0,184,2,0,1
immich-app/immich,MERGED,6.245833333333334,1,8,2,24,2,0,2
immich-app/immich,CLOSED,11.504444444444445,19,19,19,961,3,3,1
immich-app/immich,MERGED,138.25444444444443,1,23,8,146,3,2,1
immich-app/immich,MERGED,17.854444444444443,1,3,3,901,3,0,1
immich-app/immich,MERGED,6.1322222222222225,2,5,5,1212,2,0,1
immich-app/immich,MERGED,54.51361111111111,8,81,58,471,2,0,1
immich-app/immich,MERGED,7.556666666666667,1,7,6,12,2,1,5
immich-app/immich,MERGED,61.58305555555555,2,46,35,763,3,0,2
immich-app/immich,MERGED,156.88222222222223,11,104,76,491,2,1,1
immich-app/immich,MERGED,52.47944444444445,14,14,14,968,1,0,1
immich-app/immich,MERGED,159.80027777777778,7,172,172,520,3,1,1
immich-app/immich,CLOSED,63.941944444444445,1,1,1,12904,2,1,1
immich-app/immich,MERGED,14.200277777777778,2,6,3,372,3,0,1
immich-app/immich,MERGED,18.227777777777778,2,11,11,0,2,0,1
immich-app/immich,MERGED,92.13222222222223,31,2600,435,86,2,0,3
immich-app/immich,MERGED,11.345,3,47,7,80,2,2,1
