repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
iptv-org/iptv,MERGED,42.04277777777778,2,157,155,13,3,0,3
iptv-org/iptv,MERGED,6.227222222222222,1,0,36,0,3,0,2
iptv-org/iptv,MERGED,120.98861111111111,3,32,12,38,3,0,3
iptv-org/iptv,MERGED,124.00555555555556,1,6,230,76,4,0,3
iptv-org/iptv,MERGED,10.037777777777778,1,2,2,102,4,1,4
iptv-org/iptv,MERGED,26.926944444444445,6,7,7,0,4,0,3
iptv-org/iptv,MERGED,13.673055555555555,2,21,19,0,3,0,2
iptv-org/iptv,MERGED,34.20194444444444,2,161,188,147,5,0,4
iptv-org/iptv,CLOSED,20.615833333333335,2,0,25,95,3,3,1
iptv-org/iptv,MERGED,5.841666666666667,3,30,68,139,3,1,2
iptv-org/iptv,MERGED,10.8725,1,1,1,28,5,3,2
iptv-org/iptv,MERGED,8.544722222222223,2,35,34,108,4,0,3
iptv-org/iptv,MERGED,5.5,1,100,100,316,4,3,2
iptv-org/iptv,MERGED,51.195277777777775,1,2,0,19,3,1,2
iptv-org/iptv,MERGED,32.49027777777778,1,153,153,41,6,2,5
iptv-org/iptv,MERGED,73.67666666666666,1,0,200,76,5,14,3
iptv-org/iptv,MERGED,1.5508333333333333,1,0,53,3,3,0,2
iptv-org/iptv,MERGED,47.12138888888889,7,187,207,138,5,1,7
iptv-org/iptv,CLOSED,102.10583333333334,1,2,1,14,2,1,1
iptv-org/iptv,MERGED,300.74805555555554,1,4,2,160,4,1,4
iptv-org/iptv,CLOSED,486.87194444444447,1,3,2,86,4,3,1
iptv-org/iptv,MERGED,10.78138888888889,1,252,262,15,3,0,2
iptv-org/iptv,CLOSED,20.9,1,4,0,21,2,1,1
iptv-org/iptv,MERGED,14.742222222222223,5,30,54,183,3,0,4
iptv-org/iptv,MERGED,6.735277777777778,23,72,214,49,3,1,6
iptv-org/iptv,MERGED,22.95611111111111,1,4,4,45,3,0,2
iptv-org/iptv,CLOSED,5.445833333333334,1,2,0,36,3,2,1
iptv-org/iptv,MERGED,3.984722222222222,1,26,0,23,3,2,2
iptv-org/iptv,CLOSED,4.844722222222222,1,2,0,32,3,3,2
iptv-org/iptv,MERGED,3.8405555555555555,1,5,5,0,3,0,2
iptv-org/iptv,MERGED,8.110277777777778,3,158,160,135,3,0,2
iptv-org/iptv,MERGED,36.33416666666667,21,364,470,1467,4,3,4
iptv-org/iptv,MERGED,33.806666666666665,5,83,6,61,3,0,2
iptv-org/iptv,MERGED,5.249444444444444,1,0,14,14,2,0,2
iptv-org/iptv,MERGED,13.959722222222222,17,72,252,1112,3,0,2
iptv-org/iptv,MERGED,9.388055555555555,1,0,10,52,3,0,2
iptv-org/iptv,MERGED,106.0675,1,2,0,0,3,0,2
iptv-org/iptv,MERGED,128.0077777777778,1,9,17,0,4,0,4
iptv-org/iptv,MERGED,185.51416666666665,1,8,18,0,3,0,3
iptv-org/iptv,MERGED,172.43083333333334,3,158,80,215,3,2,2
iptv-org/iptv,MERGED,129.80027777777778,2,2,14,0,3,0,2
iptv-org/iptv,MERGED,107.2761111111111,82,1232,1046,1238,3,0,2
iptv-org/iptv,MERGED,40.34,1,50,50,156,5,1,3
iptv-org/iptv,MERGED,284.15055555555557,1,4,0,51,5,4,2
iptv-org/iptv,MERGED,44.62916666666667,1,2,0,24,3,3,3
iptv-org/iptv,MERGED,5.155555555555556,1,1,1,26,3,0,2
iptv-org/iptv,MERGED,166.0688888888889,1,2,0,19,2,0,2
iptv-org/iptv,MERGED,66.5025,1,18,2,0,3,0,2
iptv-org/iptv,MERGED,60.452777777777776,4,10,10,14,3,0,2
iptv-org/iptv,MERGED,8.046388888888888,1,24,0,337,3,0,2
iptv-org/iptv,CLOSED,240.59694444444443,1,1,27,0,3,0,1
iptv-org/iptv,MERGED,175.99027777777778,1,1,1,39,2,0,2
iptv-org/iptv,MERGED,205.7097222222222,1,2,0,14,2,0,2
iptv-org/iptv,MERGED,28.90111111111111,2,138,142,0,3,0,2
iptv-org/iptv,MERGED,2.556111111111111,3,6,4,617,3,0,2
iptv-org/iptv,MERGED,84.70777777777778,14,107,146,0,4,0,4
iptv-org/iptv,MERGED,10.52138888888889,1,2,5,22,3,0,2
iptv-org/iptv,MERGED,5.269166666666667,12,379,245,0,5,0,26
iptv-org/iptv,MERGED,5.169722222222222,5,0,209,42,3,0,2
iptv-org/iptv,MERGED,34.91972222222222,1,3,3,85,5,0,4
iptv-org/iptv,MERGED,18.82611111111111,1,0,24,24,4,0,2
iptv-org/iptv,MERGED,142.0588888888889,19,2534,1368,1717,3,2,6
iptv-org/iptv,MERGED,43.72277777777778,26,6056,6305,820,3,0,2
iptv-org/iptv,MERGED,51.99166666666667,1,49,3,122,4,11,10
iptv-org/iptv,MERGED,27.45388888888889,1,2,0,34,4,2,3
iptv-org/iptv,MERGED,12.870555555555555,91,1935,1935,53,3,0,2
iptv-org/iptv,MERGED,54.611111111111114,1,9,39,69,4,4,8
iptv-org/iptv,MERGED,31.780555555555555,1,2,0,14,2,0,2
iptv-org/iptv,MERGED,13.705555555555556,1,2,0,130,2,1,2
iptv-org/iptv,MERGED,61.2825,1,1,9,25,3,0,2
iptv-org/iptv,MERGED,65.27,2,24,2,80,3,0,3
iptv-org/iptv,MERGED,36.12916666666667,3,32,4,16,3,0,2
iptv-org/iptv,MERGED,6.859444444444445,1,1,1,92,2,0,2
iptv-org/iptv,MERGED,59.3325,1,2,2,0,3,0,3
iptv-org/iptv,CLOSED,42.75277777777778,1,6,6,359,2,2,1
iptv-org/iptv,CLOSED,11.699444444444444,1,4,0,0,2,0,1
iptv-org/iptv,MERGED,237.79611111111112,97,8806,8338,1748,3,0,2
