repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
jaywcjlove/awesome-mac,MERGED,1.5166666666666666,1,1,0,895,2,0,2
jaywcjlove/awesome-mac,MERGED,5.700833333333334,1,1,1,1237,2,0,1
jaywcjlove/awesome-mac,MERGED,8.055277777777778,1,1,0,1148,3,0,2
jaywcjlove/awesome-mac,MERGED,2.0269444444444447,1,1,0,1227,3,0,2
jaywcjlove/awesome-mac,MERGED,17.979444444444443,3,24,22,1164,3,0,4
jaywcjlove/awesome-mac,MERGED,3.2130555555555556,2,4,2,0,3,0,1
jaywcjlove/awesome-mac,MERGED,480.9480555555556,1,1,0,2394,3,0,2
jaywcjlove/awesome-mac,MERGED,9.62111111111111,1,1,0,754,4,0,2
jaywcjlove/awesome-mac,MERGED,17.715833333333332,1,1,0,1075,3,0,1
jaywcjlove/awesome-mac,MERGED,159.53916666666666,2,9,1,0,2,1,2
jaywcjlove/awesome-mac,MERGED,18.053055555555556,2,9,6,0,2,0,3
jaywcjlove/awesome-mac,MERGED,2.9669444444444446,4,20,16,0,3,0,1
jaywcjlove/awesome-mac,CLOSED,18.08388888888889,2,10,8,0,2,0,4
jaywcjlove/awesome-mac,MERGED,8.455,2,5,4,0,3,1,1
jaywcjlove/awesome-mac,MERGED,6602.508055555556,1,1,0,1065,3,0,2
jaywcjlove/awesome-mac,MERGED,22.904444444444444,2,11,6,0,2,0,2
jaywcjlove/awesome-mac,MERGED,13.814444444444444,1,40,38,278,2,0,12
jaywcjlove/awesome-mac,MERGED,23.78361111111111,1,1,1,1347,2,0,2
jaywcjlove/awesome-mac,CLOSED,15.758055555555556,1,2,1,35,3,1,2
jaywcjlove/awesome-mac,MERGED,27.026944444444446,1,7,3,1227,2,0,1
jaywcjlove/awesome-mac,MERGED,5141.573055555556,1,1,0,1016,5,2,2
jaywcjlove/awesome-mac,MERGED,5997.748888888889,1,1,0,775,3,0,1
jaywcjlove/awesome-mac,MERGED,1.676388888888889,1,1,0,1619,3,0,1
jaywcjlove/awesome-mac,MERGED,2.4077777777777776,1,1,0,608,3,0,2
jaywcjlove/awesome-mac,MERGED,2.168888888888889,1,1,0,1764,3,1,1
jaywcjlove/awesome-mac,MERGED,725.6230555555555,2,5,0,1125,3,0,1
jaywcjlove/awesome-mac,MERGED,12.4175,1,2,1,1222,2,1,2
jaywcjlove/awesome-mac,MERGED,5.456944444444445,1,1,0,1227,2,0,2
jaywcjlove/awesome-mac,CLOSED,5639.105833333333,1,1,0,977,3,3,1
jaywcjlove/awesome-mac,CLOSED,10320.023611111112,1,1,0,566,2,1,2
jaywcjlove/awesome-mac,CLOSED,330.80305555555555,1,4,0,1227,3,1,6
jaywcjlove/awesome-mac,CLOSED,2207.170833333333,1,3,0,1227,3,0,2
jaywcjlove/awesome-mac,CLOSED,11314.113333333333,1,2,0,1227,4,0,3
jaywcjlove/awesome-mac,MERGED,2100.208611111111,1,1,0,1227,3,4,1
