repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
jlevy/the-art-of-command-line,CLOSED,4030.601388888889,8,9,9,63,3,1,3
jlevy/the-art-of-command-line,MERGED,3540.671388888889,1,1,1,0,3,1,1
jlevy/the-art-of-command-line,MERGED,1609.895,1,3,3,0,4,1,2
jlevy/the-art-of-command-line,MERGED,660.6761111111111,1,1,1,0,4,0,3
jlevy/the-art-of-command-line,CLOSED,1235.7408333333333,1,1,0,0,4,1,2
jlevy/the-art-of-command-line,CLOSED,8561.36638888889,19,642,18,0,2,0,1
jlevy/the-art-of-command-line,CLOSED,15196.084722222222,1,1,1,41,2,0,1
jlevy/the-art-of-command-line,CLOSED,3091.4636111111113,1,1,1,27,3,2,1
jlevy/the-art-of-command-line,MERGED,3986.9275,18,641,17,317,6,2,3
jlevy/the-art-of-command-line,CLOSED,4468.602222222222,1,1,1,0,3,1,1
jlevy/the-art-of-command-line,CLOSED,4289.148055555555,1,4,4,66,3,1,1
jlevy/the-art-of-command-line,CLOSED,6941.737222222222,1,1,1,0,3,1,1
jlevy/the-art-of-command-line,MERGED,29936.06611111111,1,14,7,0,2,2,1
jlevy/the-art-of-command-line,CLOSED,24754.740833333333,1,1,1,39,2,0,1
jlevy/the-art-of-command-line,CLOSED,2436.2544444444443,2,6,2,89,1,0,1
jlevy/the-art-of-command-line,MERGED,3563.346111111111,1,6,2,70,3,2,1
jlevy/the-art-of-command-line,MERGED,296.57666666666665,1,46,30,0,2,0,1
jlevy/the-art-of-command-line,MERGED,697.2122222222222,1,110,14,4,4,4,1
jlevy/the-art-of-command-line,MERGED,43.52333333333333,1,35,24,45,2,0,1
jlevy/the-art-of-command-line,CLOSED,64787.121666666666,1,18,18,0,3,1,1
jlevy/the-art-of-command-line,MERGED,115.39416666666666,1,31,23,25,3,3,2
jlevy/the-art-of-command-line,MERGED,938.3208333333333,1,1,1,0,3,2,1
jlevy/the-art-of-command-line,MERGED,714.9916666666667,1,29,11,67,3,4,2
jlevy/the-art-of-command-line,MERGED,2319.6841666666664,1,1,1,26,3,2,4
jlevy/the-art-of-command-line,MERGED,823.0402777777778,2,2,2,17,5,2,2
jlevy/the-art-of-command-line,MERGED,1500.3883333333333,1,39,39,47,5,3,2
jlevy/the-art-of-command-line,MERGED,848.0238888888889,1,42,25,25,3,4,2
jlevy/the-art-of-command-line,MERGED,1227.091111111111,1,22,6,0,4,7,2
jlevy/the-art-of-command-line,MERGED,10008.69,1,1,1,117,3,1,3
jlevy/the-art-of-command-line,MERGED,530.6369444444445,1,1,1,0,4,2,4
jlevy/the-art-of-command-line,MERGED,1567.5725,1,1,1,29,5,6,3
jlevy/the-art-of-command-line,MERGED,1579.168888888889,3,3,3,141,4,4,2
jlevy/the-art-of-command-line,MERGED,63.80388888888889,1,1,1,0,4,6,1
jlevy/the-art-of-command-line,MERGED,26.235833333333332,16,611,15,11,3,2,3
jlevy/the-art-of-command-line,MERGED,1118.9491666666668,16,606,15,0,3,4,1
jlevy/the-art-of-command-line,MERGED,7133.040555555555,1,1,1,34,7,6,2
