repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
josephmisiti/awesome-machine-learning,MERGED,1380.5705555555555,1,1,0,193,3,0,1
josephmisiti/awesome-machine-learning,MERGED,290.06083333333333,1,0,2,38,3,1,1
josephmisiti/awesome-machine-learning,MERGED,1028.7069444444444,1,1,0,0,3,0,1
josephmisiti/awesome-machine-learning,MERGED,495.9602777777778,1,2,1,371,3,0,1
josephmisiti/awesome-machine-learning,MERGED,494.58916666666664,1,2,1,64,4,1,3
josephmisiti/awesome-machine-learning,MERGED,584.8358333333333,1,1,0,64,4,1,1
josephmisiti/awesome-machine-learning,MERGED,370.3880555555556,1,1,0,0,3,2,1
josephmisiti/awesome-machine-learning,MERGED,487.0366666666667,1,1,0,131,3,0,1
josephmisiti/awesome-machine-learning,CLOSED,637.2061111111111,1,45,0,88,2,1,1
josephmisiti/awesome-machine-learning,MERGED,1103.7791666666667,1,3,0,68,3,0,1
