repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
junegunn/fzf,MERGED,4.04,1,3,0,543,2,1,1
junegunn/fzf,MERGED,76.90916666666666,16,319,240,1533,2,15,9
junegunn/fzf,MERGED,44.76083333333333,8,138,29,194,1,0,1
junegunn/fzf,MERGED,431.53333333333336,3,6,11,116,2,1,4
junegunn/fzf,MERGED,579.9569444444444,4,21,12,610,3,9,3
junegunn/fzf,MERGED,54.46138888888889,1,3,3,49,2,1,7
junegunn/fzf,MERGED,15.081111111111111,5,11,11,1908,3,8,5
junegunn/fzf,MERGED,118.97333333333333,7,460,197,756,1,1,2
junegunn/fzf,MERGED,22.514444444444443,11,826,226,938,1,0,1
junegunn/fzf,MERGED,24.534444444444443,2,22,18,261,2,1,1
junegunn/fzf,MERGED,52.21472222222222,6,180,39,818,2,5,3
junegunn/fzf,MERGED,39.81611111111111,2,67,10,1615,2,7,4
junegunn/fzf,MERGED,1.8466666666666667,1,17,1,1606,2,4,1
junegunn/fzf,MERGED,67.23277777777778,1,33,0,1625,2,2,1
junegunn/fzf,MERGED,23.724722222222223,1,3,3,680,3,4,3
junegunn/fzf,MERGED,51.825833333333335,7,60,19,867,2,12,3
junegunn/fzf,MERGED,118.48555555555555,1,27,15,1081,2,4,4
junegunn/fzf,MERGED,1.4141666666666666,2,3,2,774,3,2,1
junegunn/fzf,CLOSED,54.42472222222222,3,10,7,9,2,9,2
junegunn/fzf,MERGED,6.1130555555555555,2,15,0,1278,2,1,1
junegunn/fzf,MERGED,6.5777777777777775,3,4,4,0,2,1,1
junegunn/fzf,CLOSED,1512.1555555555556,2,3,3,1593,1,1,1
junegunn/fzf,MERGED,27.816111111111113,2,41,6,497,2,4,2
junegunn/fzf,MERGED,3.162777777777778,2,12,1,10,2,1,2
junegunn/fzf,MERGED,12.8675,1,119,138,445,2,2,1
junegunn/fzf,MERGED,5.876666666666667,1,3,3,668,2,4,4
junegunn/fzf,MERGED,53.93083333333333,1,14,0,74,2,5,3
junegunn/fzf,MERGED,18.240277777777777,5,30,12,450,2,3,7
junegunn/fzf,MERGED,28.90138888888889,1,1,1,88,2,1,1
junegunn/fzf,MERGED,18.293333333333333,2,30,14,827,2,1,1
junegunn/fzf,MERGED,56.153055555555554,1,24,15,1079,2,4,1
junegunn/fzf,MERGED,88.38277777777778,1,44,36,2097,2,5,3
junegunn/fzf,MERGED,53.984722222222224,1,16,8,2221,3,11,1
junegunn/fzf,MERGED,7.030833333333334,2,2,2,296,3,4,5
junegunn/fzf,MERGED,7.217777777777778,2,2,2,452,3,2,4
junegunn/fzf,MERGED,28.18638888888889,1,7,3,3176,2,1,1
junegunn/fzf,MERGED,337.03472222222223,1,1,1,274,3,8,1
junegunn/fzf,MERGED,8566.03388888889,5,221,145,554,2,4,2
junegunn/fzf,MERGED,8561.448055555555,9,1228,117,665,5,25,11
junegunn/fzf,MERGED,126.57916666666667,3,23,5,247,2,7,2
junegunn/fzf,MERGED,1.7780555555555555,1,4,4,2181,2,2,1
junegunn/fzf,MERGED,33.81472222222222,2,481,481,1574,2,5,8
junegunn/fzf,MERGED,7.848055555555556,1,2,2,313,2,1,9
junegunn/fzf,MERGED,22.934444444444445,1,14,6,41,2,3,4
junegunn/fzf,CLOSED,491.4552777777778,1,6,1,187,2,0,4
junegunn/fzf,MERGED,7.8025,1,1,1,197,2,4,4
junegunn/fzf,MERGED,428.5883333333333,48,2449,936,1625,3,21,12
junegunn/fzf,MERGED,3.067222222222222,1,1,1,613,2,0,1
junegunn/fzf,MERGED,2.6822222222222223,3,8,8,292,2,1,1
junegunn/fzf,MERGED,31.164722222222224,4,47,3,567,2,3,9
junegunn/fzf,MERGED,2.1133333333333333,1,1,1,1446,2,1,2
