repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
justjavac/free-programming-books-zh_CN,CLOSED,428.84555555555556,1,2,1,0,7,5,1
justjavac/free-programming-books-zh_CN,MERGED,1981.3105555555555,1,1,1,0,5,3,1
justjavac/free-programming-books-zh_CN,MERGED,2153.3488888888887,1,2,0,16,2,0,1
justjavac/free-programming-books-zh_CN,MERGED,2419.526388888889,1,1,0,0,2,0,1
justjavac/free-programming-books-zh_CN,MERGED,2438.8119444444446,1,2,0,48,10,8,1
justjavac/free-programming-books-zh_CN,MERGED,2795.2355555555555,1,7,0,0,10,7,3
justjavac/free-programming-books-zh_CN,MERGED,12119.359444444444,1,7,0,79,2,0,1
justjavac/free-programming-books-zh_CN,MERGED,12375.869444444445,1,1,1,0,3,1,1
justjavac/free-programming-books-zh_CN,CLOSED,13511.6625,0,0,0,6,4,0,1
justjavac/free-programming-books-zh_CN,MERGED,18111.236666666668,1,2,0,0,3,1,1
justjavac/free-programming-books-zh_CN,MERGED,18552.84138888889,1,4,0,96,2,0,1
justjavac/free-programming-books-zh_CN,MERGED,18578.60388888889,1,1,1,116,2,0,1
justjavac/free-programming-books-zh_CN,MERGED,2776.7272222222223,1,1,0,29,2,2,1
justjavac/free-programming-books-zh_CN,MERGED,5493.238611111111,1,1,1,183,3,1,1
justjavac/free-programming-books-zh_CN,CLOSED,10544.749444444444,1,3,0,17,3,1,1
justjavac/free-programming-books-zh_CN,CLOSED,404.7786111111111,1,4,0,0,2,0,1
justjavac/free-programming-books-zh_CN,CLOSED,13707.775277777779,0,0,0,13,3,1,1
justjavac/free-programming-books-zh_CN,MERGED,4710.048611111111,1,1,0,36,3,0,1
justjavac/free-programming-books-zh_CN,CLOSED,4962.174444444445,1,1,0,51,3,1,1
justjavac/free-programming-books-zh_CN,CLOSED,20114.049444444445,1,2,0,17,5,3,1
justjavac/free-programming-books-zh_CN,CLOSED,19039.998333333333,1,1,1,0,3,0,1
