repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
jwasham/coding-interview-university,CLOSED,4.170277777777778,1,0,3,12,2,2,2
jwasham/coding-interview-university,MERGED,20.435277777777777,1,0,1,0,3,1,1
jwasham/coding-interview-university,CLOSED,11.002777777777778,1,1247,1128,161,3,1,1
jwasham/coding-interview-university,MERGED,32.02972222222222,27,27,27,77,3,0,1
jwasham/coding-interview-university,MERGED,7.785,1,1,0,249,3,1,1
jwasham/coding-interview-university,CLOSED,7.8308333333333335,1,10,10,0,3,1,1
jwasham/coding-interview-university,MERGED,35.43138888888889,1,2,1,67,2,1,2
jwasham/coding-interview-university,MERGED,15.274722222222222,1,1,0,135,2,2,1
jwasham/coding-interview-university,MERGED,531.3944444444444,0,0,0,53,2,3,1
jwasham/coding-interview-university,CLOSED,4.425277777777778,1,7,4,0,3,2,1
jwasham/coding-interview-university,MERGED,113.10583333333334,25,47,25,0,3,3,2
jwasham/coding-interview-university,MERGED,19.583333333333332,1,1776,1550,290,2,3,1
jwasham/coding-interview-university,MERGED,13.155,1,5,5,0,2,1,3
jwasham/coding-interview-university,MERGED,14.116944444444444,1,20,22,0,2,1,5
jwasham/coding-interview-university,CLOSED,295.58694444444444,1,3,1,0,2,0,1
jwasham/coding-interview-university,MERGED,191.08833333333334,2,1408,0,36,2,12,2
jwasham/coding-interview-university,MERGED,1272.9166666666667,1,39,39,76,3,2,1
jwasham/coding-interview-university,MERGED,27.589444444444446,1,1,1,169,2,2,2
jwasham/coding-interview-university,MERGED,102.42861111111111,2,1,1,54,4,7,2
jwasham/coding-interview-university,MERGED,132.13416666666666,1,26,26,72,2,1,1
jwasham/coding-interview-university,MERGED,54.13166666666667,1,316,352,154,2,3,2
jwasham/coding-interview-university,MERGED,47.007222222222225,1,2,2,0,2,3,1
jwasham/coding-interview-university,CLOSED,12.734722222222222,1,4,4,0,3,1,1
jwasham/coding-interview-university,MERGED,381.57138888888886,1,1988,0,76,3,6,7
jwasham/coding-interview-university,MERGED,39.25833333333333,2,79,86,189,2,3,2
jwasham/coding-interview-university,CLOSED,6070.700833333333,1,27,23,147,2,1,1
jwasham/coding-interview-university,MERGED,18.01861111111111,1,2,0,0,3,1,1
jwasham/coding-interview-university,MERGED,108.5,1,5,0,173,2,3,1
jwasham/coding-interview-university,CLOSED,5.601944444444444,1,1,1,8,2,2,1
jwasham/coding-interview-university,CLOSED,15.938333333333333,1,4,0,133,2,1,1
jwasham/coding-interview-university,CLOSED,14.022222222222222,1,3,1,63,3,2,1
jwasham/coding-interview-university,CLOSED,81.29555555555555,1,8,0,170,2,1,1
jwasham/coding-interview-university,MERGED,92.32972222222222,1,2,1,72,2,1,1
jwasham/coding-interview-university,CLOSED,4.4447222222222225,1,7,7,0,4,1,1
jwasham/coding-interview-university,CLOSED,1.7219444444444445,1,1,1,0,3,1,1
jwasham/coding-interview-university,MERGED,49.235,1,1992,0,24,3,1,1
jwasham/coding-interview-university,MERGED,232.30833333333334,1,5,0,77,3,2,2
jwasham/coding-interview-university,MERGED,39.5525,16,0,15,207,3,1,1
jwasham/coding-interview-university,CLOSED,14.373333333333333,1,1,0,165,3,1,1
jwasham/coding-interview-university,MERGED,31.656944444444445,1,114,114,85,3,4,1
jwasham/coding-interview-university,MERGED,58.37111111111111,1,3,0,53,4,2,3
jwasham/coding-interview-university,CLOSED,34.91777777777778,1,1,1,0,4,3,1
jwasham/coding-interview-university,MERGED,152.08027777777778,1,1,1,24,5,2,2
jwasham/coding-interview-university,CLOSED,2979.0808333333334,1,3,0,109,5,1,3
jwasham/coding-interview-university,MERGED,3568.117222222222,1,1,1,0,3,0,1
jwasham/coding-interview-university,MERGED,8417.981944444444,1,1978,0,27,4,3,3
jwasham/coding-interview-university,MERGED,3.615,2,1201,1208,319,2,2,2
jwasham/coding-interview-university,MERGED,971.59,1,0,0,118,3,1,1
jwasham/coding-interview-university,CLOSED,39955.851111111115,1,259,255,0,7,6,7
jwasham/coding-interview-university,MERGED,69.82805555555555,1,0,6,18,2,2,3
jwasham/coding-interview-university,MERGED,1515.2944444444445,1,2094,0,41,3,5,7
jwasham/coding-interview-university,MERGED,18.539444444444445,13,13,13,101,4,1,1
jwasham/coding-interview-university,MERGED,88.49583333333334,1,3,3,92,2,2,2
jwasham/coding-interview-university,MERGED,18990.592777777776,0,0,0,0,4,2,2
jwasham/coding-interview-university,CLOSED,11410.350277777778,1,2,2,40,2,0,4
jwasham/coding-interview-university,MERGED,328.79055555555556,1,3,2,0,2,1,1
jwasham/coding-interview-university,MERGED,23034.945277777777,1,31,31,107,3,2,1
jwasham/coding-interview-university,MERGED,42.617777777777775,1,103,102,184,3,1,1
jwasham/coding-interview-university,CLOSED,57099.00111111111,1,86,77,14,5,2,3
jwasham/coding-interview-university,MERGED,27.24361111111111,1,1,1,95,3,1,1
jwasham/coding-interview-university,MERGED,89.63805555555555,1,1,1,68,3,1,1
jwasham/coding-interview-university,CLOSED,61474.47972222222,1,39,9,106,6,12,2
jwasham/coding-interview-university,MERGED,37686.265555555554,1,45,0,28,4,1,1
jwasham/coding-interview-university,MERGED,3.667222222222222,1,20,17,71,4,4,1
jwasham/coding-interview-university,MERGED,14.334166666666667,1,21,22,102,3,2,1
jwasham/coding-interview-university,CLOSED,3958.9591666666665,1,24,24,29,4,0,2
jwasham/coding-interview-university,MERGED,621.8477777777778,1,18,18,0,3,2,1
jwasham/coding-interview-university,MERGED,190.96555555555557,1,1940,0,75,3,5,9
jwasham/coding-interview-university,CLOSED,37.280277777777776,1,3,239,0,3,1,1
jwasham/coding-interview-university,CLOSED,40105.211388888885,1,37,38,67,6,9,3
jwasham/coding-interview-university,MERGED,18.989444444444445,1,15,15,18,4,0,1
jwasham/coding-interview-university,MERGED,34474.08472222222,1,2001,0,0,12,9,3
jwasham/coding-interview-university,MERGED,86.17444444444445,2,1678,1,51,3,4,2
jwasham/coding-interview-university,MERGED,3813.804166666667,2,1923,2020,536,8,11,12
jwasham/coding-interview-university,MERGED,10.1425,1,3,0,152,2,2,2
jwasham/coding-interview-university,MERGED,1.9294444444444445,2,10,1,38,3,1,1
jwasham/coding-interview-university,MERGED,2.0108333333333333,1,87,102,115,3,5,1
jwasham/coding-interview-university,CLOSED,5.530277777777778,1,21,0,0,3,1,1
jwasham/coding-interview-university,MERGED,6.537222222222222,1,1,1,0,3,0,1
