repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
kamranahmedse/developer-roadmap,CLOSED,22.394166666666667,1,3,1,83,2,0,1
kamranahmedse/developer-roadmap,MERGED,4.913333333333333,1,4,3,0,2,0,2
kamranahmedse/developer-roadmap,MERGED,25.329166666666666,78,687,80,282,1,0,1
kamranahmedse/developer-roadmap,CLOSED,118.70777777777778,1,13,11,71,3,1,3
kamranahmedse/developer-roadmap,CLOSED,272.3622222222222,2,19,5,94,3,4,1
kamranahmedse/developer-roadmap,MERGED,124.53138888888888,35,682,706,0,3,0,1
kamranahmedse/developer-roadmap,MERGED,188.77444444444444,148,1165,147,292,2,0,1
kamranahmedse/developer-roadmap,MERGED,72.92388888888888,1,2,1,88,3,0,1
kamranahmedse/developer-roadmap,MERGED,10.25361111111111,1,7,8,0,3,0,1
kamranahmedse/developer-roadmap,MERGED,11.162222222222223,7,365,97,0,2,0,1
kamranahmedse/developer-roadmap,MERGED,6.485277777777778,6,466,2,0,2,0,2
kamranahmedse/developer-roadmap,CLOSED,578.1730555555556,1,1,0,31,3,1,3
kamranahmedse/developer-roadmap,MERGED,25.628055555555555,16,2965,415,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,10.660555555555556,1,1,2,178,2,0,1
kamranahmedse/developer-roadmap,MERGED,40.01444444444444,6,8,29,315,3,0,1
kamranahmedse/developer-roadmap,MERGED,35.91111111111111,1,1,1,36,2,0,1
kamranahmedse/developer-roadmap,MERGED,55.539722222222224,1,1,0,33,2,0,3
kamranahmedse/developer-roadmap,MERGED,55.166666666666664,1,2,2,0,2,0,1
kamranahmedse/developer-roadmap,MERGED,131.01055555555556,3,21,3,260,2,0,1
kamranahmedse/developer-roadmap,MERGED,3.238888888888889,2,4,4,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,4.541111111111111,2,1,1,55,2,0,1
kamranahmedse/developer-roadmap,MERGED,291.3486111111111,1,0,1,248,2,0,1
kamranahmedse/developer-roadmap,MERGED,311.36833333333334,1,13,1,32,3,0,3
kamranahmedse/developer-roadmap,MERGED,393.3561111111111,6,877,9,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,21.284444444444443,1,1,0,30,2,0,1
kamranahmedse/developer-roadmap,MERGED,28.59777777777778,1,1,1,0,2,0,1
kamranahmedse/developer-roadmap,MERGED,132.98611111111111,2,5,26,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,14.075277777777778,1,1003,0,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,7.905833333333334,1,1643,212,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,153.3036111111111,1,1,1,36,2,0,1
kamranahmedse/developer-roadmap,MERGED,14.221388888888889,1,24,3,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,141.57694444444445,59,388,399,73,2,2,5
kamranahmedse/developer-roadmap,MERGED,9.593055555555555,11,3577,251,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,109.71194444444444,1,0,1,173,2,0,1
kamranahmedse/developer-roadmap,MERGED,37.585,1,1,1,61,2,0,1
kamranahmedse/developer-roadmap,MERGED,36.359722222222224,3,2813,9,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,214.73944444444444,1,3,3,113,2,0,1
kamranahmedse/developer-roadmap,MERGED,44.38611111111111,1,936,0,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,28.544166666666666,2,5,32,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,372.96444444444444,1,10,1,41,2,0,1
kamranahmedse/developer-roadmap,MERGED,419.0602777777778,1,5,1,16,2,0,1
kamranahmedse/developer-roadmap,MERGED,434.9091666666667,2,5,5,160,3,0,3
kamranahmedse/developer-roadmap,MERGED,62.42611111111111,16,550,384,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,9.768888888888888,1,1225,0,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,30.591944444444444,2,1214,1,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,3.385,1,1,1,142,2,0,1
kamranahmedse/developer-roadmap,MERGED,10.56861111111111,2,1019,46,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,1.5016666666666667,1,117,117,315,2,0,1
kamranahmedse/developer-roadmap,CLOSED,162.62944444444443,1,7,1,166,2,1,1
kamranahmedse/developer-roadmap,MERGED,265.29055555555556,1,1,0,34,2,0,1
kamranahmedse/developer-roadmap,MERGED,310.9869444444444,1,1,1,168,2,0,1
kamranahmedse/developer-roadmap,MERGED,312.1086111111111,1,7,1,109,3,2,1
kamranahmedse/developer-roadmap,MERGED,112.64277777777778,2,258,0,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,440.9402777777778,1,6,101,0,2,0,2
kamranahmedse/developer-roadmap,MERGED,450.19416666666666,1,9,0,376,2,0,1
kamranahmedse/developer-roadmap,MERGED,120.5911111111111,1,2,2,46,2,0,1
kamranahmedse/developer-roadmap,CLOSED,453.62611111111113,1,1,1,0,3,2,2
kamranahmedse/developer-roadmap,MERGED,3.611666666666667,4,76,14,0,2,0,1
kamranahmedse/developer-roadmap,MERGED,8.717222222222222,1,3,3,0,4,1,2
kamranahmedse/developer-roadmap,MERGED,8.862222222222222,1,1,1,0,2,0,1
kamranahmedse/developer-roadmap,MERGED,8.939166666666667,1,1,1,0,2,0,1
kamranahmedse/developer-roadmap,MERGED,8.990555555555556,1,1,1,0,2,0,1
kamranahmedse/developer-roadmap,MERGED,9.043055555555556,1,1,1,0,2,0,1
kamranahmedse/developer-roadmap,MERGED,9.148888888888889,1,1,1,0,2,0,1
kamranahmedse/developer-roadmap,MERGED,9.454722222222221,1,1,1,0,2,0,1
kamranahmedse/developer-roadmap,CLOSED,520.5166666666667,1,52,5,52,3,1,1
kamranahmedse/developer-roadmap,MERGED,521.5994444444444,1,1,0,80,3,0,2
kamranahmedse/developer-roadmap,MERGED,69.83611111111111,1,1,0,0,2,0,1
kamranahmedse/developer-roadmap,MERGED,169.89833333333334,9,87,60,0,2,0,1
kamranahmedse/developer-roadmap,MERGED,41.38638888888889,1,2,2,138,3,0,1
kamranahmedse/developer-roadmap,MERGED,5.0936111111111115,1,0,1,86,2,0,1
kamranahmedse/developer-roadmap,MERGED,18.8675,1,5,1,73,2,0,1
kamranahmedse/developer-roadmap,MERGED,27.848333333333333,1,0,1,34,2,0,1
kamranahmedse/developer-roadmap,MERGED,76.74027777777778,1,20,2,14,2,0,1
kamranahmedse/developer-roadmap,MERGED,7.670555555555556,99,701,105,83,2,0,5
kamranahmedse/developer-roadmap,MERGED,109.68694444444445,5,2013,331,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,77.89222222222222,24,36,28,0,2,0,2
kamranahmedse/developer-roadmap,MERGED,55.97222222222222,3,343,205,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,65.89472222222223,17,23,18,70,2,0,1
kamranahmedse/developer-roadmap,MERGED,333.0225,1,1,0,80,4,0,6
kamranahmedse/developer-roadmap,MERGED,51.118611111111115,22,32,38,0,2,0,1
kamranahmedse/developer-roadmap,MERGED,61.5675,3,587,114,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,138.96583333333334,11,19,16,0,3,0,6
kamranahmedse/developer-roadmap,MERGED,72.45833333333333,95,322,2717,35,2,0,1
kamranahmedse/developer-roadmap,MERGED,389.6722222222222,1,1,1,90,2,0,1
kamranahmedse/developer-roadmap,MERGED,8.93,1,7,1,40,2,0,2
kamranahmedse/developer-roadmap,MERGED,31.695,5,27,11,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,18.05388888888889,1,7,5,43,2,0,1
kamranahmedse/developer-roadmap,MERGED,20.141666666666666,1,2,1,74,2,0,2
kamranahmedse/developer-roadmap,MERGED,310.2397222222222,3,31,15,0,2,0,2
kamranahmedse/developer-roadmap,MERGED,63.09,1,1,1,274,2,0,1
kamranahmedse/developer-roadmap,MERGED,98.20805555555556,1,23,0,51,2,0,1
kamranahmedse/developer-roadmap,MERGED,127.5475,1,1,1,178,2,0,1
kamranahmedse/developer-roadmap,MERGED,166.4452777777778,1,1,2,240,2,0,1
kamranahmedse/developer-roadmap,MERGED,223.585,2,27,3,0,2,0,1
kamranahmedse/developer-roadmap,MERGED,269.6119444444444,1,1,1,195,2,0,1
kamranahmedse/developer-roadmap,CLOSED,271.1875,1,13,1,113,2,2,1
kamranahmedse/developer-roadmap,CLOSED,273.6019444444444,1,2,2,8,2,1,2
kamranahmedse/developer-roadmap,MERGED,291.6116666666667,1,2,2,141,2,0,1
kamranahmedse/developer-roadmap,MERGED,14.725833333333334,2,2,2,174,2,0,1
kamranahmedse/developer-roadmap,CLOSED,318.6852777777778,1,106,1,83,2,1,1
kamranahmedse/developer-roadmap,MERGED,326.0002777777778,3,2,2,0,2,0,2
kamranahmedse/developer-roadmap,CLOSED,353.7338888888889,1,52,1,91,2,2,1
kamranahmedse/developer-roadmap,MERGED,1.0575,1,1,1,14,2,1,1
kamranahmedse/developer-roadmap,CLOSED,7.5472222222222225,1,98,1,0,2,2,1
kamranahmedse/developer-roadmap,MERGED,8.481666666666667,1,1,1,59,2,0,1
kamranahmedse/developer-roadmap,CLOSED,19.850277777777777,1,1,0,19,2,0,1
kamranahmedse/developer-roadmap,MERGED,33.821666666666665,1,1,1,68,2,0,1
kamranahmedse/developer-roadmap,MERGED,38.772222222222226,1,11,1,0,2,0,1
kamranahmedse/developer-roadmap,MERGED,10.793888888888889,1,2,2,315,2,0,1
kamranahmedse/developer-roadmap,CLOSED,1.4738888888888888,1,112,1,50,2,1,1
kamranahmedse/developer-roadmap,CLOSED,3.106388888888889,1,1,1,68,1,0,1
kamranahmedse/developer-roadmap,MERGED,35.08972222222222,1,1,1,131,2,0,1
kamranahmedse/developer-roadmap,CLOSED,94.44388888888889,1,56,30,113,2,0,1
kamranahmedse/developer-roadmap,MERGED,3.1844444444444444,1,2,2,117,2,0,1
kamranahmedse/developer-roadmap,MERGED,541.5811111111111,1,3,1,47,2,0,2
kamranahmedse/developer-roadmap,MERGED,15.386666666666667,4,207,48,315,2,0,1
kamranahmedse/developer-roadmap,CLOSED,1.4280555555555556,1,11,0,0,2,1,1
kamranahmedse/developer-roadmap,CLOSED,2.058333333333333,1,139,1,32,2,3,1
kamranahmedse/developer-roadmap,MERGED,3.2086111111111113,1,1,0,123,2,0,1
kamranahmedse/developer-roadmap,MERGED,4.527777777777778,1,10,1,0,2,0,2
kamranahmedse/developer-roadmap,MERGED,5.515833333333333,1,1,0,35,2,0,1
kamranahmedse/developer-roadmap,CLOSED,5.8775,1,93,1,67,2,2,1
kamranahmedse/developer-roadmap,MERGED,15.502222222222223,21,311,292,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,1.9877777777777779,1,1,0,58,2,0,1
kamranahmedse/developer-roadmap,MERGED,4.799722222222222,1,1,3,434,3,0,2
kamranahmedse/developer-roadmap,MERGED,2.01,1,0,2,124,2,0,2
kamranahmedse/developer-roadmap,CLOSED,9.5675,1,5,0,32,2,0,1
kamranahmedse/developer-roadmap,CLOSED,14.311111111111112,1,131,1,0,2,1,1
kamranahmedse/developer-roadmap,MERGED,5.963888888888889,1,1,0,48,2,0,1
kamranahmedse/developer-roadmap,MERGED,8.314444444444444,1,1,1,140,2,0,2
kamranahmedse/developer-roadmap,MERGED,30.638055555555557,1,3,0,49,2,0,2
kamranahmedse/developer-roadmap,MERGED,36.82694444444444,1,2,1,92,2,0,2
kamranahmedse/developer-roadmap,MERGED,70.15194444444444,1,1,1,480,2,0,1
kamranahmedse/developer-roadmap,CLOSED,74.47888888888889,1,1,1,48,3,1,1
kamranahmedse/developer-roadmap,CLOSED,81.45972222222223,1,2,2,34,2,0,1
kamranahmedse/developer-roadmap,MERGED,81.5286111111111,1,1,1,275,2,0,2
kamranahmedse/developer-roadmap,MERGED,83.71833333333333,1,2,1,83,2,0,1
kamranahmedse/developer-roadmap,MERGED,62.01277777777778,3,748,1,315,2,0,1
kamranahmedse/developer-roadmap,CLOSED,89.3638888888889,55,74,74,0,2,2,1
kamranahmedse/developer-roadmap,MERGED,1.011111111111111,1,1,1,221,2,0,2
kamranahmedse/developer-roadmap,MERGED,18.717777777777776,1,1,0,63,2,0,2
kamranahmedse/developer-roadmap,MERGED,121.63361111111111,1,1,1,112,2,0,1
kamranahmedse/developer-roadmap,MERGED,145.75916666666666,1,0,1,32,2,0,1
kamranahmedse/developer-roadmap,MERGED,17.829722222222223,2,24,3,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,10.900555555555556,1,2,2,97,2,0,1
kamranahmedse/developer-roadmap,CLOSED,180.32555555555555,1,12,1,32,2,0,1
kamranahmedse/developer-roadmap,MERGED,188.57805555555555,1,2,2,200,2,0,1
kamranahmedse/developer-roadmap,MERGED,4.347222222222222,1,3,3,0,2,0,1
kamranahmedse/developer-roadmap,MERGED,12.786944444444444,1,3,24,315,2,0,1
kamranahmedse/developer-roadmap,CLOSED,78.0663888888889,1,13,13,0,2,0,1
kamranahmedse/developer-roadmap,MERGED,10.7825,1,0,0,23,2,0,2
kamranahmedse/developer-roadmap,MERGED,12.553333333333333,1,0,5,315,2,0,1
kamranahmedse/developer-roadmap,CLOSED,19.587222222222223,1,1,6,44,2,1,1
kamranahmedse/developer-roadmap,MERGED,35.93472222222222,1,0,1,68,2,0,2
kamranahmedse/developer-roadmap,MERGED,416.8902777777778,1,9,1,49,2,0,1
kamranahmedse/developer-roadmap,MERGED,25.8675,2,8,7,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,464.1147222222222,1,5,1,46,2,0,1
kamranahmedse/developer-roadmap,CLOSED,503.6152777777778,1,70,1,17,2,0,1
kamranahmedse/developer-roadmap,CLOSED,49.959722222222226,1,2,2,0,2,1,1
kamranahmedse/developer-roadmap,MERGED,87.03472222222223,2,24,3,315,2,0,2
kamranahmedse/developer-roadmap,MERGED,2.036388888888889,1,1,1,94,2,0,1
kamranahmedse/developer-roadmap,CLOSED,585.1838888888889,1,1,1,240,2,1,1
kamranahmedse/developer-roadmap,CLOSED,4.0280555555555555,1,1,0,224,1,0,1
kamranahmedse/developer-roadmap,MERGED,49.248333333333335,1,8,1,0,2,0,1
kamranahmedse/developer-roadmap,CLOSED,69.98694444444445,1,30,0,51,2,3,1
kamranahmedse/developer-roadmap,MERGED,44.720555555555556,1,5,0,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,672.2161111111111,1,1,1,94,2,0,1
kamranahmedse/developer-roadmap,CLOSED,19.025833333333335,1,37,0,71,2,0,1
kamranahmedse/developer-roadmap,CLOSED,727.9397222222223,1,15,1,418,2,1,1
kamranahmedse/developer-roadmap,MERGED,113.215,1,1,1,36,2,0,2
kamranahmedse/developer-roadmap,CLOSED,745.9788888888888,1,5,1,389,2,0,1
kamranahmedse/developer-roadmap,MERGED,35.634166666666665,5,4341,364,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,455.14194444444445,1,1,1,113,2,0,1
kamranahmedse/developer-roadmap,MERGED,763.1277777777777,1,9,0,193,2,0,1
kamranahmedse/developer-roadmap,MERGED,770.1319444444445,1,1,1,224,2,0,1
kamranahmedse/developer-roadmap,CLOSED,770.1672222222222,1,0,1,160,3,0,2
kamranahmedse/developer-roadmap,MERGED,5.990555555555556,7,67,7,62,2,0,1
kamranahmedse/developer-roadmap,MERGED,4.791944444444445,1,5,0,131,2,0,1
kamranahmedse/developer-roadmap,MERGED,10.873888888888889,1,1,1,129,2,0,1
kamranahmedse/developer-roadmap,MERGED,29.04388888888889,1,4,3,242,2,0,1
kamranahmedse/developer-roadmap,MERGED,32.79972222222222,3,19,8,315,2,0,1
kamranahmedse/developer-roadmap,CLOSED,45.45194444444444,2,6,3,126,3,0,1
kamranahmedse/developer-roadmap,CLOSED,47.66138888888889,1,1,2,0,2,0,1
kamranahmedse/developer-roadmap,MERGED,7.050833333333333,1,3,3,80,2,0,1
kamranahmedse/developer-roadmap,CLOSED,4.6561111111111115,1,4,4,0,2,1,1
kamranahmedse/developer-roadmap,MERGED,2927.014166666667,31,38,3,372,2,4,1
kamranahmedse/developer-roadmap,MERGED,1.4627777777777777,2,32,2,551,2,1,1
kamranahmedse/developer-roadmap,CLOSED,109.88277777777778,1,2,2,71,2,1,1
kamranahmedse/developer-roadmap,MERGED,3.9480555555555554,1,1,1,162,2,0,1
kamranahmedse/developer-roadmap,MERGED,147.23305555555555,1,1,1,77,3,0,3
kamranahmedse/developer-roadmap,CLOSED,25.540277777777778,1,4,0,13,1,0,1
kamranahmedse/developer-roadmap,MERGED,60.46194444444444,2,923,1,315,2,0,1
kamranahmedse/developer-roadmap,CLOSED,220.03916666666666,1,18,1,36,3,1,1
kamranahmedse/developer-roadmap,MERGED,244.3761111111111,1,1,1,173,2,0,1
kamranahmedse/developer-roadmap,MERGED,41.73111111111111,1,3,9,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,5.651388888888889,1,0,0,45,2,0,2
kamranahmedse/developer-roadmap,CLOSED,44.45583333333333,1,62,0,91,2,2,1
kamranahmedse/developer-roadmap,MERGED,314.8827777777778,1,2,2,0,2,0,1
kamranahmedse/developer-roadmap,MERGED,58.221111111111114,1,1,1,232,2,0,1
kamranahmedse/developer-roadmap,MERGED,4.9825,1,1,1,76,2,0,2
kamranahmedse/developer-roadmap,MERGED,17.825555555555557,1,1,0,103,2,0,2
kamranahmedse/developer-roadmap,MERGED,58.95666666666666,1,1,1,315,2,0,1
kamranahmedse/developer-roadmap,CLOSED,13.455555555555556,1,1,1,21,2,1,1
kamranahmedse/developer-roadmap,MERGED,388.7783333333333,1,4,2,735,2,0,1
kamranahmedse/developer-roadmap,MERGED,102.7388888888889,1,9,0,224,2,0,2
kamranahmedse/developer-roadmap,MERGED,39.11194444444445,6,33,17,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,16.481666666666666,1,1,1,65,2,0,1
kamranahmedse/developer-roadmap,MERGED,20.819166666666668,1,1,1,82,2,0,1
kamranahmedse/developer-roadmap,MERGED,31.08,1,3,3,192,2,0,1
kamranahmedse/developer-roadmap,MERGED,6.116666666666666,1,3,3,11,2,0,1
kamranahmedse/developer-roadmap,MERGED,12.955,3,16,5,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,49.533055555555556,1,3,3,433,3,0,2
kamranahmedse/developer-roadmap,MERGED,56.95638888888889,1,2,2,32,3,1,1
kamranahmedse/developer-roadmap,MERGED,62.59222222222222,2,2,2,87,2,0,1
kamranahmedse/developer-roadmap,MERGED,8.08611111111111,1,1,1,77,2,0,1
kamranahmedse/developer-roadmap,MERGED,4.621111111111111,1,0,0,877,2,0,1
kamranahmedse/developer-roadmap,MERGED,13.348055555555556,1,1,1,235,2,0,1
kamranahmedse/developer-roadmap,MERGED,16.005277777777778,3,151,79,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,54.58694444444444,1,1,0,71,2,0,2
kamranahmedse/developer-roadmap,MERGED,55.53194444444444,1,1,1,97,2,0,2
kamranahmedse/developer-roadmap,MERGED,56.06666666666667,4,6,6,245,2,0,1
kamranahmedse/developer-roadmap,CLOSED,159.0438888888889,1,5,0,58,2,2,1
kamranahmedse/developer-roadmap,CLOSED,64.71805555555555,3,10,1,107,2,1,1
kamranahmedse/developer-roadmap,MERGED,74.92361111111111,52,114,76,40,2,0,1
kamranahmedse/developer-roadmap,MERGED,76.03694444444444,1,1,1,0,2,0,1
kamranahmedse/developer-roadmap,CLOSED,178.9711111111111,1,58,19,44,2,1,1
kamranahmedse/developer-roadmap,CLOSED,180.38972222222222,1,1,1,525,2,0,1
kamranahmedse/developer-roadmap,MERGED,72.365,1,11,1,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,16.833055555555557,1,1,1,0,2,0,2
kamranahmedse/developer-roadmap,MERGED,21.05472222222222,1,1,0,0,2,0,1
kamranahmedse/developer-roadmap,MERGED,21.845833333333335,1,1,0,0,2,0,1
kamranahmedse/developer-roadmap,MERGED,7.395555555555555,1,2,2,90,2,0,1
kamranahmedse/developer-roadmap,MERGED,8.0225,1,2,2,94,2,0,2
kamranahmedse/developer-roadmap,MERGED,10.478055555555555,1,7,1,0,2,0,1
kamranahmedse/developer-roadmap,MERGED,14.726944444444445,2,4,4,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,1.6347222222222222,1,1,1,158,2,0,1
