repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
krahets/hello-algo,MERGED,177.9961111111111,5,7,7,88,2,0,1
krahets/hello-algo,MERGED,9.210277777777778,1,1,1,948,2,0,1
krahets/hello-algo,MERGED,481.7175,1,2,2,1012,2,0,1
krahets/hello-algo,MERGED,487.7638888888889,1,1,1,38,2,0,1
krahets/hello-algo,MERGED,604.7741666666667,1,2,2,1088,2,0,1
krahets/hello-algo,CLOSED,919.6797222222223,1,2,2,1137,2,0,1
krahets/hello-algo,CLOSED,1041.1291666666666,1,2,2,1236,2,0,1
krahets/hello-algo,MERGED,117.70694444444445,3,12,20,22,2,0,1
krahets/hello-algo,MERGED,1292.243888888889,1,1,1,1069,2,0,1
krahets/hello-algo,MERGED,416.81305555555554,22,822,613,1227,2,0,11
krahets/hello-algo,MERGED,72.6125,1,1,1,944,2,2,1
krahets/hello-algo,CLOSED,53.37611111111111,1,4,0,944,2,0,1
krahets/hello-algo,MERGED,205.0363888888889,8,41,47,0,2,0,10
krahets/hello-algo,CLOSED,592.3272222222222,79,4588,0,944,2,1,6
krahets/hello-algo,MERGED,558.4355555555555,1,3,3,1064,2,0,1
krahets/hello-algo,MERGED,811.5972222222222,1,2,2,1640,2,0,1
krahets/hello-algo,MERGED,140.3425,1,1,1,163,2,0,1
krahets/hello-algo,MERGED,393.54,1,32,24,79,2,0,1
krahets/hello-algo,MERGED,2848.2194444444444,2,10,0,530,2,0,1
krahets/hello-algo,MERGED,501.9916666666667,1,2,2,1253,2,0,1
krahets/hello-algo,MERGED,559.5958333333333,3,21,21,956,2,0,2
krahets/hello-algo,MERGED,159.86166666666668,1,12,12,944,3,1,3
krahets/hello-algo,MERGED,161.27833333333334,1,1,1,39,2,0,1
krahets/hello-algo,MERGED,241.90083333333334,4,6,28,1065,2,0,1
krahets/hello-algo,MERGED,1908.4041666666667,3,23,10,944,3,0,4
krahets/hello-algo,MERGED,1930.0008333333333,1,4,4,944,3,0,3
krahets/hello-algo,MERGED,669.8783333333333,1,13,1,944,2,0,1
krahets/hello-algo,CLOSED,745.9347222222223,1,1,1,966,1,0,2
krahets/hello-algo,MERGED,2134.9030555555555,1,20,20,2474,3,2,20
krahets/hello-algo,MERGED,25.5475,1,1,1,953,2,0,1
krahets/hello-algo,MERGED,6.725555555555555,1,2,0,944,2,0,1
krahets/hello-algo,MERGED,23.56138888888889,1,10,14,0,2,0,5
krahets/hello-algo,MERGED,232.16555555555556,1,1,3,1119,2,0,1
krahets/hello-algo,MERGED,1418.0494444444444,1,12,12,944,3,1,5
krahets/hello-algo,CLOSED,276.12555555555554,1,3,1,803,2,0,1
krahets/hello-algo,MERGED,278.35083333333336,1,1,1,944,2,0,1
krahets/hello-algo,MERGED,13.048055555555555,1,1,1,944,2,1,1
krahets/hello-algo,MERGED,1441.5802777777778,1,11,11,944,3,2,7
krahets/hello-algo,MERGED,1478.5155555555555,1,55,55,944,3,2,2
krahets/hello-algo,MERGED,335.4066666666667,1,1,1,944,3,0,3
krahets/hello-algo,MERGED,535.1819444444444,1,31,31,944,3,0,4
krahets/hello-algo,MERGED,298.27777777777777,1,31,31,944,4,2,15
krahets/hello-algo,MERGED,594.6047222222222,1,23,23,944,3,1,5
krahets/hello-algo,MERGED,325.99833333333333,2,2,2,723,2,0,1
krahets/hello-algo,MERGED,352.5469444444444,1,2,2,944,4,3,4
krahets/hello-algo,MERGED,689.6277777777777,1,29,29,954,4,1,11
krahets/hello-algo,MERGED,46.67805555555555,4,29,26,36,2,0,1
krahets/hello-algo,MERGED,197.3,1,9,9,944,3,1,3
krahets/hello-algo,MERGED,710.9327777777778,1,12,12,944,4,0,11
krahets/hello-algo,MERGED,711.7336111111111,1,10,10,944,3,0,13
krahets/hello-algo,MERGED,68.55527777777777,1,1,1,944,4,1,3
krahets/hello-algo,MERGED,327.83194444444445,1,11,11,944,3,1,3
krahets/hello-algo,MERGED,841.4975,1,10,10,944,4,0,12
krahets/hello-algo,MERGED,630.1144444444444,1,19,18,944,5,1,16
krahets/hello-algo,MERGED,331.7872222222222,1,2,2,978,3,0,2
krahets/hello-algo,MERGED,331.89722222222224,1,7,7,944,3,0,2
krahets/hello-algo,MERGED,332.72444444444443,1,7,7,944,3,0,3
krahets/hello-algo,MERGED,696.8947222222222,1,10,10,944,3,0,11
krahets/hello-algo,MERGED,351.99833333333333,1,6,6,944,3,2,3
krahets/hello-algo,MERGED,2.4091666666666667,1,1,1,944,2,0,1
krahets/hello-algo,MERGED,3.1469444444444443,1,2,2,739,2,0,1
krahets/hello-algo,MERGED,25.60527777777778,1,1,1,421,2,0,1
krahets/hello-algo,MERGED,342.3688888888889,1,2,2,944,4,2,9
krahets/hello-algo,MERGED,152.04305555555555,1,4,0,506,2,0,1
krahets/hello-algo,MERGED,376.08222222222224,1,1,1,506,3,3,2
krahets/hello-algo,MERGED,132.37722222222223,3,40,24,241,2,1,1
krahets/hello-algo,MERGED,155.59583333333333,1,1,1,1047,2,0,1
krahets/hello-algo,MERGED,753.0688888888889,1,119,119,944,4,2,9
krahets/hello-algo,MERGED,1165.2369444444444,1,4,4,944,3,1,3
krahets/hello-algo,MERGED,79.77194444444444,2,2,2,68,2,0,1
krahets/hello-algo,MERGED,24.91722222222222,2,2,2,944,2,1,1
krahets/hello-algo,MERGED,683.1641666666667,1,23,23,944,3,2,22
krahets/hello-algo,MERGED,683.8047222222223,1,6,6,944,3,3,2
krahets/hello-algo,MERGED,131.3375,1,14,14,944,3,1,3
krahets/hello-algo,MERGED,7.363611111111111,1,1,1,123,2,1,1
krahets/hello-algo,CLOSED,125.07111111111111,1,2,1,1028,2,0,1
krahets/hello-algo,MERGED,190.95805555555555,2,36,10,944,2,6,1
krahets/hello-algo,MERGED,264.3925,1,18,18,944,4,1,4
krahets/hello-algo,MERGED,37.534444444444446,1,3,3,951,3,1,3
krahets/hello-algo,MERGED,1653.7527777777777,1,21,21,944,5,0,13
krahets/hello-algo,MERGED,1663.2522222222221,1,11,10,1281,4,0,5
krahets/hello-algo,MERGED,1184.2397222222223,1,4,4,950,4,4,4
krahets/hello-algo,MERGED,2276.1588888888887,2,30,30,436,5,3,10
krahets/hello-algo,MERGED,579.0377777777778,1,5,5,970,4,0,6
krahets/hello-algo,MERGED,195.88916666666665,1,5,5,1039,5,0,9
krahets/hello-algo,MERGED,196.2422222222222,1,2,2,1049,4,0,4
krahets/hello-algo,MERGED,5.284722222222222,3,38,29,15,2,0,1
krahets/hello-algo,MERGED,5.685,2,4,4,944,2,0,1
krahets/hello-algo,MERGED,33.94833333333333,6,24,24,944,2,1,1
krahets/hello-algo,MERGED,601.3713888888889,3,11,6,1115,3,0,5
krahets/hello-algo,MERGED,288.4275,47,57,80,66,2,3,1
krahets/hello-algo,MERGED,231.99805555555557,1,1,1,232,2,1,1
krahets/hello-algo,MERGED,39.10111111111111,1,2,2,1001,2,0,1
krahets/hello-algo,MERGED,95.51861111111111,1,1,1,955,2,0,2
krahets/hello-algo,MERGED,186.7302777777778,1,8,8,944,3,0,4
krahets/hello-algo,MERGED,143.8361111111111,2,18,20,0,2,0,1
krahets/hello-algo,MERGED,1750.8844444444444,1,20,20,944,3,0,2
krahets/hello-algo,MERGED,1315.2625,1,2,2,944,3,0,2
krahets/hello-algo,CLOSED,116.95861111111111,1,15,0,372,2,2,1
krahets/hello-algo,CLOSED,148.78916666666666,5,582,0,944,2,1,28
krahets/hello-algo,MERGED,43.075,2,2,2,0,2,0,1
krahets/hello-algo,MERGED,153.01888888888888,4,19,30,29,2,0,1
krahets/hello-algo,MERGED,767.3708333333333,1,15,15,950,3,3,3
