repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
kubernetes/kubernetes,MERGED,1.7233333333333334,1,1,1,345,3,4,1
kubernetes/kubernetes,MERGED,92.41111111111111,3,4,4,2045,5,12,6
kubernetes/kubernetes,MERGED,72.79583333333333,16,709,28,997,5,5,10
kubernetes/kubernetes,MERGED,108.15777777777778,1,3,1,352,5,8,1
kubernetes/kubernetes,MERGED,75.30777777777777,4,19,17,419,5,10,1
kubernetes/kubernetes,MERGED,104.72166666666666,1,301,0,462,4,10,10
kubernetes/kubernetes,MERGED,8.841388888888888,6,10,10,18,6,10,1
kubernetes/kubernetes,MERGED,96.06388888888888,12,257,10,994,6,10,3
kubernetes/kubernetes,MERGED,95.96805555555555,2,112,1,67,4,5,3
kubernetes/kubernetes,MERGED,16.406944444444445,1,3,2,692,4,3,2
kubernetes/kubernetes,MERGED,90.79861111111111,3,63,40,458,3,7,2
kubernetes/kubernetes,MERGED,93.87,2,2,2,147,4,5,1
kubernetes/kubernetes,MERGED,5.820555555555556,1,8,1,444,3,4,1
kubernetes/kubernetes,MERGED,3.058611111111111,2,2,2,478,5,10,4
kubernetes/kubernetes,MERGED,112.18166666666667,1,3,3,1117,6,12,1
kubernetes/kubernetes,MERGED,47.236111111111114,2,200,9,747,4,8,1
kubernetes/kubernetes,MERGED,11.813055555555556,11,82,42,430,4,3,2
kubernetes/kubernetes,MERGED,11.81861111111111,11,82,42,430,4,3,2
kubernetes/kubernetes,MERGED,11.825277777777778,11,82,42,430,4,4,2
kubernetes/kubernetes,MERGED,45.176944444444445,2,40,1,739,4,10,1
kubernetes/kubernetes,MERGED,3.1733333333333333,1,1,1,456,5,8,2
kubernetes/kubernetes,MERGED,16.870555555555555,77,1968,956,917,5,10,1
kubernetes/kubernetes,MERGED,164.6338888888889,3,98,19,272,5,10,3
kubernetes/kubernetes,MERGED,35.91861111111111,3,108,61,269,4,6,12
kubernetes/kubernetes,CLOSED,15.51388888888889,11,27,6,502,4,5,1
kubernetes/kubernetes,MERGED,193.70027777777779,13,109,40,1079,9,23,22
kubernetes/kubernetes,MERGED,32.81138888888889,44,623,19,3344,4,14,25
kubernetes/kubernetes,MERGED,52.53333333333333,11,82,41,1209,5,12,9
kubernetes/kubernetes,MERGED,76.89194444444445,2,4,4,636,3,7,1
kubernetes/kubernetes,MERGED,39.50277777777778,1,2,1,393,3,7,1
kubernetes/kubernetes,MERGED,59.36972222222222,3,280,1,522,6,17,29
kubernetes/kubernetes,MERGED,120.02166666666666,3,9,9,307,4,15,2
kubernetes/kubernetes,MERGED,9.633611111111112,5,10,10,366,4,5,1
kubernetes/kubernetes,MERGED,85.40916666666666,2,109,4,486,3,11,5
kubernetes/kubernetes,MERGED,125.03916666666667,5,20,18,254,4,10,4
kubernetes/kubernetes,MERGED,146.25583333333333,15,460,55,820,6,11,17
kubernetes/kubernetes,MERGED,119.45916666666666,4,44,0,633,4,13,1
kubernetes/kubernetes,MERGED,166.1775,2,195,15,1130,5,9,17
kubernetes/kubernetes,MERGED,286.43555555555554,2,27,14,869,6,11,4
kubernetes/kubernetes,MERGED,173.375,2,474,1091,1455,3,8,8
kubernetes/kubernetes,MERGED,23.43888888888889,29,286,99,1024,4,4,1
kubernetes/kubernetes,MERGED,146.8488888888889,1,8,2,431,6,10,1
kubernetes/kubernetes,MERGED,117.0875,4,15,6,550,5,11,5
kubernetes/kubernetes,MERGED,2.596388888888889,4,26,8,386,3,13,2
kubernetes/kubernetes,MERGED,7.405833333333334,2,42,1,408,3,2,1
kubernetes/kubernetes,MERGED,17.405,10,78,38,393,6,11,2
kubernetes/kubernetes,MERGED,17.41,10,78,38,393,6,10,2
kubernetes/kubernetes,MERGED,73.90666666666667,2,27,16,319,6,13,6
kubernetes/kubernetes,MERGED,1.6994444444444445,8,58,36,1039,5,13,7
kubernetes/kubernetes,MERGED,196.7386111111111,1,1,1,307,7,21,1
kubernetes/kubernetes,MERGED,36.83972222222222,1,70,33,2032,5,15,6
kubernetes/kubernetes,MERGED,212.76833333333335,7,11,11,354,10,65,12
kubernetes/kubernetes,MERGED,42.85111111111111,3,39,127,293,5,7,1
kubernetes/kubernetes,MERGED,140.66305555555556,3,31,6,752,6,12,9
kubernetes/kubernetes,MERGED,26.73611111111111,6,72,72,505,6,6,1
kubernetes/kubernetes,MERGED,11.031944444444445,2,2,33,427,3,5,1
kubernetes/kubernetes,MERGED,211.8875,24,1609,34,678,8,15,7
kubernetes/kubernetes,MERGED,2.51,17,24,24,338,4,2,1
kubernetes/kubernetes,MERGED,199.92361111111111,2,4,7,668,6,11,4
kubernetes/kubernetes,CLOSED,334.9277777777778,1,39,28,751,4,5,4
kubernetes/kubernetes,MERGED,52.36361111111111,7,11,11,505,6,8,1
kubernetes/kubernetes,MERGED,78.44222222222223,2,3,3,1925,4,10,7
kubernetes/kubernetes,MERGED,193.43666666666667,31,200,90,469,5,14,3
kubernetes/kubernetes,CLOSED,44.60805555555555,2,17,17,356,3,5,1
kubernetes/kubernetes,MERGED,25.301388888888887,11,0,1788,552,4,21,4
kubernetes/kubernetes,MERGED,32.86416666666667,2,5,47,634,6,9,2
kubernetes/kubernetes,MERGED,404.2363888888889,1,4,4,1606,4,21,3
kubernetes/kubernetes,MERGED,259.2225,2,17,11,826,6,13,4
kubernetes/kubernetes,CLOSED,17.394444444444446,1,8,1,738,4,5,3
kubernetes/kubernetes,MERGED,123.46638888888889,1,34,26,5746,4,5,3
kubernetes/kubernetes,MERGED,74.15916666666666,1,4,18,763,4,11,1
kubernetes/kubernetes,MERGED,120.75638888888889,3,1271,1194,369,6,11,2
kubernetes/kubernetes,MERGED,89.55972222222222,4,83,1,379,5,7,5
kubernetes/kubernetes,MERGED,307.56361111111113,3,107,63,442,5,12,7
kubernetes/kubernetes,MERGED,109.9275,7,7,7,624,5,10,3
kubernetes/kubernetes,MERGED,473.55333333333334,2,19,8,295,5,13,1
kubernetes/kubernetes,MERGED,5.478888888888889,4,11,78,783,5,8,1
kubernetes/kubernetes,MERGED,3.2711111111111113,1,1,1,309,4,7,1
kubernetes/kubernetes,MERGED,351.7133333333333,6,3240,0,187,3,8,8
kubernetes/kubernetes,CLOSED,308.3330555555556,3,7,7,379,4,9,2
kubernetes/kubernetes,MERGED,1.2558333333333334,5,15,15,465,4,6,6
kubernetes/kubernetes,MERGED,2.9730555555555553,42,110,110,586,4,8,8
kubernetes/kubernetes,MERGED,50.94833333333333,2,68,4,404,5,6,1
kubernetes/kubernetes,MERGED,50.954166666666666,2,68,4,404,6,6,2
kubernetes/kubernetes,MERGED,215.98277777777778,19,1141,8,339,7,19,16
kubernetes/kubernetes,CLOSED,1.2036111111111112,5,27,18,32,3,3,2
kubernetes/kubernetes,MERGED,74.93027777777777,6,25,90,1160,5,14,8
kubernetes/kubernetes,MERGED,34.68194444444445,4,3,4,1199,5,9,1
kubernetes/kubernetes,MERGED,163.01944444444445,3,13,14,328,6,10,2
kubernetes/kubernetes,CLOSED,141.08277777777778,5,128,92,424,3,5,3
kubernetes/kubernetes,MERGED,223.16722222222222,2,68,4,404,6,7,1
kubernetes/kubernetes,MERGED,21.0675,7,12,12,508,7,14,2
kubernetes/kubernetes,MERGED,48.3575,7,292,8,1066,6,10,4
