repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
labuladong/fucking-algorithm,MERGED,99.745,1,15,16,90,2,0,1
labuladong/fucking-algorithm,MERGED,359.35777777777776,1,23,19,103,2,3,4
labuladong/fucking-algorithm,CLOSED,336.66305555555556,1,70289,70273,103,2,2,1
labuladong/fucking-algorithm,MERGED,499.8980555555556,1,3,2,105,2,0,1
labuladong/fucking-algorithm,MERGED,546.2794444444445,1,3,1,188,2,0,1
labuladong/fucking-algorithm,MERGED,40.825,1,1,1,81,2,0,1
labuladong/fucking-algorithm,MERGED,138.22972222222222,1,11,12,97,2,0,1
labuladong/fucking-algorithm,MERGED,3.236666666666667,1,1,1,116,2,0,1
labuladong/fucking-algorithm,MERGED,73.75833333333334,1,4,1,75,2,0,1
labuladong/fucking-algorithm,MERGED,87.305,1,7,3,103,2,0,1
labuladong/fucking-algorithm,MERGED,22.424444444444443,1,3,3,98,2,0,1
labuladong/fucking-algorithm,MERGED,2.952777777777778,1,3,3,84,2,0,1
labuladong/fucking-algorithm,MERGED,5.3677777777777775,1,3,3,74,2,0,1
labuladong/fucking-algorithm,MERGED,652.5233333333333,1,1,1,0,2,0,1
labuladong/fucking-algorithm,MERGED,4476.4375,1,7,7,0,2,0,1
labuladong/fucking-algorithm,MERGED,68.21111111111111,1,30,30,0,2,0,1
labuladong/fucking-algorithm,CLOSED,8803.96361111111,1,1,1,0,3,0,1
labuladong/fucking-algorithm,MERGED,2753.4972222222223,1,31,3,32,2,0,1
labuladong/fucking-algorithm,CLOSED,2956.9222222222224,1,212,0,0,3,1,1
labuladong/fucking-algorithm,MERGED,148.88694444444445,1,46,0,10,4,0,1
labuladong/fucking-algorithm,CLOSED,172.23722222222221,1,55,4,0,2,2,1
labuladong/fucking-algorithm,MERGED,1361.5225,1,53,42,337,2,3,6
labuladong/fucking-algorithm,CLOSED,3226.7433333333333,3,84,19,0,2,1,1
labuladong/fucking-algorithm,CLOSED,3237.005277777778,1,59,1,10,2,0,1
labuladong/fucking-algorithm,CLOSED,3237.239722222222,1,47,3,10,2,0,1
labuladong/fucking-algorithm,CLOSED,3238.708888888889,2,153,5,2,2,0,1
labuladong/fucking-algorithm,CLOSED,1947.681388888889,1,10,9,60,3,0,1
labuladong/fucking-algorithm,MERGED,6.021944444444444,2,199,199,22,2,0,1
labuladong/fucking-algorithm,MERGED,4.9094444444444445,2,94,81,36,2,5,1
labuladong/fucking-algorithm,MERGED,1.5594444444444444,9,271,263,21,2,2,1
labuladong/fucking-algorithm,MERGED,25.1225,10,223,0,28,2,2,1
labuladong/fucking-algorithm,MERGED,5.398333333333333,2,122,119,13,2,0,1
labuladong/fucking-algorithm,MERGED,4.655833333333334,6,220,225,121,2,3,1
labuladong/fucking-algorithm,MERGED,5.9527777777777775,4,119,104,82,2,4,1
labuladong/fucking-algorithm,MERGED,2.6058333333333334,2,213,216,117,2,1,3
labuladong/fucking-algorithm,MERGED,27.08277777777778,3,183,185,24,2,4,2
