repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
langchain-ai/langchain,MERGED,4.185833333333333,2,67,25,32,2,1,5
langchain-ai/langchain,CLOSED,1.1577777777777778,4,396,64,333,2,1,1
langchain-ai/langchain,CLOSED,6.184444444444445,5,805,196,9,2,3,2
langchain-ai/langchain,MERGED,1.7322222222222223,16,1254,3134,596,2,0,3
langchain-ai/langchain,MERGED,4.841388888888889,4,3,58,77,2,0,1
langchain-ai/langchain,CLOSED,24.210555555555555,7,1619,45,1290,2,1,4
langchain-ai/langchain,CLOSED,27.838333333333335,5,200,0,1739,2,2,1
langchain-ai/langchain,CLOSED,2.5905555555555555,4,280,96,0,2,4,3
langchain-ai/langchain,MERGED,6.5505555555555555,6,498,25,277,3,0,3
langchain-ai/langchain,MERGED,21.84027777777778,2,64,30,418,2,0,2
langchain-ai/langchain,MERGED,25.49222222222222,3,893,0,4255,2,0,1
langchain-ai/langchain,MERGED,9.069166666666666,4,1405,0,293,3,1,6
langchain-ai/langchain,MERGED,5.6075,6,725,20,76,4,2,4
langchain-ai/langchain,MERGED,49.64805555555556,3,469,0,144,3,0,4
langchain-ai/langchain,MERGED,65.0886111111111,2,201,4,0,3,2,9
langchain-ai/langchain,MERGED,18.68722222222222,2,201,60,294,2,0,6
langchain-ai/langchain,CLOSED,47.308055555555555,26,34,36,1116,2,4,1
langchain-ai/langchain,MERGED,1.0791666666666666,3,2,6,73,2,0,1
langchain-ai/langchain,CLOSED,45.15416666666667,13,1032,3067,457,1,1,1
langchain-ai/langchain,MERGED,81.33305555555556,2,8,12,0,3,0,1
langchain-ai/langchain,CLOSED,2.033333333333333,2,2,1,0,1,1,1
langchain-ai/langchain,MERGED,94.98305555555555,12,100,17,0,2,2,1
langchain-ai/langchain,MERGED,48.15777777777778,2,105,12,854,2,2,1
langchain-ai/langchain,MERGED,30.13277777777778,44,402,1088,1612,6,3,2
langchain-ai/langchain,CLOSED,6.516944444444444,1,2,0,904,2,3,1
langchain-ai/langchain,MERGED,20.272222222222222,7,499,46,538,2,2,5
langchain-ai/langchain,MERGED,57.52583333333333,4,405,2,364,3,1,12
langchain-ai/langchain,MERGED,13.505277777777778,35,1194,2601,0,2,2,1
langchain-ai/langchain,MERGED,17.756666666666668,9,734,240,606,2,1,5
langchain-ai/langchain,CLOSED,12.89611111111111,29,4739,237,1953,2,5,1
langchain-ai/langchain,MERGED,22.726388888888888,3,311,7,150,2,1,8
langchain-ai/langchain,CLOSED,23.58388888888889,4,666,39,332,2,1,2
langchain-ai/langchain,MERGED,12.6125,3,9,9,172,5,4,1
langchain-ai/langchain,MERGED,4.497222222222222,3,469,32,467,2,1,3
langchain-ai/langchain,MERGED,1.0480555555555555,6,141,22,65,2,2,3
langchain-ai/langchain,CLOSED,21.532777777777778,10,3592,0,982,2,1,1
langchain-ai/langchain,MERGED,1.1325,10,38,18,114,2,1,3
langchain-ai/langchain,MERGED,68.37222222222222,6,1611,953,676,3,1,3
langchain-ai/langchain,CLOSED,178.45583333333335,1,17,0,1360,3,4,2
