repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
langflow-ai/langflow,MERGED,6.678333333333334,11,1332,300,2042,4,8,5
langflow-ai/langflow,MERGED,1.3333333333333333,1,33,39,100,1,3,1
langflow-ai/langflow,MERGED,8.104722222222222,58,484,100,232,2,3,1
langflow-ai/langflow,MERGED,18.674722222222222,1,1,0,510,4,2,2
langflow-ai/langflow,MERGED,24.487222222222222,4,29,2,181,3,11,11
langflow-ai/langflow,MERGED,1.1211111111111112,2,34,34,452,4,3,2
langflow-ai/langflow,MERGED,20.860833333333332,1,42,6,796,4,5,4
langflow-ai/langflow,MERGED,48.202777777777776,6,359,406,342,2,6,1
langflow-ai/langflow,MERGED,14.276944444444444,2,3,2,566,2,5,2
langflow-ai/langflow,MERGED,74.52305555555556,2,144,14,1695,3,3,4
langflow-ai/langflow,MERGED,97.5838888888889,5,79,48,1006,2,5,2
langflow-ai/langflow,MERGED,15.5775,2,14,11,1244,2,3,1
langflow-ai/langflow,MERGED,112.59722222222223,2,35,9,62,3,5,3
langflow-ai/langflow,MERGED,24.29388888888889,154,857,623,917,2,3,3
langflow-ai/langflow,MERGED,4.751111111111111,5,19,8,1489,3,5,3
langflow-ai/langflow,MERGED,24.231944444444444,7,4,31,1220,3,3,1
langflow-ai/langflow,MERGED,130.47972222222222,1,10,0,583,3,4,3
langflow-ai/langflow,MERGED,14.406944444444445,2,58,0,55,2,3,1
langflow-ai/langflow,MERGED,20.148888888888887,4,165,9,1861,3,4,2
langflow-ai/langflow,MERGED,22.5525,5,460,0,734,2,3,2
langflow-ai/langflow,MERGED,29.459444444444443,15,379,17,706,3,6,4
langflow-ai/langflow,MERGED,50.20944444444444,14,212,131,747,3,7,2
langflow-ai/langflow,MERGED,42.04222222222222,5,205,47,544,6,3,8
langflow-ai/langflow,MERGED,42.990833333333335,12,20,20,531,2,5,1
langflow-ai/langflow,MERGED,72.50222222222222,6,78,35,1840,2,4,1
langflow-ai/langflow,MERGED,1.3341666666666667,4,400,1,706,2,2,2
langflow-ai/langflow,MERGED,5.768055555555556,3,85,8,347,2,3,1
langflow-ai/langflow,MERGED,38.38166666666667,3,43,0,702,3,7,2
langflow-ai/langflow,MERGED,180.17805555555555,3,85,7,648,2,3,1
langflow-ai/langflow,MERGED,18.64138888888889,1,1,4,1571,3,2,1
langflow-ai/langflow,MERGED,23.087222222222223,2,2,5,130,2,3,4
langflow-ai/langflow,MERGED,5.649166666666667,1,876,178,100,1,3,1
langflow-ai/langflow,MERGED,5.708333333333333,3,44,0,696,2,8,3
langflow-ai/langflow,MERGED,67.33027777777778,166,11843,4293,1111,3,4,10
langflow-ai/langflow,MERGED,66.5525,3,2,2,776,3,4,1
langflow-ai/langflow,MERGED,5.0525,152,637,899,788,2,8,2
langflow-ai/langflow,MERGED,23.21527777777778,2,140,137,1253,3,4,2
langflow-ai/langflow,MERGED,25.29138888888889,3,303,2,1641,3,3,2
langflow-ai/langflow,MERGED,70.04166666666667,2,4,2,920,2,2,2
langflow-ai/langflow,MERGED,39.96611111111111,1,5,6,442,2,2,3
langflow-ai/langflow,CLOSED,166.60833333333332,20,533,49,1156,2,3,1
langflow-ai/langflow,MERGED,89.34916666666666,1,15,9,1108,3,4,3
langflow-ai/langflow,MERGED,67.31416666666667,18,54,46,1431,3,3,2
langflow-ai/langflow,MERGED,1.2336111111111112,168,243,287,1143,2,3,1
langflow-ai/langflow,MERGED,98.91722222222222,26,57,51,1481,3,6,3
langflow-ai/langflow,CLOSED,1.3186111111111112,182,177,232,1099,2,7,2
langflow-ai/langflow,MERGED,5.714166666666666,1,0,75,363,2,4,1
langflow-ai/langflow,MERGED,16.94611111111111,1,17,6,534,2,2,5
langflow-ai/langflow,MERGED,113.69833333333334,11,1143,140,704,2,4,3
langflow-ai/langflow,MERGED,18.960833333333333,1,1,1,654,2,2,2
langflow-ai/langflow,CLOSED,40.84361111111111,1,33,6,558,1,2,1
langflow-ai/langflow,MERGED,2.926111111111111,1,44,4,569,2,2,2
langflow-ai/langflow,MERGED,140.06944444444446,7,622,475,2004,3,3,3
langflow-ai/langflow,CLOSED,121.5025,3,2,2,193,3,2,2
langflow-ai/langflow,MERGED,20.415277777777778,17,45,43,1036,3,3,2
langflow-ai/langflow,MERGED,28.752777777777776,1,4,2,751,2,2,2
langflow-ai/langflow,MERGED,26.331944444444446,17,250,165,2126,2,4,2
langflow-ai/langflow,MERGED,1.003611111111111,31,380,45,138,2,2,1
langflow-ai/langflow,MERGED,161.89305555555555,4,543,8,2324,2,3,3
langflow-ai/langflow,MERGED,3.4427777777777777,4,40,5,1081,3,4,1
langflow-ai/langflow,MERGED,45.89333333333333,1,14,0,1279,2,4,4
langflow-ai/langflow,MERGED,7.0088888888888885,2,4,1,616,3,5,2
langflow-ai/langflow,MERGED,1.0544444444444445,21,462,176,1396,3,3,2
langflow-ai/langflow,MERGED,351.2030555555556,3,15,5,401,4,2,7
langflow-ai/langflow,MERGED,44.889722222222225,1,3,1,585,2,4,1
langflow-ai/langflow,MERGED,22.12388888888889,2,29,10,892,4,4,2
langflow-ai/langflow,MERGED,5.554444444444444,2,14,11,325,2,3,1
langflow-ai/langflow,MERGED,25.779166666666665,1,14,11,1164,3,4,1
langflow-ai/langflow,MERGED,87.52583333333334,5,614,0,1541,2,2,1
langflow-ai/langflow,MERGED,77.48638888888888,3,607,32,767,2,5,4
langflow-ai/langflow,CLOSED,6.089166666666666,2,42,15,793,1,4,1
langflow-ai/langflow,MERGED,4.5744444444444445,17,40,40,370,2,3,1
langflow-ai/langflow,MERGED,263.9125,33,420,95,756,2,3,1
langflow-ai/langflow,MERGED,13.38,6,30,34,497,3,3,2
langflow-ai/langflow,MERGED,14.710833333333333,3,144,111,779,3,3,2
langflow-ai/langflow,MERGED,334.3786111111111,8,26,23,782,3,5,1
langflow-ai/langflow,MERGED,141.1075,2,8,2,1132,2,2,2
langflow-ai/langflow,MERGED,143.38083333333333,1,3,4,474,2,4,2
langflow-ai/langflow,MERGED,1.0822222222222222,8,81,15,740,1,4,1
langflow-ai/langflow,MERGED,3.0733333333333333,3,206,0,620,2,3,2
langflow-ai/langflow,MERGED,19.56888888888889,2,4,3,471,3,3,1
langflow-ai/langflow,MERGED,13.422222222222222,2,4,7,368,3,3,1
langflow-ai/langflow,MERGED,290.8863888888889,29,4714,3487,2399,4,4,2
langflow-ai/langflow,MERGED,355.3466666666667,9,1040,43,2329,4,6,14
langflow-ai/langflow,MERGED,314.0686111111111,2,35,12,440,2,3,2
langflow-ai/langflow,CLOSED,29.84888888888889,8,39,22,1256,2,3,2
langflow-ai/langflow,MERGED,2.859166666666667,3,9,2,1142,2,4,2
langflow-ai/langflow,MERGED,3.4183333333333334,1,1,1,705,2,3,2
langflow-ai/langflow,MERGED,331.32944444444445,36,2159,66,2220,5,10,37
langflow-ai/langflow,MERGED,1.1805555555555556,2,35,0,1405,2,5,2
langflow-ai/langflow,MERGED,50.955,350,11593,8357,891,10,24,29
langflow-ai/langflow,MERGED,382.51222222222225,7,14,7,1788,3,4,2
langflow-ai/langflow,MERGED,383.5572222222222,1,1,1,905,3,4,2
langflow-ai/langflow,CLOSED,44.33777777777778,5,785,2,1962,2,2,27
langflow-ai/langflow,MERGED,1.5047222222222223,2,169,1,821,3,2,1
langflow-ai/langflow,MERGED,47.33972222222222,1,76,0,183,2,7,1
langflow-ai/langflow,MERGED,48.07138888888889,80,432,577,1193,2,4,2
langflow-ai/langflow,MERGED,360.3147222222222,13,1155,496,543,5,2,4
langflow-ai/langflow,MERGED,28.566666666666666,3,14,4,1434,4,4,8
langflow-ai/langflow,MERGED,52.229166666666664,2,64,49,167,3,6,4
langflow-ai/langflow,MERGED,5.031944444444444,7,339,32,818,2,3,2
langflow-ai/langflow,MERGED,240.99388888888888,1,401,0,890,2,2,2
langflow-ai/langflow,MERGED,5.750277777777778,4,60,23,738,2,2,2
langflow-ai/langflow,MERGED,99.62805555555556,151,227,151,914,2,4,1
langflow-ai/langflow,MERGED,1.3425,1,1,1,363,3,4,2
langflow-ai/langflow,MERGED,1.5533333333333332,5,12,6,155,2,3,1
langflow-ai/langflow,MERGED,1.6891666666666667,5,6,5,901,2,4,1
langflow-ai/langflow,MERGED,12.905555555555555,5,31,41,49,2,2,2
langflow-ai/langflow,MERGED,3.336388888888889,4,56,43,659,4,4,1
langflow-ai/langflow,CLOSED,145.3188888888889,9,837,36,2293,2,4,2
langflow-ai/langflow,MERGED,1.8483333333333334,50,489,278,51,2,4,1
langflow-ai/langflow,MERGED,23.348333333333333,38,231,2781,47,2,3,1
langflow-ai/langflow,MERGED,19.005555555555556,16,6972,5,540,2,4,2
langflow-ai/langflow,MERGED,481.06555555555553,1,1,0,635,3,3,3
langflow-ai/langflow,CLOSED,679.1941666666667,27,2956,144,2047,2,4,1
langflow-ai/langflow,MERGED,20.695555555555554,10,40,43,346,2,4,1
langflow-ai/langflow,MERGED,70.00833333333334,6,79,29,962,3,12,6
langflow-ai/langflow,MERGED,24.41,5,542,19,608,2,3,2
langflow-ai/langflow,MERGED,46.515277777777776,2,19,18,1081,3,4,1
langflow-ai/langflow,MERGED,5.040277777777778,8,14,346,78,2,6,1
langflow-ai/langflow,MERGED,363.60333333333335,7,121,57,549,2,5,3
