repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
langgenius/dify,MERGED,10.802222222222222,1,543,0,723,2,1,3
langgenius/dify,MERGED,25.194444444444443,2,0,46,924,2,2,4
langgenius/dify,MERGED,2.647777777777778,2,8,34,728,2,1,3
langgenius/dify,MERGED,5.482222222222222,1,261,0,723,2,1,3
langgenius/dify,MERGED,15.439444444444444,1,3,7,826,2,1,3
langgenius/dify,MERGED,6.520277777777777,1,1,1,724,2,1,2
langgenius/dify,MERGED,28.579722222222223,2,6,4,1486,1,0,1
langgenius/dify,MERGED,10.671944444444444,2,7,22,2132,1,0,1
langgenius/dify,MERGED,11.215277777777779,2,6,6,2268,1,0,1
langgenius/dify,MERGED,29.14527777777778,2,16,3,4209,1,0,1
langgenius/dify,MERGED,11.006944444444445,1,2,2,728,2,1,3
langgenius/dify,MERGED,13.184166666666666,8,18,12,833,3,2,3
langgenius/dify,MERGED,14.758055555555556,7,2,44,724,3,2,2
langgenius/dify,MERGED,25.258055555555554,1,0,1,724,2,1,2
langgenius/dify,MERGED,5.506111111111111,2,630,9,723,2,1,3
langgenius/dify,MERGED,23.67527777777778,1,0,1,749,2,1,3
langgenius/dify,MERGED,62.071666666666665,1,282,0,723,2,1,3
langgenius/dify,MERGED,52.55277777777778,3,242,182,723,2,1,4
langgenius/dify,MERGED,9.737222222222222,2,442,367,685,2,1,3
langgenius/dify,MERGED,10.732777777777779,1,505,0,723,2,1,3
langgenius/dify,MERGED,86.19694444444444,25,282,285,2246,2,2,4
langgenius/dify,MERGED,91.45527777777778,5,596,320,7520,2,2,3
langgenius/dify,MERGED,25.49388888888889,1,1,1,754,2,1,3
langgenius/dify,MERGED,25.969444444444445,1,4,4,863,2,1,3
langgenius/dify,MERGED,101.06611111111111,16,106,87,1247,2,4,3
langgenius/dify,MERGED,2.874722222222222,1,0,1,667,2,1,2
langgenius/dify,MERGED,4.998611111111111,2,13,4,1044,3,1,2
langgenius/dify,CLOSED,23.266666666666666,15,81,53,829,1,3,1
langgenius/dify,MERGED,50.35638888888889,9,98,268,727,2,1,6
langgenius/dify,MERGED,167.085,2,46,35,1226,2,1,5
langgenius/dify,MERGED,1.1519444444444444,2,552,1158,825,2,1,7
langgenius/dify,MERGED,170.06194444444444,1,30,2,788,2,2,4
langgenius/dify,MERGED,2.518611111111111,1,15,10,2836,2,2,2
