repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
laravel/laravel,CLOSED,2.386388888888889,1,1,1,23,3,0,1
laravel/laravel,MERGED,4.540555555555556,1,1,1,545,3,0,2
laravel/laravel,MERGED,5.248055555555555,1,1,1,1341,3,1,1
laravel/laravel,MERGED,17.837222222222223,1,4,4,22,3,0,1
laravel/laravel,CLOSED,1.2169444444444444,1,1,1,275,3,0,1
laravel/laravel,CLOSED,1.5155555555555555,1,2,2,286,3,1,1
laravel/laravel,CLOSED,2.735,1,3,3,21,3,0,1
laravel/laravel,CLOSED,17.61277777777778,4,10246,42,36,2,1,1
laravel/laravel,CLOSED,91.73694444444445,1,1,0,757,3,3,2
laravel/laravel,CLOSED,2.793888888888889,1,2,1,267,3,2,1
laravel/laravel,MERGED,21.145833333333332,1,1,0,293,5,3,5
laravel/laravel,MERGED,207.3538888888889,6,30,46,0,3,1,1
laravel/laravel,MERGED,12.435,1,4,0,1028,3,0,1
laravel/laravel,CLOSED,15.946944444444444,1,4,4,136,5,0,6
laravel/laravel,CLOSED,4.955555555555556,2,3,1,141,3,0,3
laravel/laravel,MERGED,141.84972222222223,1,1,1,0,3,0,2
laravel/laravel,MERGED,10.431666666666667,1,1,1,299,3,1,2
laravel/laravel,CLOSED,18.670833333333334,2,87,0,0,3,0,1
