repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
localsend/localsend,CLOSED,10.885277777777778,9,236,179,984,1,0,1
localsend/localsend,CLOSED,775.5388888888889,8,686,0,1485,2,0,3
localsend/localsend,MERGED,260.45,1,63,38,57,3,0,1
localsend/localsend,MERGED,38.205555555555556,2,13,4,153,2,1,2
localsend/localsend,MERGED,837.4483333333334,35,995,797,679,5,5,2
localsend/localsend,MERGED,56.079166666666666,1,3,3,47,3,0,1
localsend/localsend,MERGED,26.6375,1,23,23,680,3,2,1
localsend/localsend,MERGED,4430.6875,171,31551,1208,12,2,1,1
localsend/localsend,MERGED,32.58361111111111,2,32,27,6,3,0,5
localsend/localsend,CLOSED,363.1972222222222,26,734,296,812,3,4,5
localsend/localsend,MERGED,13.961388888888889,6,52,20,12,2,1,2
localsend/localsend,MERGED,2.1930555555555555,6,43,43,239,3,5,4
localsend/localsend,CLOSED,67.03,51,53499,29666,219,3,4,5
localsend/localsend,MERGED,6.487222222222222,10,1170,844,80,2,5,2
localsend/localsend,MERGED,21.586944444444445,11,13,13,102,2,1,2
localsend/localsend,MERGED,24.174166666666668,6,37,7,341,2,1,1
