repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
louislam/uptime-kuma,MERGED,66.02,6,143,1,936,2,3,4
louislam/uptime-kuma,MERGED,9.672777777777778,3,20,467,1529,2,4,1
louislam/uptime-kuma,MERGED,165.7097222222222,5,1087,963,1600,2,1,6
louislam/uptime-kuma,MERGED,5.3261111111111115,6,136,0,1371,2,1,1
louislam/uptime-kuma,MERGED,10.319444444444445,6,87,0,1227,3,0,2
louislam/uptime-kuma,MERGED,309.8227777777778,75,627,80,1681,4,9,8
louislam/uptime-kuma,MERGED,41.67194444444444,1,14,11,1842,2,1,2
louislam/uptime-kuma,MERGED,3.3766666666666665,1,1,0,115,2,0,2
louislam/uptime-kuma,MERGED,1.9847222222222223,1,2,0,1512,2,1,1
louislam/uptime-kuma,MERGED,34.11333333333334,1,22,3,2668,2,0,1
louislam/uptime-kuma,MERGED,33.30138888888889,1,1,0,2840,3,2,1
louislam/uptime-kuma,MERGED,46.73916666666667,1,61,2,1895,2,1,4
louislam/uptime-kuma,CLOSED,188.57555555555555,4,102,29,872,3,4,1
louislam/uptime-kuma,MERGED,383.7941666666667,2,64,0,2162,2,1,8
louislam/uptime-kuma,MERGED,3.403611111111111,1,4,4,1445,2,0,9
louislam/uptime-kuma,MERGED,21.219444444444445,3,50,1,1000,2,4,3
louislam/uptime-kuma,MERGED,1.3277777777777777,3,12,3,1878,2,2,2
louislam/uptime-kuma,MERGED,47.07083333333333,7,68,3,1647,3,1,6
louislam/uptime-kuma,MERGED,1068.2633333333333,4,10,5,164,3,1,3
louislam/uptime-kuma,MERGED,7.641666666666667,1,1,1,2125,2,0,1
louislam/uptime-kuma,CLOSED,189.71472222222224,3,42,24,2484,3,4,3
louislam/uptime-kuma,MERGED,6.338333333333333,6,6,6,2283,2,0,1
louislam/uptime-kuma,MERGED,282.4058333333333,2,12,4,2065,2,0,4
louislam/uptime-kuma,MERGED,1.1994444444444445,2,11,37,2152,1,0,1
louislam/uptime-kuma,MERGED,124.88361111111111,6,32,7,3762,2,2,3
louislam/uptime-kuma,MERGED,1766.576111111111,3,203,45,632,2,3,1
louislam/uptime-kuma,MERGED,1.3911111111111112,2,34,1,2309,2,0,2
louislam/uptime-kuma,MERGED,1.1616666666666666,1,30,0,144,2,1,3
louislam/uptime-kuma,MERGED,1.8319444444444444,1,14,5,880,2,2,1
louislam/uptime-kuma,MERGED,643.3375,2,466,10,735,5,11,3
louislam/uptime-kuma,MERGED,90.59361111111112,6,8,8,80,2,0,1
louislam/uptime-kuma,MERGED,234.03083333333333,3,25,10,22,2,1,2
louislam/uptime-kuma,MERGED,91.0575,2,5,4,183,2,0,1
louislam/uptime-kuma,MERGED,92.39527777777778,1,4,4,22,3,1,2
louislam/uptime-kuma,MERGED,19.50861111111111,2,3,3,446,2,0,1
louislam/uptime-kuma,MERGED,790.5613888888889,2,64,6,1271,3,3,4
louislam/uptime-kuma,CLOSED,2.395,11,732,25,7134,2,6,2
louislam/uptime-kuma,MERGED,12.200555555555555,1,1,1,3972,4,12,1
louislam/uptime-kuma,MERGED,12.273055555555555,2,12,2,3141,3,0,1
louislam/uptime-kuma,MERGED,74.535,6,68,1,4072,4,10,16
louislam/uptime-kuma,CLOSED,1.4958333333333333,3,299,8,464,2,0,1
louislam/uptime-kuma,MERGED,57.915,3,18,4,4061,2,1,2
louislam/uptime-kuma,CLOSED,66.07027777777778,1,3,0,3350,4,5,7
louislam/uptime-kuma,MERGED,210.68138888888888,5,54,0,1474,4,2,21
louislam/uptime-kuma,MERGED,262.81805555555553,1,5,2,1583,2,0,1
louislam/uptime-kuma,MERGED,52.99527777777778,3,10,6,1004,2,0,5
louislam/uptime-kuma,CLOSED,11.054722222222223,1,1,1,6135,2,3,1
louislam/uptime-kuma,MERGED,1.6669444444444443,1,4,4,12,2,0,3
louislam/uptime-kuma,MERGED,554.7358333333333,4,296,105,4618,3,9,17
louislam/uptime-kuma,MERGED,8.108055555555556,1,1,1,876,2,0,1
louislam/uptime-kuma,MERGED,17.79388888888889,1,5,5,4052,2,0,1
louislam/uptime-kuma,MERGED,20.72138888888889,5,108,1,865,2,0,1
louislam/uptime-kuma,CLOSED,14.161111111111111,3,496,30,1892,2,2,1
louislam/uptime-kuma,MERGED,15.500555555555556,1,1,0,4158,2,0,1
louislam/uptime-kuma,MERGED,31.1175,3,16,5,3778,2,1,3
louislam/uptime-kuma,MERGED,23.316666666666666,1,11,11,24,2,0,1
louislam/uptime-kuma,MERGED,34.778055555555554,6,62,0,424,2,0,4
louislam/uptime-kuma,CLOSED,573.3802777777778,2,39,13,836,3,3,1
louislam/uptime-kuma,MERGED,28.036944444444444,6,100,3,1852,2,2,2
louislam/uptime-kuma,MERGED,354.80444444444447,3,108,1,2546,2,2,4
louislam/uptime-kuma,MERGED,32.76277777777778,1,8,0,1656,2,1,2
louislam/uptime-kuma,MERGED,62.05444444444444,6,16,2,2162,2,3,3
louislam/uptime-kuma,MERGED,251.8175,5,62,0,4162,2,2,1
louislam/uptime-kuma,MERGED,97.91166666666666,2,1,2,1759,2,3,2
louislam/uptime-kuma,MERGED,108.92305555555555,1,1,1,119,2,0,1
louislam/uptime-kuma,MERGED,364.2738888888889,2,2,3,1506,2,1,2
louislam/uptime-kuma,MERGED,16.314166666666665,1,5,1,2134,2,0,1
louislam/uptime-kuma,MERGED,88.71444444444444,1,2,0,1586,2,2,1
louislam/uptime-kuma,MERGED,483.64944444444444,3,249,64,1425,2,2,10
louislam/uptime-kuma,MERGED,104.46972222222222,1,2,2,3803,4,7,1
louislam/uptime-kuma,MERGED,673.0811111111111,19,332,85,268,24,1,1
louislam/uptime-kuma,MERGED,380.61055555555555,1,1,1,1097,2,1,1
louislam/uptime-kuma,MERGED,212.9625,12,1266,520,7378,3,15,35
louislam/uptime-kuma,CLOSED,6.466666666666667,1,7,2,2087,2,0,1
louislam/uptime-kuma,MERGED,104.56916666666666,5,80,0,1121,3,5,3
louislam/uptime-kuma,MERGED,91.52194444444444,6,85,2,1019,2,8,5
louislam/uptime-kuma,MERGED,490.2808333333333,3,22,2,1418,3,4,3
louislam/uptime-kuma,CLOSED,1636.6897222222221,40,881,372,1611,2,1,2
louislam/uptime-kuma,MERGED,531.9880555555555,6,89,0,1216,3,11,5
louislam/uptime-kuma,MERGED,288.19916666666666,1,1,1,960,2,2,1
louislam/uptime-kuma,MERGED,525.5944444444444,10,290,88,1299,6,14,5
louislam/uptime-kuma,MERGED,1698.5197222222223,3,14,2,1143,2,1,2
louislam/uptime-kuma,MERGED,1.1008333333333333,1,3,3,1811,2,0,1
louislam/uptime-kuma,MERGED,97.89361111111111,3,47,17,1771,2,0,1
louislam/uptime-kuma,MERGED,2699.291111111111,8,332,41,1606,3,4,12
louislam/uptime-kuma,MERGED,394.37166666666667,1,1,1,1116,2,1,1
louislam/uptime-kuma,MERGED,52.28,1,1,1,975,2,3,1
