repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
mermaid-js/mermaid,MERGED,25.435277777777777,3,66,2,606,3,5,4
mermaid-js/mermaid,CLOSED,2.3447222222222224,2,319,50,4450,1,4,1
mermaid-js/mermaid,MERGED,145.61277777777778,4,191,4,945,5,5,5
mermaid-js/mermaid,MERGED,2.752222222222222,4,29,4,0,3,3,1
mermaid-js/mermaid,MERGED,33.19361111111111,3,38,1,787,2,5,2
mermaid-js/mermaid,MERGED,1.7369444444444444,3,24,4,763,2,5,1
mermaid-js/mermaid,MERGED,130.70194444444445,3,1104,829,20056,2,5,1
mermaid-js/mermaid,MERGED,45.59972222222222,1,18,97,653,3,3,3
mermaid-js/mermaid,MERGED,229.56305555555556,28,4006,5710,13281,2,6,1
mermaid-js/mermaid,MERGED,70.61277777777778,4,35,1,760,2,5,1
mermaid-js/mermaid,MERGED,65.82972222222222,1,237,2,726,2,5,3
mermaid-js/mermaid,MERGED,145.58444444444444,2,2,2,109,2,6,1
mermaid-js/mermaid,MERGED,22.605555555555554,4,218,0,895,2,6,5
mermaid-js/mermaid,MERGED,233.31,2,73,2,771,2,6,1
mermaid-js/mermaid,MERGED,93.38055555555556,2,22,4,1153,4,5,6
mermaid-js/mermaid,MERGED,2.431111111111111,3,39,1,776,2,5,1
mermaid-js/mermaid,MERGED,3.6166666666666667,4,41,2,687,2,5,1
mermaid-js/mermaid,MERGED,679.2247222222222,12,1304,528,702,3,11,4
mermaid-js/mermaid,MERGED,33.94722222222222,3,21,1,1007,3,7,2
mermaid-js/mermaid,MERGED,27.559722222222224,1,136,60,632,3,3,4
mermaid-js/mermaid,MERGED,402.74194444444447,3,254,192,1283,2,8,3
mermaid-js/mermaid,MERGED,3.995277777777778,1,2,2,855,3,5,2
mermaid-js/mermaid,MERGED,4.054444444444444,2,20,0,1070,4,5,3
mermaid-js/mermaid,MERGED,40.983333333333334,3,22,4,797,3,6,1
mermaid-js/mermaid,MERGED,846.9594444444444,4,27,3,859,3,8,3
mermaid-js/mermaid,MERGED,220.26416666666665,1,1,0,1120,2,5,5
mermaid-js/mermaid,MERGED,33.89333333333333,4,27,0,1031,2,7,1
mermaid-js/mermaid,MERGED,78.11444444444444,14,305,290,700,3,5,7
mermaid-js/mermaid,MERGED,26.29861111111111,5,69,58,1307,3,5,1
mermaid-js/mermaid,MERGED,27.973333333333333,7,357,338,1452,3,5,11
mermaid-js/mermaid,MERGED,871.6972222222222,87,5049,897,1656,4,25,74
mermaid-js/mermaid,MERGED,46.94416666666667,6,701,174,746,2,6,1
mermaid-js/mermaid,MERGED,72.43527777777778,6,91,1,734,2,6,2
mermaid-js/mermaid,MERGED,122.59277777777778,6,1352,0,1807,2,7,2
mermaid-js/mermaid,MERGED,1628.8105555555555,12,1119,18,1357,4,8,15
mermaid-js/mermaid,MERGED,3.671111111111111,15,70,43,2481,2,0,2
mermaid-js/mermaid,CLOSED,23.733888888888888,4,4,0,1192,2,6,1
mermaid-js/mermaid,MERGED,16.69388888888889,51,3032,2043,0,10,4,2
mermaid-js/mermaid,MERGED,24.264444444444443,7,153,144,998,3,5,7
mermaid-js/mermaid,MERGED,21.06861111111111,4,12,22,777,2,6,3
mermaid-js/mermaid,MERGED,253.23694444444445,11,218,15,1032,3,9,1
mermaid-js/mermaid,MERGED,438.96527777777777,3,24,1,1684,2,6,1
mermaid-js/mermaid,MERGED,120.08472222222223,4,92,94,689,4,5,9
mermaid-js/mermaid,MERGED,715.1586111111111,4,57,12,834,4,5,7
mermaid-js/mermaid,MERGED,697.6,6,268,69,899,3,7,4
mermaid-js/mermaid,MERGED,1.7830555555555556,6,27,19,677,2,5,1
mermaid-js/mermaid,MERGED,110.99111111111111,1,1,1,694,2,6,1
mermaid-js/mermaid,MERGED,330.69,4,1042,0,897,5,6,9
mermaid-js/mermaid,MERGED,122.7025,1,6,1,775,2,5,1
mermaid-js/mermaid,MERGED,150.75722222222223,2,8,2,662,3,8,2
mermaid-js/mermaid,CLOSED,1635.2533333333333,25,90,58,232,3,7,1
mermaid-js/mermaid,MERGED,28.23138888888889,3,47,1,846,2,6,3
mermaid-js/mermaid,MERGED,1319.7827777777777,14,1834,21,1342,4,8,22
mermaid-js/mermaid,MERGED,743.3119444444444,3,27,1,1093,4,7,2
mermaid-js/mermaid,MERGED,474.1066666666667,3,29,16,635,3,3,8
mermaid-js/mermaid,MERGED,146.64805555555554,45,3100,931,0,8,5,2
mermaid-js/mermaid,MERGED,1008.7058333333333,3,30,2,840,4,5,3
mermaid-js/mermaid,MERGED,3.9716666666666667,1,2,0,554,3,5,3
mermaid-js/mermaid,MERGED,1081.2505555555556,4,256,0,772,4,5,5
mermaid-js/mermaid,MERGED,550.0016666666667,14,519,493,1079,2,12,4
mermaid-js/mermaid,MERGED,3.687222222222222,1,0,4,222,2,6,1
mermaid-js/mermaid,MERGED,74.06472222222222,1,68,0,1081,2,6,4
mermaid-js/mermaid,CLOSED,58.789722222222224,6,14,20,1599,4,12,1
mermaid-js/mermaid,CLOSED,336.30583333333334,2,6,1,534,3,6,4
mermaid-js/mermaid,MERGED,1340.0177777777778,23,343,308,855,4,5,3
mermaid-js/mermaid,MERGED,1365.278611111111,9,128,29,1038,4,5,9
mermaid-js/mermaid,MERGED,138.27083333333334,2,6,1,703,2,5,1
mermaid-js/mermaid,CLOSED,1320.3527777777779,14,585,498,1760,3,9,10
mermaid-js/mermaid,MERGED,426.7477777777778,1,21,30,610,3,4,5
mermaid-js/mermaid,MERGED,527.8616666666667,4,95,10,1362,2,5,1
mermaid-js/mermaid,MERGED,172.52972222222223,29,559,5,625,2,3,13
mermaid-js/mermaid,MERGED,212.96277777777777,4,56,22,631,2,3,1
mermaid-js/mermaid,MERGED,1098.611111111111,34,2917,869,958,5,6,9
mermaid-js/mermaid,MERGED,26.181944444444444,2,18,1,816,2,5,1
mermaid-js/mermaid,MERGED,4.7252777777777775,2,236,12,846,2,5,1
mermaid-js/mermaid,MERGED,13.3875,1,23,9,640,2,6,5
mermaid-js/mermaid,MERGED,354.45972222222224,9,24,57,1387,3,11,9
