repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
microsoft/ML-For-Beginners,MERGED,1.4327777777777777,3,606,2,4091,2,0,1
microsoft/ML-For-Beginners,MERGED,1.5894444444444444,1,10,0,2482,3,0,1
microsoft/ML-For-Beginners,MERGED,1.616111111111111,1,331,0,7801,3,0,1
microsoft/ML-For-Beginners,CLOSED,1041.6891666666668,1,1,0,0,3,1,1
microsoft/ML-For-Beginners,CLOSED,2410.4430555555555,1,1116,53,351,4,4,1
microsoft/ML-For-Beginners,MERGED,2207.739722222222,1,1353,735,3654,2,0,1
microsoft/ML-For-Beginners,MERGED,606.3161111111111,1,2,2,215,3,0,3
microsoft/ML-For-Beginners,MERGED,1032.8647222222223,1,7,6,3269,1,0,1
microsoft/ML-For-Beginners,CLOSED,4702.0391666666665,1,1362,749,10174,2,1,1
microsoft/ML-For-Beginners,MERGED,1.8747222222222222,2354,40284,0,26,1,0,1
microsoft/ML-For-Beginners,MERGED,56.795,2554,72080,0,202,1,0,2
microsoft/ML-For-Beginners,MERGED,1013.1380555555555,1,1,1,0,2,0,1
microsoft/ML-For-Beginners,CLOSED,1694.3894444444445,67,10751,1,88,7,2,3
microsoft/ML-For-Beginners,CLOSED,2100.4880555555555,1,2,2,0,2,1,1
microsoft/ML-For-Beginners,CLOSED,1643.923888888889,1,3,3,4418,1,2,1
microsoft/ML-For-Beginners,CLOSED,2.8933333333333335,1,1,0,0,1,0,1
microsoft/ML-For-Beginners,MERGED,26.370833333333334,1,12,12,2559,1,0,1
microsoft/ML-For-Beginners,MERGED,101.52416666666667,2,3,3,719,2,1,1
microsoft/ML-For-Beginners,MERGED,201.23333333333332,1,2827,0,0,2,0,1
microsoft/ML-For-Beginners,MERGED,717.6291666666667,2,8706,15437,11807,1,0,1
microsoft/ML-For-Beginners,MERGED,1202.9030555555555,1,66,0,0,2,2,2
microsoft/ML-For-Beginners,MERGED,1393.3927777777778,1,5,5,60,2,0,1
microsoft/ML-For-Beginners,CLOSED,1569.4416666666666,1,424,233,5446,1,2,1
microsoft/ML-For-Beginners,MERGED,1965.3119444444444,1,4,4,78,3,2,1
microsoft/ML-For-Beginners,CLOSED,1770.4505555555556,1,1,1,224,2,2,1
microsoft/ML-For-Beginners,CLOSED,2018.2641666666666,1,2,2,0,2,1,1
microsoft/ML-For-Beginners,CLOSED,2159.349722222222,1,188,28,0,2,3,3
microsoft/ML-For-Beginners,CLOSED,2118.9,1,2,2,728,3,3,3
microsoft/ML-For-Beginners,CLOSED,2834.256388888889,1,3,3,82,3,1,3
microsoft/ML-For-Beginners,MERGED,38.80138888888889,1,1,1,110,2,0,1
microsoft/ML-For-Beginners,MERGED,2016.0608333333332,4,1140,1184,0,5,2,1
microsoft/ML-For-Beginners,MERGED,330.4166666666667,16,19690,1558,89,3,6,2
microsoft/ML-For-Beginners,MERGED,2.12,20,18169,72,0,2,1,2
microsoft/ML-For-Beginners,MERGED,239.28944444444446,58,237,2145,0,2,2,2
microsoft/ML-For-Beginners,MERGED,6.788611111111111,2,36,2,53,2,0,1
microsoft/ML-For-Beginners,MERGED,9.200555555555555,3,25,8,0,2,1,1
microsoft/ML-For-Beginners,MERGED,33.880833333333335,6,25,8,104,3,1,1
microsoft/ML-For-Beginners,MERGED,227.5286111111111,1,1,1,70,2,0,1
microsoft/ML-For-Beginners,MERGED,274.59027777777777,1,1,1,92,2,0,1
microsoft/ML-For-Beginners,MERGED,18.8775,2,27,22,170,2,1,1
microsoft/ML-For-Beginners,MERGED,863.1355555555556,12,1924,348,230,4,2,3
microsoft/ML-For-Beginners,MERGED,865.3225,7,1352,282,202,3,3,2
microsoft/ML-For-Beginners,MERGED,882.7094444444444,1,1014,145,429,4,8,1
microsoft/ML-For-Beginners,CLOSED,6696.4077777777775,1,1,1,62,7,3,4
microsoft/ML-For-Beginners,CLOSED,2990.8347222222224,1,6,6,2610,1,4,1
