repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
microsoft/PowerToys,MERGED,1.2955555555555556,1,0,0,184,3,1,2
microsoft/PowerToys,MERGED,5.661388888888889,1,4,1,181,4,10,1
microsoft/PowerToys,MERGED,2.4794444444444443,3,62,13,33,2,3,1
microsoft/PowerToys,MERGED,12.584166666666667,1,1,1,755,2,7,1
microsoft/PowerToys,MERGED,25.3725,10,159,73,127,5,8,3
microsoft/PowerToys,CLOSED,1.5997222222222223,9,157,73,147,2,2,3
microsoft/PowerToys,MERGED,38.26166666666666,1,0,0,856,3,2,1
microsoft/PowerToys,MERGED,85.3175,3,7,7,1119,3,7,3
microsoft/PowerToys,MERGED,77.50277777777778,6,195,75,659,2,2,1
microsoft/PowerToys,MERGED,78.81888888888889,2,2,3,842,4,7,2
microsoft/PowerToys,MERGED,82.79861111111111,1,9,0,827,3,3,2
microsoft/PowerToys,MERGED,96.47444444444444,7,187,82,1955,2,4,4
microsoft/PowerToys,MERGED,15.147222222222222,1,2,2,1005,3,2,1
microsoft/PowerToys,CLOSED,37.80222222222222,2,81,6,1052,5,4,1
microsoft/PowerToys,MERGED,16.586111111111112,8,498,17,188,4,0,2
microsoft/PowerToys,CLOSED,2.22,5,153,12,3890,4,0,3
microsoft/PowerToys,MERGED,51.30444444444444,1,31,13,1059,4,6,1
microsoft/PowerToys,MERGED,12.951666666666666,1,1,1,184,2,2,1
microsoft/PowerToys,MERGED,17.915555555555557,2,43,24,1155,4,3,1
microsoft/PowerToys,MERGED,22.8175,5,15,5,173,3,4,2
microsoft/PowerToys,MERGED,2.2405555555555554,1,1,0,729,4,2,2
microsoft/PowerToys,MERGED,166.78222222222223,1,13,7,823,3,4,2
microsoft/PowerToys,MERGED,67.76916666666666,5,35,1,30,4,4,1
microsoft/PowerToys,MERGED,67.78083333333333,22,416,450,243,3,5,5
microsoft/PowerToys,MERGED,1.3127777777777778,1,6,0,561,2,0,1
microsoft/PowerToys,MERGED,38.68527777777778,2,94,2,996,3,5,1
microsoft/PowerToys,MERGED,8.969166666666666,1,21,20,814,2,1,1
microsoft/PowerToys,MERGED,2.980277777777778,1,0,1,772,3,0,3
microsoft/PowerToys,MERGED,49.13722222222222,2,37,30,931,3,4,2
microsoft/PowerToys,MERGED,65.56888888888889,4,68,10,977,3,2,1
microsoft/PowerToys,MERGED,22.810555555555556,3,12,3,23,3,0,5
microsoft/PowerToys,MERGED,21.945833333333333,9,80,60,1183,4,3,3
microsoft/PowerToys,MERGED,24.575555555555557,2,650,0,796,4,2,4
microsoft/PowerToys,MERGED,12.082222222222223,1,1,0,775,4,2,3
microsoft/PowerToys,MERGED,18.434722222222224,1,20,15,99,3,0,3
microsoft/PowerToys,MERGED,27.121111111111112,7,425,22,772,4,2,4
microsoft/PowerToys,MERGED,90.37694444444445,2,64,12,4590,2,5,8
microsoft/PowerToys,CLOSED,139.36694444444444,4,306,2,1230,2,2,2
microsoft/PowerToys,MERGED,1.5394444444444444,3,45,2,941,3,2,3
microsoft/PowerToys,MERGED,289.40416666666664,111,5798,12,2304,6,35,13
microsoft/PowerToys,MERGED,105.59722222222223,2,86,7,1398,6,2,9
microsoft/PowerToys,MERGED,2.6486111111111112,3,79,12,1108,3,5,3
microsoft/PowerToys,MERGED,2.4452777777777777,1,2,16,911,4,2,3
microsoft/PowerToys,MERGED,1.2927777777777778,1,1,1,765,2,0,3
microsoft/PowerToys,MERGED,3.9783333333333335,4,52,2,795,2,3,4
microsoft/PowerToys,MERGED,6.3469444444444445,1,1,1,835,3,4,3
microsoft/PowerToys,MERGED,10.940555555555555,1,9,0,709,2,7,3
microsoft/PowerToys,MERGED,191.13111111111112,70,6098,898,5708,4,29,29
microsoft/PowerToys,MERGED,45.01361111111111,16,433,392,2177,5,3,8
microsoft/PowerToys,MERGED,23.284444444444443,5,51,16,157,4,1,3
microsoft/PowerToys,MERGED,171.70111111111112,2,3,0,1049,3,3,2
microsoft/PowerToys,MERGED,21.319444444444443,12,190,13,1159,3,4,4
microsoft/PowerToys,MERGED,19.84638888888889,1,1,1,158,4,2,4
microsoft/PowerToys,MERGED,3.3419444444444446,1,19,0,937,3,1,4
microsoft/PowerToys,MERGED,32.13194444444444,7,194,9,1077,4,7,4
microsoft/PowerToys,MERGED,3.669722222222222,1,1,1,877,3,2,3
microsoft/PowerToys,MERGED,2.448611111111111,1,1,1,1290,4,1,4
microsoft/PowerToys,MERGED,141.8513888888889,10,1,1570,1014,2,1,3
microsoft/PowerToys,MERGED,192.9275,10,95,74,894,2,5,3
microsoft/PowerToys,CLOSED,5.517777777777778,102,11143,93,710,1,2,1
microsoft/PowerToys,MERGED,186.6925,10,333,23,2638,4,13,8
microsoft/PowerToys,MERGED,140.94472222222223,21,380,128,1089,3,2,3
microsoft/PowerToys,MERGED,202.68277777777777,2,61,1,994,5,2,8
microsoft/PowerToys,MERGED,139.53833333333333,2,23,1,984,6,10,3
microsoft/PowerToys,MERGED,82.98777777777778,1,93,36,2134,3,3,3
microsoft/PowerToys,MERGED,1.093611111111111,1,0,1,849,3,0,3
microsoft/PowerToys,MERGED,213.11583333333334,4,84,13,1422,4,2,3
microsoft/PowerToys,MERGED,2.370277777777778,2,3,1,931,3,2,3
microsoft/PowerToys,MERGED,17.24,1,2,2,1953,3,0,2
microsoft/PowerToys,MERGED,4.3613888888888885,3,2,6,712,3,4,3
microsoft/PowerToys,MERGED,40.651944444444446,7,16,11,1170,4,10,3
microsoft/PowerToys,MERGED,98.35777777777778,3,62,26,1248,3,6,6
microsoft/PowerToys,MERGED,254.78027777777777,3,144,24,3128,3,4,5
microsoft/PowerToys,MERGED,392.15194444444444,7,341,218,1110,3,0,4
microsoft/PowerToys,MERGED,6.121111111111111,1,30,0,984,4,8,4
microsoft/PowerToys,MERGED,76.62527777777778,1,30,16,1272,3,1,1
microsoft/PowerToys,MERGED,2.624722222222222,8,188,114,920,2,0,3
microsoft/PowerToys,MERGED,375.6716666666667,17,1096,4,3112,3,17,5
microsoft/PowerToys,MERGED,121.31972222222223,1,5,0,99,3,0,3
microsoft/PowerToys,CLOSED,74.4786111111111,3,57,22,2119,1,2,1
microsoft/PowerToys,MERGED,382.8286111111111,41,114,136,1117,3,14,7
microsoft/PowerToys,MERGED,446.70194444444445,28,1191,262,1215,3,8,5
microsoft/PowerToys,MERGED,220.69,15,156,99,2153,4,25,7
microsoft/PowerToys,MERGED,57.975833333333334,1,16,4,1028,4,3,3
microsoft/PowerToys,MERGED,153.68666666666667,4,122,25,1282,3,2,2
microsoft/PowerToys,MERGED,50.826388888888886,3,176,0,1625,4,9,6
microsoft/PowerToys,MERGED,411.3975,21,508,304,1189,3,13,11
microsoft/PowerToys,MERGED,22.433333333333334,1,88,0,1649,4,0,3
microsoft/PowerToys,MERGED,452.9425,12,338,12,997,3,4,6
microsoft/PowerToys,MERGED,5.657222222222222,9,531,50,2322,3,2,2
microsoft/PowerToys,CLOSED,6.387777777777778,52,2974,11,710,2,1,1
microsoft/PowerToys,MERGED,3.245,1,5,1,930,2,0,3
microsoft/PowerToys,MERGED,569.2533333333333,17,381,166,106,3,3,6
microsoft/PowerToys,MERGED,9.305833333333334,2,12,18,750,4,6,3
microsoft/PowerToys,CLOSED,50.665,9,531,50,2314,4,14,4
microsoft/PowerToys,MERGED,198.01055555555556,4,93,0,1170,2,6,8
microsoft/PowerToys,MERGED,676.9438888888889,11,204,54,1601,4,23,3
microsoft/PowerToys,MERGED,92.07555555555555,1,1,1,1045,4,2,4
microsoft/PowerToys,MERGED,60.367777777777775,5,160,17,1969,2,2,7
microsoft/PowerToys,MERGED,739.4422222222222,1,10,7,2938,4,2,5
microsoft/PowerToys,MERGED,3.6575,7,378,65,3303,4,2,14
microsoft/PowerToys,MERGED,2.4669444444444446,3,89,10,1190,2,0,3
microsoft/PowerToys,MERGED,116.71027777777778,1,0,1,776,3,2,3
microsoft/PowerToys,MERGED,6.3,3,29,1,2314,4,2,5
microsoft/PowerToys,MERGED,192.67027777777778,5,50,1,1134,4,9,3
microsoft/PowerToys,MERGED,153.23777777777778,12,420,11,1170,4,7,6
microsoft/PowerToys,MERGED,26.505,1,1,1,5,4,1,3
microsoft/PowerToys,MERGED,126.8225,2,115,86,1541,6,5,9
microsoft/PowerToys,MERGED,1.3291666666666666,4,51,22,2016,3,0,2
microsoft/PowerToys,MERGED,142.19833333333332,4,32,1,1868,4,2,2
microsoft/PowerToys,MERGED,137.12972222222223,3,28,4,310,3,0,3
microsoft/PowerToys,MERGED,146.14055555555555,1,72,29,916,4,2,3
microsoft/PowerToys,MERGED,53.147777777777776,2,30,27,825,4,0,3
microsoft/PowerToys,MERGED,54.08972222222222,3,14,43,775,3,0,2
microsoft/PowerToys,MERGED,120.92555555555556,3,25,63,790,4,1,4
microsoft/PowerToys,MERGED,121.07277777777777,2,12,27,733,4,0,5
microsoft/PowerToys,MERGED,136.79888888888888,2,11,41,733,4,0,6
microsoft/PowerToys,MERGED,172.72583333333333,8,106,18,1469,4,6,6
microsoft/PowerToys,MERGED,1.3386111111111112,4,91,35,2123,2,0,4
microsoft/PowerToys,CLOSED,153.26333333333332,1,9,0,1722,3,1,1
microsoft/PowerToys,MERGED,3.1991666666666667,61,115,113,344,4,16,6
microsoft/PowerToys,MERGED,170.59277777777777,1,14,9,955,4,5,3
microsoft/PowerToys,MERGED,43.16888888888889,1,1,0,848,4,3,4
microsoft/PowerToys,MERGED,188.84472222222223,10,342,208,975,4,7,3
microsoft/PowerToys,MERGED,739.7694444444444,3,22,4,88,4,2,4
microsoft/PowerToys,MERGED,166.3125,1,2,2,886,4,3,3
microsoft/PowerToys,MERGED,5.091388888888889,1,8,2,60,3,1,3
microsoft/PowerToys,MERGED,15.742222222222223,4,19,22,252,3,6,4
microsoft/PowerToys,MERGED,12.940833333333334,12,1039,48,330,2,5,3
microsoft/PowerToys,MERGED,23.176666666666666,7,349,157,774,5,4,7
microsoft/PowerToys,MERGED,19.209722222222222,4,14,9,807,4,1,4
microsoft/PowerToys,CLOSED,45.32805555555556,2,57,1,2790,3,0,1
microsoft/PowerToys,CLOSED,27.3675,1,35,25,2437,2,1,1
microsoft/PowerToys,MERGED,195.87055555555557,3,29,0,748,4,2,5
microsoft/PowerToys,MERGED,24.827222222222222,1,1,1,911,2,7,1
microsoft/PowerToys,MERGED,764.9413888888889,139,477,640,415,5,8,7
microsoft/PowerToys,MERGED,332.23083333333335,1,7,7,710,2,2,2
microsoft/PowerToys,MERGED,834.1477777777778,3,1,14,972,4,8,7
microsoft/PowerToys,MERGED,22.799722222222222,7,3,114,1173,2,2,1
microsoft/PowerToys,MERGED,219.24305555555554,3,57,13,1528,4,3,3
microsoft/PowerToys,MERGED,41.291111111111114,16,230,152,805,4,3,3
microsoft/PowerToys,MERGED,250.3513888888889,8,42,41,893,4,2,3
microsoft/PowerToys,CLOSED,286.7813888888889,1,2,0,1081,2,1,5
microsoft/PowerToys,MERGED,266.94194444444446,1,1,0,795,4,2,5
microsoft/PowerToys,MERGED,17.18638888888889,6,34,17,925,2,0,3
microsoft/PowerToys,CLOSED,1.3458333333333334,1,2,14,863,3,4,2
microsoft/PowerToys,MERGED,2.7822222222222224,1,1,0,362,2,0,2
microsoft/PowerToys,MERGED,190.30277777777778,8,277,0,1985,5,23,36
microsoft/PowerToys,MERGED,86.3386111111111,15,57,19,294,2,4,4
microsoft/PowerToys,MERGED,1.3625,4,14,17,812,2,0,2
microsoft/PowerToys,MERGED,107.95583333333333,99,3747,571,2399,5,35,27
microsoft/PowerToys,MERGED,26.615277777777777,25,644,120,3048,2,0,11
microsoft/PowerToys,MERGED,1.5538888888888889,2,5,0,915,3,0,2
microsoft/PowerToys,MERGED,29.00138888888889,20,648,11,719,6,4,6
microsoft/PowerToys,MERGED,23.623055555555556,6,175,28,757,3,2,3
microsoft/PowerToys,MERGED,5.015833333333333,6,1,49,808,5,0,4
microsoft/PowerToys,MERGED,66.6775,1,6,1,1848,6,8,13
microsoft/PowerToys,MERGED,173.18916666666667,5,39,11,190,2,1,1
microsoft/PowerToys,MERGED,3.569722222222222,1,0,26,132,4,3,2
microsoft/PowerToys,MERGED,25.796388888888888,34,1927,51,1059,5,0,17
microsoft/PowerToys,MERGED,66.48333333333333,11,613,44,2407,4,13,7
microsoft/PowerToys,MERGED,51.00694444444444,8,61,1,1981,3,5,3
microsoft/PowerToys,MERGED,105.37916666666666,1,60,0,1477,2,5,3
microsoft/PowerToys,CLOSED,93.905,1,3,2,2411,2,3,1
