repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
microsoft/TypeScript,MERGED,6.943333333333333,2,5,5,7315,2,0,1
microsoft/TypeScript,MERGED,1.1244444444444444,1,24,0,195,3,0,2
microsoft/TypeScript,MERGED,1.6405555555555555,1,1,1,35,3,6,2
microsoft/TypeScript,MERGED,28.07888888888889,224,6800,1661,13,3,1,2
microsoft/TypeScript,MERGED,41.42194444444444,3,5,5,9636,2,0,1
microsoft/TypeScript,MERGED,5.5125,2,5,8,35,4,8,2
microsoft/TypeScript,MERGED,32.12777777777778,5,362,17,35,3,11,2
microsoft/TypeScript,MERGED,138.8175,92,2391,1345,219,5,42,7
microsoft/TypeScript,MERGED,17.035,8,197,2,45,3,3,2
microsoft/TypeScript,MERGED,21.371111111111112,4,10,10,12,4,2,2
microsoft/TypeScript,MERGED,241.75833333333333,40,329,50,49,3,12,5
microsoft/TypeScript,MERGED,333.665,3,386,2,117,5,0,1
microsoft/TypeScript,MERGED,318.6838888888889,2178,15942,25733,12,3,28,16
microsoft/TypeScript,MERGED,384.2338888888889,2,3,0,117,5,0,1
microsoft/TypeScript,MERGED,384.2372222222222,7,16,21,117,5,2,1
microsoft/TypeScript,MERGED,384.2758333333333,20,338,1,117,5,0,1
microsoft/TypeScript,MERGED,384.39166666666665,7,16,21,340,3,4,2
microsoft/TypeScript,CLOSED,349.9111111111111,2,38,1,452,3,1,1
microsoft/TypeScript,MERGED,16.219444444444445,15,31,31,15208,2,0,3
microsoft/TypeScript,CLOSED,49.8075,4,1019,144,3365,3,3,7
microsoft/TypeScript,MERGED,96.47666666666667,5766,23240,23144,227,4,4,4
microsoft/TypeScript,CLOSED,19.89666666666667,884,11918,1578,419,4,5,1
microsoft/TypeScript,MERGED,168.795,449,2685,51218,1225,5,15,2
microsoft/TypeScript,MERGED,240.09305555555557,13,233,116,114,2,0,2
microsoft/TypeScript,MERGED,284.54305555555555,2,3,0,143,3,12,3
microsoft/TypeScript,MERGED,21.68111111111111,747,13352,6218,231,6,9,2
microsoft/TypeScript,MERGED,3.3766666666666665,23,181,241,1268,4,0,3
microsoft/TypeScript,MERGED,463.3952777777778,20,338,1,12,5,3,4
microsoft/TypeScript,CLOSED,381.8519444444444,11,104,57,12,2,22,1
microsoft/TypeScript,MERGED,18.46,16,35,35,9024,2,0,1
microsoft/TypeScript,MERGED,3.6758333333333333,4,1837,1322,0,3,0,2
microsoft/TypeScript,MERGED,15.633333333333333,3,5,5,6978,2,0,1
microsoft/TypeScript,MERGED,160.1013888888889,2,17,51,54,2,0,4
microsoft/TypeScript,CLOSED,13.166944444444445,2,2,1,13,3,3,3
microsoft/TypeScript,MERGED,1448.2633333333333,15,402,13,970,5,9,6
microsoft/TypeScript,MERGED,6.105277777777777,1,119,23,117,4,1,1
microsoft/TypeScript,MERGED,1.3558333333333332,5,173,1,242,2,0,2
microsoft/TypeScript,CLOSED,991.3894444444444,14,324,83,266,4,4,1
microsoft/TypeScript,MERGED,7.850555555555555,6,180,0,2772,5,0,6
microsoft/TypeScript,CLOSED,959.3744444444444,13,195,78,114,4,2,2
microsoft/TypeScript,CLOSED,530.8302777777777,1,214,18,1217,3,3,1
microsoft/TypeScript,MERGED,4.666666666666667,10,73,55,54,4,0,2
microsoft/TypeScript,MERGED,1710.096388888889,788,5266,5244,445,5,27,3
microsoft/TypeScript,CLOSED,25.33388888888889,32,2517,27,1058,2,2,1
microsoft/TypeScript,CLOSED,21.241666666666667,16,1341,2,2228,3,3,3
microsoft/TypeScript,MERGED,70.17222222222222,3,4208,1,25,4,0,4
microsoft/TypeScript,MERGED,1.46,2,2,2,109,4,0,2
microsoft/TypeScript,MERGED,192.97916666666666,6,17,17,114,4,1,2
microsoft/TypeScript,MERGED,267.6663888888889,1,0,125,151,4,0,2
microsoft/TypeScript,MERGED,16.353055555555557,1,10,1,218,4,8,3
microsoft/TypeScript,MERGED,711.6961111111111,2,4,4,5243,2,0,1
microsoft/TypeScript,MERGED,1.7663888888888888,13,154,76,114,3,0,2
microsoft/TypeScript,MERGED,12.015833333333333,1,4,2,0,3,0,2
microsoft/TypeScript,MERGED,1.3530555555555555,12,16652,5372,369,3,5,2
microsoft/TypeScript,MERGED,745.5513888888889,1,119,23,307,3,4,2
microsoft/TypeScript,MERGED,9.005555555555556,6,77,0,0,3,8,2
