repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
microsoft/generative-ai-for-beginners,MERGED,1.1080555555555556,1,2,3,0,3,1,1
microsoft/generative-ai-for-beginners,CLOSED,20.42222222222222,128,31333,28191,0,3,1,1
microsoft/generative-ai-for-beginners,CLOSED,63.24861111111111,1,2,1,0,4,2,2
microsoft/generative-ai-for-beginners,MERGED,4.788333333333333,1,3,2,114,3,1,1
microsoft/generative-ai-for-beginners,MERGED,17.524444444444445,2,5,5,3657,2,1,1
microsoft/generative-ai-for-beginners,MERGED,29.01972222222222,1,12,11,177,3,1,1
microsoft/generative-ai-for-beginners,MERGED,53.14972222222222,1,3,2,171,3,1,1
microsoft/generative-ai-for-beginners,MERGED,76.9875,1,2,2,116,3,1,1
microsoft/generative-ai-for-beginners,MERGED,101.66027777777778,1,3,2,144,3,1,1
microsoft/generative-ai-for-beginners,MERGED,124.92333333333333,1,5,4,138,3,1,1
microsoft/generative-ai-for-beginners,MERGED,125.39472222222223,1,18,17,151,3,1,1
microsoft/generative-ai-for-beginners,MERGED,148.95638888888888,1,10,9,173,3,1,1
microsoft/generative-ai-for-beginners,MERGED,173.09472222222223,1,4,3,167,3,1,1
microsoft/generative-ai-for-beginners,MERGED,185.69666666666666,1,1,1,3979,2,1,1
microsoft/generative-ai-for-beginners,MERGED,185.78277777777777,2,9,9,1523,2,1,1
microsoft/generative-ai-for-beginners,MERGED,196.16166666666666,1,64,63,131,3,1,1
microsoft/generative-ai-for-beginners,MERGED,196.54333333333332,1,9,8,138,3,1,1
microsoft/generative-ai-for-beginners,MERGED,220.27388888888888,1,61,60,131,3,1,1
microsoft/generative-ai-for-beginners,MERGED,238.53944444444446,1,16,16,122,4,1,2
microsoft/generative-ai-for-beginners,CLOSED,250.8188888888889,19,36,36,50,4,2,1
microsoft/generative-ai-for-beginners,MERGED,268.4844444444444,1,11,9,165,3,1,1
microsoft/generative-ai-for-beginners,MERGED,292.3636111111111,1,3,2,127,4,2,1
microsoft/generative-ai-for-beginners,MERGED,316.76972222222224,1,3,2,167,3,1,1
microsoft/generative-ai-for-beginners,MERGED,353.68055555555554,2,72,12,2220,2,1,1
microsoft/generative-ai-for-beginners,MERGED,392.99888888888887,2,6,6,4983,2,1,1
microsoft/generative-ai-for-beginners,MERGED,15.398888888888889,1,1,1,5191,2,1,1
microsoft/generative-ai-for-beginners,MERGED,15.41,2,2,2,4954,2,1,1
microsoft/generative-ai-for-beginners,MERGED,15.419444444444444,1,1,1,6930,2,1,1
microsoft/generative-ai-for-beginners,MERGED,15.981666666666667,2,5,5,1523,2,1,1
microsoft/generative-ai-for-beginners,MERGED,15.990833333333333,2,5,5,3393,2,1,1
microsoft/generative-ai-for-beginners,MERGED,557.1266666666667,1,11,10,129,3,1,1
microsoft/generative-ai-for-beginners,MERGED,18.217222222222222,1,3,2,131,3,1,1
microsoft/generative-ai-for-beginners,MERGED,122.47916666666667,2,5,5,2118,2,1,1
microsoft/generative-ai-for-beginners,MERGED,2.062222222222222,48,6655,6722,514,2,1,1
microsoft/generative-ai-for-beginners,MERGED,18.54361111111111,0,0,0,649,3,1,1
microsoft/generative-ai-for-beginners,MERGED,2.4091666666666667,47,0,564,87,2,1,1
