repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
microsoft/markitdown,MERGED,253.62416666666667,1,24,2,425,2,0,1
microsoft/markitdown,MERGED,972.8241666666667,1,1,1,11,3,1,1
microsoft/markitdown,MERGED,113.935,1,1,1,70,2,0,1
microsoft/markitdown,MERGED,228.51583333333335,3,36,4,230,2,1,1
microsoft/markitdown,MERGED,3111.8255555555556,1,1,2,35,3,0,1
microsoft/markitdown,MERGED,14.745555555555555,8,328,0,318,2,0,7
microsoft/markitdown,MERGED,61.77111111111111,12,214,26,2592,5,8,5
microsoft/markitdown,MERGED,36.770833333333336,5,171,1,58,2,0,1
microsoft/markitdown,MERGED,6.154722222222222,1,1,1,544,2,0,1
microsoft/markitdown,MERGED,13.746944444444445,7,641,421,723,2,1,8
microsoft/markitdown,MERGED,13.3175,2,75,8,135,2,0,1
microsoft/markitdown,MERGED,27.946666666666665,47,2349,1284,475,3,0,12
microsoft/markitdown,MERGED,69.13277777777778,14,255,46,0,5,5,5
microsoft/markitdown,MERGED,206.20166666666665,1,1,0,166,3,2,1
microsoft/markitdown,MERGED,2.9833333333333334,2,121,0,79,2,0,1
microsoft/markitdown,MERGED,1.5333333333333334,1,4,2,140,2,0,1
microsoft/markitdown,MERGED,2.3655555555555554,21,135,19,75,2,0,1
microsoft/markitdown,MERGED,18.595277777777778,60,2753,1899,56,2,1,7
microsoft/markitdown,MERGED,12.977222222222222,1,18,0,89,2,0,1
microsoft/markitdown,MERGED,304.21,1,56,6,3983,3,3,1
microsoft/markitdown,MERGED,23.421666666666667,3,117,6,269,3,1,1
microsoft/markitdown,MERGED,750.5994444444444,1,1,1,39,3,0,2
microsoft/markitdown,MERGED,2.3177777777777777,2,55,16,225,3,0,2
microsoft/markitdown,MERGED,818.4769444444445,1,3,0,0,2,0,1
microsoft/markitdown,CLOSED,173.73333333333332,2,15,1,517,2,3,3
microsoft/markitdown,CLOSED,1103.9077777777777,3,58,0,1279,3,3,2
microsoft/markitdown,MERGED,311.41805555555555,4,89,0,1069,3,3,3
microsoft/markitdown,MERGED,313.20444444444445,1,1,0,203,2,1,1
microsoft/markitdown,MERGED,10.156944444444445,1,20,10,204,2,0,1
microsoft/markitdown,MERGED,345.0541666666667,4,39,1,233,3,4,1
microsoft/markitdown,MERGED,16.643055555555556,1,0,0,137,2,1,1
microsoft/markitdown,CLOSED,29.355555555555554,3,82,0,244,6,12,9
microsoft/markitdown,CLOSED,2385.7744444444443,6,79,10,600,5,14,6
microsoft/markitdown,MERGED,42.380833333333335,2,10,2,205,2,2,1
microsoft/markitdown,MERGED,22.487222222222222,2,23,18,194,3,13,1
microsoft/markitdown,MERGED,1.9572222222222222,2,25,12,547,4,6,2
microsoft/markitdown,CLOSED,2285.2702777777777,7,93,0,45,8,13,6
microsoft/markitdown,MERGED,23.485277777777778,1,1,1,81,2,0,1
microsoft/markitdown,CLOSED,27.091944444444444,2,22,8,400,2,2,1
microsoft/markitdown,MERGED,1.3741666666666668,9,39,3,0,3,0,2
microsoft/markitdown,MERGED,10.745277777777778,1,2,2,47,3,0,2
microsoft/markitdown,MERGED,82.70305555555555,1,8,3,43,4,3,11
microsoft/markitdown,MERGED,60.55972222222222,1,36,0,124,3,5,13
microsoft/markitdown,MERGED,3.673611111111111,1,19,18,156,3,4,1
microsoft/markitdown,MERGED,8.979722222222222,1,1,2,73,3,0,1
microsoft/markitdown,MERGED,33.82888888888889,3,42,4,4194,3,2,7
