repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
microsoft/playwright,MERGED,1.2652777777777777,5,34,322,20,2,1,1
microsoft/playwright,MERGED,4.833611111111111,2,16,9,149,2,3,4
microsoft/playwright,MERGED,21.963333333333335,1,24,21,1162,2,3,1
microsoft/playwright,MERGED,1.65,1,9,0,0,2,0,1
microsoft/playwright,MERGED,1.1405555555555555,1,10,2,82,2,1,1
microsoft/playwright,MERGED,2.615,1,1,1,114,2,0,1
microsoft/playwright,MERGED,3.182777777777778,2,24,24,0,2,1,1
microsoft/playwright,MERGED,1.7513888888888889,2,24,24,0,1,1,1
microsoft/playwright,MERGED,2.2977777777777777,1,2,0,170,3,3,2
microsoft/playwright,MERGED,7.029722222222222,8,104,144,13,2,5,7
microsoft/playwright,MERGED,45.15222222222222,2,11,4,286,3,7,3
microsoft/playwright,MERGED,95.78555555555556,15,142,245,0,3,4,6
microsoft/playwright,MERGED,3.4902777777777776,31,57,67,16,2,3,2
microsoft/playwright,MERGED,16.191111111111113,31,67,76,16,3,5,2
microsoft/playwright,MERGED,1.748888888888889,5,30,41,0,2,3,1
microsoft/playwright,MERGED,90.59055555555555,1,59,0,0,2,0,2
microsoft/playwright,MERGED,16.714444444444446,3,16,3,13,2,1,1
microsoft/playwright,MERGED,8.794166666666667,1,0,12,75,2,1,1
microsoft/playwright,MERGED,99.38416666666667,3,11,11,227,2,2,2
microsoft/playwright,MERGED,18.2225,4,35,9,0,2,0,1
microsoft/playwright,MERGED,1.7816666666666667,27,172,167,0,2,4,1
microsoft/playwright,MERGED,11.161388888888888,1,1,1,0,1,3,1
microsoft/playwright,MERGED,11.9125,1,1,1,0,1,3,1
microsoft/playwright,MERGED,1.9355555555555555,6,135,22,0,2,2,1
microsoft/playwright,MERGED,1.271111111111111,1,0,6,186,3,2,2
microsoft/playwright,MERGED,1.4141666666666666,1,13,4,617,2,0,1
microsoft/playwright,MERGED,3.0894444444444447,24,38,739,47,2,4,1
microsoft/playwright,MERGED,16.86611111111111,4,69,84,0,2,0,1
microsoft/playwright,MERGED,2.172222222222222,3,22,11,40,2,0,1
microsoft/playwright,MERGED,2.151111111111111,2,42,21,0,2,2,2
microsoft/playwright,MERGED,5.168611111111111,1,2,4,191,2,3,1
microsoft/playwright,MERGED,1.6408333333333334,1,8,6,249,2,0,1
microsoft/playwright,MERGED,1.6852777777777779,7,13,148,72,3,4,2
microsoft/playwright,MERGED,27.476666666666667,2,2,47,953,2,1,1
microsoft/playwright,MERGED,5.148333333333333,2,2,2,0,1,4,1
microsoft/playwright,MERGED,20.66583333333333,17,727,251,0,2,4,2
microsoft/playwright,MERGED,1.0477777777777777,1,124,0,0,2,0,1
microsoft/playwright,CLOSED,22.19361111111111,12,240,123,0,2,2,1
microsoft/playwright,MERGED,67.38138888888889,2,27,8,228,2,2,2
microsoft/playwright,MERGED,4.855277777777777,3,43,15,0,2,2,2
microsoft/playwright,MERGED,68.35666666666667,2,34,18,249,2,2,1
microsoft/playwright,CLOSED,56.67861111111111,1,2,0,254,2,2,1
microsoft/playwright,MERGED,28.97277777777778,3,408,185,395,2,1,1
microsoft/playwright,MERGED,2.59,2,24,24,0,1,1,1
microsoft/playwright,MERGED,1.7319444444444445,1,12,5,83,2,0,1
microsoft/playwright,MERGED,8.516111111111112,2,2,2,93,2,3,1
microsoft/playwright,MERGED,70.24944444444445,6,66,96,281,2,2,2
microsoft/playwright,MERGED,91.50916666666667,5,55,12,0,2,0,2
microsoft/playwright,MERGED,91.415,1,28,0,0,2,0,1
microsoft/playwright,MERGED,1.6502777777777777,13,105,92,0,2,3,2
microsoft/playwright,MERGED,22.54388888888889,10,65,46,91,2,1,2
microsoft/playwright,MERGED,2.033333333333333,3,20,2,0,2,3,2
microsoft/playwright,MERGED,138.70527777777778,1,1,1,12,2,1,1
microsoft/playwright,MERGED,163.24,2,61,1,289,2,9,1
microsoft/playwright,MERGED,3.695,2,8,6,0,2,0,1
microsoft/playwright,MERGED,2.1327777777777777,1,2,2,134,2,0,1
microsoft/playwright,MERGED,5.581388888888889,3,60,60,0,1,3,1
microsoft/playwright,MERGED,1.8455555555555556,1,31,0,0,2,0,1
microsoft/playwright,MERGED,1.1936111111111112,1,1,1,399,2,0,1
microsoft/playwright,MERGED,2.959722222222222,16,111,26,0,2,3,2
microsoft/playwright,MERGED,1.2341666666666666,4,9,6,0,2,1,1
microsoft/playwright,MERGED,11.7125,1,1,1,0,1,3,1
microsoft/playwright,MERGED,12.071666666666667,1,4,4,0,1,3,1
microsoft/playwright,MERGED,2.2666666666666666,10,96,60,0,3,3,5
microsoft/playwright,MERGED,5.835,14,4,251,28,2,2,1
microsoft/playwright,MERGED,31.78638888888889,1,8,0,123,3,3,1
