repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
microsoft/terminal,MERGED,24.129166666666666,1,1,1,577,2,1,1
microsoft/terminal,MERGED,79.7675,1,4,4,783,3,8,1
microsoft/terminal,MERGED,68.44777777777777,1,5,10,505,2,0,1
microsoft/terminal,CLOSED,1.0286111111111111,1,1,1,1220,2,1,1
microsoft/terminal,MERGED,16.900833333333335,1,0,1,730,2,0,1
microsoft/terminal,CLOSED,113.34138888888889,11,388,19,7,2,6,3
microsoft/terminal,MERGED,28.150833333333335,1,3,3,922,3,0,2
microsoft/terminal,MERGED,136.01472222222222,1,52,34,724,3,3,5
microsoft/terminal,MERGED,39.21888888888889,1,1,1,524,4,4,1
microsoft/terminal,CLOSED,13.669722222222223,1,1,1,534,3,1,2
microsoft/terminal,CLOSED,11.13861111111111,6,155,0,331,1,3,2
microsoft/terminal,MERGED,1.0586111111111112,2,6,15,127,2,1,1
microsoft/terminal,MERGED,1.8163888888888888,1,12,11,903,3,2,4
microsoft/terminal,MERGED,1.823888888888889,2,5,3,13,2,1,1
microsoft/terminal,MERGED,236.77722222222224,5,122,4,1244,2,1,2
microsoft/terminal,MERGED,73.16944444444445,2,5,4,77,2,0,1
microsoft/terminal,MERGED,248.82361111111112,78,923,1023,520,2,1,14
microsoft/terminal,MERGED,1.4155555555555555,1,76,76,82,2,0,1
microsoft/terminal,CLOSED,673.89,2,1054,1407,0,2,6,1
microsoft/terminal,MERGED,66.92138888888888,1,9,2,1180,3,2,3
microsoft/terminal,MERGED,696.9916666666667,5,35,87,516,3,0,4
microsoft/terminal,MERGED,48.051944444444445,2,33,10,132,2,1,7
microsoft/terminal,MERGED,25.939444444444444,12,1096,2392,0,2,2,5
microsoft/terminal,MERGED,67.88055555555556,1,4,0,64,3,0,2
microsoft/terminal,CLOSED,771.5705555555555,1,9,1,497,2,7,1
microsoft/terminal,MERGED,43.17527777777778,13,2817,9,0,2,0,1
microsoft/terminal,MERGED,2.039722222222222,19,1068,280,40,2,0,1
microsoft/terminal,MERGED,108.59277777777778,1,2,2,475,3,4,1
microsoft/terminal,MERGED,70.67527777777778,1,23,18,195,2,0,1
microsoft/terminal,MERGED,4.046111111111111,1,41,2,180,2,0,1
microsoft/terminal,MERGED,87.52666666666667,2,20,3,198,2,2,2
microsoft/terminal,MERGED,1.51,2,2,0,77,2,0,1
microsoft/terminal,MERGED,8.651111111111112,8,92,71,473,3,0,13
microsoft/terminal,MERGED,67.48333333333333,20,76,106,0,2,0,2
microsoft/terminal,CLOSED,25.699444444444445,1,1,0,2827,3,9,3
microsoft/terminal,MERGED,340.54277777777776,3,59,79,182,2,1,5
microsoft/terminal,MERGED,1.938611111111111,1,0,7,0,2,0,1
microsoft/terminal,MERGED,24.349722222222223,10,22,19,707,2,1,2
microsoft/terminal,MERGED,89.38861111111112,3,12,1,686,2,1,1
microsoft/terminal,MERGED,330.5472222222222,54,894,1128,4563,3,2,17
microsoft/terminal,MERGED,3.995277777777778,9,13,19,307,2,0,2
microsoft/terminal,MERGED,17.787222222222223,4,25,8,1168,2,0,1
microsoft/terminal,MERGED,141.73777777777778,9,25,8,346,6,6,5
microsoft/terminal,MERGED,64.11583333333333,10,18,39,70,2,1,2
microsoft/terminal,MERGED,651.2425,18,134,67,575,4,10,18
microsoft/terminal,MERGED,3.0366666666666666,2,10,5,57,2,1,1
microsoft/terminal,MERGED,24.148888888888887,4,37,3,1012,3,1,7
microsoft/terminal,MERGED,84.59388888888888,13,234,26,0,3,0,2
microsoft/terminal,MERGED,2.792222222222222,4,29,13,216,2,0,2
microsoft/terminal,MERGED,360.52416666666664,4,98,29,275,3,2,4
microsoft/terminal,MERGED,5.645277777777777,2,2,1,121,3,0,2
microsoft/terminal,MERGED,9.234166666666667,1,10,13,186,2,0,1
microsoft/terminal,MERGED,7.835833333333333,2,30,11,251,2,0,1
microsoft/terminal,MERGED,33.43666666666667,13,52,0,0,3,0,2
microsoft/terminal,CLOSED,1.1155555555555556,2,140,0,331,2,1,2
microsoft/terminal,MERGED,3.6875,8,15,34,516,3,0,5
microsoft/terminal,MERGED,7.663333333333333,2,21,26,103,2,3,3
microsoft/terminal,MERGED,3.702777777777778,19,323,285,300,2,0,8
microsoft/terminal,MERGED,76.9175,10,10,14,71,2,0,7
microsoft/terminal,CLOSED,4.428055555555556,3,163,0,331,1,4,5
microsoft/terminal,CLOSED,1156.3816666666667,2,9,12,924,3,4,3
microsoft/terminal,MERGED,335.4922222222222,12,143,9,1079,2,0,12
microsoft/terminal,MERGED,2.097777777777778,1,1,1,0,2,0,2
microsoft/terminal,MERGED,1.4958333333333333,14,43,493,241,2,0,2
microsoft/terminal,MERGED,5.325833333333334,8,37,0,119,2,0,3
microsoft/terminal,MERGED,16.295833333333334,7,25,0,1075,3,3,2
microsoft/terminal,MERGED,181.5688888888889,1,1,1,277,3,3,4
microsoft/terminal,CLOSED,1.8283333333333334,1,6,3,870,2,0,1
microsoft/terminal,MERGED,116.18388888888889,2,64,10,968,3,11,2
microsoft/terminal,MERGED,116.7275,18,497,303,204,3,5,7
microsoft/terminal,MERGED,19.74,2,83,55,318,2,0,1
microsoft/terminal,MERGED,4.948055555555555,1,7,9,509,3,3,1
microsoft/terminal,MERGED,750.6327777777777,22,279,8,3151,3,3,12
microsoft/terminal,MERGED,50.588055555555556,12,25,2,681,3,1,2
microsoft/terminal,MERGED,69.97944444444444,1,3,7,336,2,2,1
microsoft/terminal,MERGED,3.9588888888888887,2,4,21,216,3,0,2
microsoft/terminal,MERGED,454.17277777777775,84,2169,601,5630,4,27,34
microsoft/terminal,MERGED,97.92,1,117,5,1194,3,0,7
microsoft/terminal,CLOSED,452.1613888888889,3,26,1,902,2,3,3
microsoft/terminal,MERGED,2.9,2,19,3,52,3,16,1
microsoft/terminal,MERGED,137.3113888888889,22,1034,1197,114,3,0,5
microsoft/terminal,MERGED,1.428611111111111,1,1,1,80,2,0,1
microsoft/terminal,MERGED,21.240833333333335,25,322,367,731,3,3,2
microsoft/terminal,MERGED,1.9605555555555556,4,21,6,460,2,1,3
microsoft/terminal,MERGED,3.948888888888889,21,297,267,1799,3,2,14
microsoft/terminal,MERGED,85.57444444444444,12,24,1,1617,5,15,8
microsoft/terminal,MERGED,103.78666666666666,1,5,10,275,3,0,2
microsoft/terminal,MERGED,1.3469444444444445,16,18,0,13,2,0,5
microsoft/terminal,MERGED,4.664166666666667,1,14,1,940,2,1,1
microsoft/terminal,MERGED,17.483055555555556,2,11,0,79,2,0,2
microsoft/terminal,MERGED,858.7688888888889,8,93,68,367,3,1,7
microsoft/terminal,MERGED,5.166111111111111,16,164,291,802,2,4,8
microsoft/terminal,MERGED,56.45777777777778,1,29,6,99,3,5,1
microsoft/terminal,CLOSED,92.8425,1,19,2,1260,2,3,1
microsoft/terminal,MERGED,607.8094444444445,1,1,0,72,4,1,3
microsoft/terminal,MERGED,1086.2327777777778,28,305,206,588,4,8,8
microsoft/terminal,CLOSED,941.7197222222222,4,23,1,1655,2,1,1
microsoft/terminal,MERGED,1015.1902777777777,1,6,6,404,2,3,2
microsoft/terminal,MERGED,161.79055555555556,1,15,7,175,4,6,4
microsoft/terminal,MERGED,1.1322222222222222,2,25,13,0,2,1,3
microsoft/terminal,MERGED,2.3766666666666665,1,70,31,993,2,0,3
microsoft/terminal,MERGED,72.61888888888889,13,52,0,0,2,0,1
