repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
microsoft/vscode,MERGED,2.255,1,34,3,11,2,0,1
microsoft/vscode,MERGED,2.2733333333333334,2,9,1,285,2,1,2
microsoft/vscode,MERGED,2.02,3,107,50,0,2,0,2
microsoft/vscode,MERGED,1.0327777777777778,1,4,0,223,2,1,3
microsoft/vscode,MERGED,1.4691666666666667,3,0,13,40,2,0,2
microsoft/vscode,MERGED,1.6266666666666667,4,68,70,70,2,0,2
microsoft/vscode,MERGED,1.8072222222222223,2,237,0,23,2,0,2
microsoft/vscode,CLOSED,17.64361111111111,7,80,24,0,1,1,1
microsoft/vscode,MERGED,2.0305555555555554,5,56,42,11,2,0,1
microsoft/vscode,MERGED,5.646388888888889,1,47,3,100,5,1,7
microsoft/vscode,MERGED,13.696111111111112,5,30,3,389,4,2,7
microsoft/vscode,MERGED,4.982777777777778,10,57,61,163,2,0,2
microsoft/vscode,MERGED,19.06111111111111,2,11,26,0,2,0,2
microsoft/vscode,MERGED,1.4080555555555556,4,377,481,0,2,0,2
microsoft/vscode,MERGED,1.2975,2,27,13,0,2,0,2
microsoft/vscode,MERGED,1.7930555555555556,6,54,62,185,3,1,3
microsoft/vscode,MERGED,1.4375,4,10,21,0,2,0,2
microsoft/vscode,MERGED,24.395,18,550,146,15,2,0,2
microsoft/vscode,MERGED,9.370277777777778,6,100,44,0,4,0,4
microsoft/vscode,MERGED,15.962777777777777,3,1,5,251,2,0,3
microsoft/vscode,MERGED,19.607777777777777,15,40,35,78,2,1,2
microsoft/vscode,MERGED,4.6025,2,13,2,11,2,1,2
microsoft/vscode,MERGED,1.7433333333333334,2,28,19,76,2,0,2
microsoft/vscode,MERGED,1.7183333333333333,53,181,180,123,2,1,2
microsoft/vscode,MERGED,22.6725,1,14,0,6125,4,0,4
microsoft/vscode,MERGED,1.02,5,8,14,129,2,0,2
microsoft/vscode,MERGED,1.0552777777777778,1,1,1,52,2,0,2
microsoft/vscode,MERGED,6.327222222222222,8,9,1464,258,2,0,2
microsoft/vscode,MERGED,2.0008333333333335,2,38,1,10,2,0,2
microsoft/vscode,MERGED,43.593333333333334,7,139,78,15,3,1,3
microsoft/vscode,MERGED,1.6647222222222222,28,1612,1678,439,2,0,2
microsoft/vscode,MERGED,3.7483333333333335,2,13,4,15,2,0,2
microsoft/vscode,MERGED,3.9411111111111112,9,10,20,15,2,0,2
microsoft/vscode,MERGED,6.354722222222223,9,47,28,15,2,0,2
microsoft/vscode,MERGED,44.643055555555556,5,203,48,138,2,0,5
microsoft/vscode,MERGED,8.591944444444444,98,720,580,0,2,0,2
microsoft/vscode,MERGED,2.7130555555555556,112,2810,2216,0,2,0,2
microsoft/vscode,MERGED,56.52444444444444,137,645,583,0,2,1,2
microsoft/vscode,MERGED,66.80611111111111,1,3,1,94,3,0,4
microsoft/vscode,MERGED,7.729166666666667,1,5,0,13,2,0,3
microsoft/vscode,MERGED,91.92666666666666,1,5,5,66,4,0,10
microsoft/vscode,MERGED,82.95138888888889,3,38,10,139,4,1,7
microsoft/vscode,MERGED,1.2144444444444444,9,58,45,11,2,0,4
microsoft/vscode,MERGED,96.48333333333333,1,13,1,153,3,2,10
microsoft/vscode,MERGED,2.843611111111111,1,17,1,13,3,0,4
microsoft/vscode,CLOSED,60.85388888888889,1,15,5,14,2,2,2
microsoft/vscode,MERGED,3.0458333333333334,4,13,4,13,3,0,3
microsoft/vscode,MERGED,4.575,4,37,13,0,6,0,4
microsoft/vscode,MERGED,2.7172222222222224,1,1,0,17,3,0,4
microsoft/vscode,MERGED,3.143611111111111,3,4,3,34,2,0,2
microsoft/vscode,MERGED,97.30555555555556,1,23,5,2276,3,0,3
microsoft/vscode,MERGED,76.78805555555556,2,7,0,1663,3,0,3
microsoft/vscode,MERGED,1.4508333333333334,3,132,138,0,2,0,2
microsoft/vscode,MERGED,1.0394444444444444,1,3,3,292,2,0,2
microsoft/vscode,MERGED,3.0580555555555557,5,41,14,0,2,0,2
microsoft/vscode,MERGED,1.8411111111111111,484,1217,2,385,3,0,3
microsoft/vscode,MERGED,2.299166666666667,1,73,19,0,2,0,2
microsoft/vscode,MERGED,2.604722222222222,28,70,79,17,3,1,4
microsoft/vscode,MERGED,119.24166666666666,1,7,7,13,2,0,2
microsoft/vscode,MERGED,111.6425,2,23,5,176,3,3,13
microsoft/vscode,MERGED,19.29138888888889,1,1,0,137,3,0,2
microsoft/vscode,MERGED,17.0625,4,10,3,232,2,2,3
microsoft/vscode,CLOSED,83.75444444444445,5,109,15,12,4,4,4
microsoft/vscode,MERGED,12.585,1,1,4,72,2,0,2
microsoft/vscode,MERGED,91.27888888888889,1,1,1,21,2,0,2
microsoft/vscode,MERGED,1.5486111111111112,1,15,32,11,3,0,4
microsoft/vscode,MERGED,1.0630555555555556,2,20,29,11,2,0,3
microsoft/vscode,MERGED,21.989166666666666,8,107,65,11,2,0,2
microsoft/vscode,MERGED,4.5325,3,23,14,41,2,0,3
microsoft/vscode,MERGED,5.1930555555555555,2,7,52,15,3,0,3
microsoft/vscode,MERGED,1.1194444444444445,1,14,1,0,2,0,2
microsoft/vscode,CLOSED,3.529166666666667,2,90,4,3909,2,1,1
microsoft/vscode,MERGED,135.81472222222223,2,3,0,710,4,1,3
microsoft/vscode,MERGED,1.1122222222222222,1,1,1,0,2,0,2
microsoft/vscode,MERGED,2.686111111111111,2,52,7,172,3,5,2
microsoft/vscode,MERGED,105.73638888888888,2,172,1,1348,4,2,7
microsoft/vscode,MERGED,3.158333333333333,4,13,13,7,3,0,2
microsoft/vscode,MERGED,33.18861111111111,29,217,112,257,3,0,4
microsoft/vscode,MERGED,1.4125,2,10,6,0,2,0,2
microsoft/vscode,MERGED,2.1525,2,17,0,0,2,0,2
microsoft/vscode,MERGED,16.031666666666666,2,7,7,44,2,0,3
microsoft/vscode,MERGED,1.8255555555555556,1,31,19,15,2,1,3
