repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
moby/moby,MERGED,3.33,109,20110,19018,1965,2,2,1
moby/moby,MERGED,1.52,10,269,27,209,2,0,1
moby/moby,MERGED,2.7741666666666664,10,269,27,185,2,0,1
moby/moby,MERGED,3.7533333333333334,14,15,15,5187,2,0,1
moby/moby,MERGED,3.180833333333333,15,15,15,5165,2,0,1
moby/moby,MERGED,3.7466666666666666,1,1,1,240,3,0,1
moby/moby,MERGED,16.77888888888889,9,53,190,1091,3,0,2
moby/moby,MERGED,1.793611111111111,1,1,1,224,4,1,2
moby/moby,MERGED,2.3933333333333335,7,32,60,160,2,1,1
moby/moby,MERGED,6.604166666666667,2,3,2,18,3,0,2
moby/moby,MERGED,2.0480555555555555,2,3,2,349,3,2,2
moby/moby,MERGED,20.590555555555557,2,44,18,253,3,0,2
moby/moby,MERGED,6.376388888888889,2,44,18,253,2,0,1
moby/moby,MERGED,4.5125,5,23,6,187,3,0,1
moby/moby,MERGED,4.263333333333334,7,35,11,169,3,2,3
moby/moby,MERGED,4.259722222222222,1,3,3,159,2,0,1
moby/moby,MERGED,19.27638888888889,22,315,326,274,2,0,1
moby/moby,MERGED,19.650277777777777,7,42,13,1384,2,1,1
moby/moby,MERGED,19.85388888888889,10,58,15,1355,2,0,3
moby/moby,MERGED,70.48861111111111,9,117,129,3310,2,2,3
moby/moby,MERGED,24.580277777777777,30,73,80,112,2,0,2
moby/moby,MERGED,47.34777777777778,5,17,28,1263,2,6,1
moby/moby,MERGED,25.445555555555554,1,9,10,158,2,0,1
moby/moby,MERGED,26.0775,8,27,25,352,2,1,1
moby/moby,MERGED,29.288055555555555,3,18,57,1183,2,4,4
moby/moby,MERGED,44.50527777777778,2,38,14,1154,2,0,1
moby/moby,MERGED,73.44555555555556,2,44,40,444,3,1,4
moby/moby,MERGED,61.88777777777778,49,352,363,415,3,3,3
moby/moby,MERGED,8.917777777777777,1,21,0,237,3,2,2
moby/moby,MERGED,22.085277777777776,1,854,0,174,4,7,1
moby/moby,CLOSED,3.2866666666666666,2,3,2,159,2,2,6
moby/moby,MERGED,129.77916666666667,1,22,0,2381,3,7,3
