repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
modelcontextprotocol/servers,MERGED,2.6397222222222223,1,2,0,1889,2,0,1
modelcontextprotocol/servers,MERGED,30.81,1,1,0,2160,2,0,1
modelcontextprotocol/servers,MERGED,30.982222222222223,1,1,0,822,2,0,1
modelcontextprotocol/servers,MERGED,35.04888888888889,1,1,0,2638,2,0,1
modelcontextprotocol/servers,MERGED,111.74194444444444,1,1,0,1420,2,0,1
modelcontextprotocol/servers,MERGED,149.35666666666665,1,1,0,2887,2,0,1
modelcontextprotocol/servers,MERGED,165.54166666666666,1,1,0,833,2,0,1
modelcontextprotocol/servers,MERGED,162.86333333333334,1,1,0,864,2,0,1
modelcontextprotocol/servers,MERGED,163.91,1,1,0,2023,2,0,1
modelcontextprotocol/servers,MERGED,170.30666666666667,1,1,0,546,2,0,1
modelcontextprotocol/servers,MERGED,190.35722222222222,1,1,0,2603,2,0,1
modelcontextprotocol/servers,MERGED,213.81583333333333,1,1,0,1085,2,0,3
modelcontextprotocol/servers,MERGED,116.10694444444445,1,31,14,1316,2,0,1
modelcontextprotocol/servers,MERGED,218.5036111111111,1,1,0,736,2,0,1
modelcontextprotocol/servers,MERGED,290.9472222222222,1,1,0,1603,2,0,1
modelcontextprotocol/servers,MERGED,294.4577777777778,1,1,0,58,2,0,1
modelcontextprotocol/servers,MERGED,306.2102777777778,1,1,0,1410,2,0,1
modelcontextprotocol/servers,MERGED,308.38694444444445,1,1,0,1898,2,0,1
modelcontextprotocol/servers,MERGED,310.4191666666667,1,1,0,0,2,0,1
modelcontextprotocol/servers,MERGED,314.0877777777778,1,1,0,1335,2,0,1
modelcontextprotocol/servers,MERGED,9.762222222222222,2,6,29,995,2,2,2
modelcontextprotocol/servers,MERGED,275.72777777777776,1,1,0,1736,2,1,1
modelcontextprotocol/servers,MERGED,327.83666666666664,1,1,0,937,2,0,1
modelcontextprotocol/servers,MERGED,5.661944444444444,1,6,6,2107,2,0,1
modelcontextprotocol/servers,MERGED,5.985833333333333,1,1,0,1479,2,0,1
modelcontextprotocol/servers,MERGED,13.180833333333334,1,1,1,352,2,0,1
modelcontextprotocol/servers,MERGED,20.677777777777777,1,1,0,1394,3,1,3
modelcontextprotocol/servers,MERGED,166.34027777777777,1,1,0,1818,3,2,3
modelcontextprotocol/servers,MERGED,51.9425,1,5,1,248,2,1,2
modelcontextprotocol/servers,MERGED,26.022777777777776,1,1,0,3890,2,0,1
modelcontextprotocol/servers,MERGED,39.19,1,1,1,172,3,2,2
modelcontextprotocol/servers,MERGED,55.17527777777778,1,1,0,45,3,0,2
modelcontextprotocol/servers,MERGED,65.85944444444445,1,1,0,1093,2,0,1
modelcontextprotocol/servers,MERGED,68.4125,1,1,0,1804,2,0,1
modelcontextprotocol/servers,MERGED,69.37194444444444,1,1,0,2512,2,0,1
modelcontextprotocol/servers,MERGED,87.98027777777777,2,5,4,196,2,0,1
modelcontextprotocol/servers,MERGED,95.89611111111111,1,1,0,1714,2,0,1
modelcontextprotocol/servers,MERGED,1.2377777777777779,1,1,0,2364,2,0,1
modelcontextprotocol/servers,MERGED,2.186111111111111,1,0,2,1118,2,1,1
modelcontextprotocol/servers,MERGED,4.237222222222222,1,2,1,935,2,1,1
modelcontextprotocol/servers,MERGED,119.76666666666667,1,1,0,1046,2,0,3
modelcontextprotocol/servers,MERGED,29.449444444444445,1,6,1,2408,3,0,5
modelcontextprotocol/servers,MERGED,136.74666666666667,1,1,0,863,2,0,1
modelcontextprotocol/servers,MERGED,142.18194444444444,1,1,0,1129,2,0,1
modelcontextprotocol/servers,MERGED,37.454166666666666,1,26,2,1082,4,7,2
modelcontextprotocol/servers,MERGED,50.95944444444444,4,34,1,1552,4,0,14
modelcontextprotocol/servers,MERGED,304.5163888888889,1,1,0,2237,4,1,2
modelcontextprotocol/servers,MERGED,308.28527777777776,1,1,0,2149,4,2,3
modelcontextprotocol/servers,MERGED,172.27194444444444,1,1,0,1358,2,0,1
modelcontextprotocol/servers,MERGED,73.36083333333333,1,1,0,962,2,0,1
modelcontextprotocol/servers,MERGED,89.11833333333334,1,1,0,1883,2,1,2
modelcontextprotocol/servers,MERGED,208.7577777777778,1,1,0,872,2,0,1
modelcontextprotocol/servers,MERGED,22.7775,1,1,9,1406,2,1,1
modelcontextprotocol/servers,MERGED,36.00805555555556,1,8,7,751,2,0,1
modelcontextprotocol/servers,MERGED,266.0802777777778,1,1,0,3037,2,0,1
modelcontextprotocol/servers,MERGED,3.193611111111111,4,6,43,1692,2,0,3
modelcontextprotocol/servers,MERGED,25.48138888888889,1,1,1,1275,3,4,2
modelcontextprotocol/servers,MERGED,16.035833333333333,1,1,1,907,2,0,1
modelcontextprotocol/servers,MERGED,58.00194444444445,1,1,0,1321,2,2,2
modelcontextprotocol/servers,MERGED,51.30416666666667,1,1,0,1084,3,1,1
modelcontextprotocol/servers,MERGED,475.28694444444443,1,1,0,807,3,1,2
modelcontextprotocol/servers,MERGED,618.1644444444445,1,1,0,2926,3,1,2
modelcontextprotocol/servers,MERGED,110.51666666666667,1,1,0,2759,2,0,1
modelcontextprotocol/servers,MERGED,334.7247222222222,1,1,0,1223,2,1,2
modelcontextprotocol/servers,MERGED,346.27916666666664,1,1,0,769,2,0,2
modelcontextprotocol/servers,MERGED,165.50333333333333,1,1,1,377,2,0,1
modelcontextprotocol/servers,MERGED,183.21138888888888,1,2,0,1947,2,1,1
modelcontextprotocol/servers,CLOSED,712.3719444444445,28,15432,200,3728,2,1,1
modelcontextprotocol/servers,CLOSED,714.4283333333333,1,1,0,769,3,1,2
modelcontextprotocol/servers,MERGED,422.5158333333333,1,1,0,1804,2,0,3
modelcontextprotocol/servers,MERGED,211.32,1,1,0,1136,2,0,1
modelcontextprotocol/servers,MERGED,211.955,1,1,0,832,2,0,1
