repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
mrdoob/three.js,MERGED,8.623055555555556,7,44,53,371,1,1,1
mrdoob/three.js,MERGED,19.989444444444445,14,60,85,689,3,2,3
mrdoob/three.js,MERGED,4.991666666666666,2,12,1,562,2,1,1
mrdoob/three.js,MERGED,2.803888888888889,5,13,13,27,3,1,1
mrdoob/three.js,MERGED,7.315833333333333,1,9,2,2931,2,0,1
mrdoob/three.js,MERGED,51.488055555555555,4,70,47,180,2,0,1
mrdoob/three.js,MERGED,132.1147222222222,1,11,0,109,3,1,3
mrdoob/three.js,MERGED,8.141666666666667,134,1801,1135,57,2,1,3
mrdoob/three.js,MERGED,6.635277777777778,38,443,330,187,2,4,2
mrdoob/three.js,MERGED,175.56916666666666,9,55,7,492,4,8,1
mrdoob/three.js,MERGED,14.118055555555555,4,19,12,541,2,1,2
mrdoob/three.js,MERGED,11.934444444444445,6,103,21,309,2,3,3
mrdoob/three.js,MERGED,2.0480555555555555,9,57,23,227,4,5,2
mrdoob/three.js,MERGED,4.3741666666666665,4,67,46,143,2,2,1
mrdoob/three.js,CLOSED,2.6855555555555557,1,22,37,164,2,1,2
mrdoob/three.js,MERGED,1.0888888888888888,1,7,7,134,2,3,1
mrdoob/three.js,MERGED,2.6483333333333334,12,225,194,83,2,1,1
mrdoob/three.js,MERGED,6.2908333333333335,3,30,7,202,2,0,3
mrdoob/three.js,MERGED,94.11777777777777,1,11,1,105,2,5,3
mrdoob/three.js,MERGED,22.49388888888889,1,31,1,776,2,0,1
mrdoob/three.js,MERGED,23.304444444444446,5,49,17,237,3,2,3
mrdoob/three.js,MERGED,1.936388888888889,1,1,1,101,2,0,1
mrdoob/three.js,MERGED,87.37027777777777,1,6,10,548,5,1,6
mrdoob/three.js,CLOSED,1.3558333333333332,1,22,5,550,2,0,2
mrdoob/three.js,MERGED,66.52277777777778,1,51,18,310,3,1,7
mrdoob/three.js,MERGED,71.37416666666667,17,492,68,868,5,10,1
mrdoob/three.js,MERGED,35.696666666666665,10,753,202,589,3,5,1
mrdoob/three.js,MERGED,6.255833333333333,3,6,7,88,2,0,1
mrdoob/three.js,MERGED,1.7566666666666666,10,262,87,293,2,6,1
mrdoob/three.js,MERGED,19.544722222222223,2,2,0,304,2,3,1
mrdoob/three.js,MERGED,8.685277777777777,1,93,25,306,2,1,1
mrdoob/three.js,MERGED,17.6775,1,115,5,1037,2,5,8
mrdoob/three.js,MERGED,144.87833333333333,6,210,12,419,6,14,11
mrdoob/three.js,MERGED,11.869722222222222,2,5,2,774,3,1,14
mrdoob/three.js,MERGED,15.72861111111111,2,22,21,1018,5,2,20
mrdoob/three.js,MERGED,49.971666666666664,1,118,70,138,2,1,1
mrdoob/three.js,MERGED,2.303888888888889,2,17,1,87,3,1,1
mrdoob/three.js,MERGED,24.558611111111112,3,7,103,398,2,1,1
mrdoob/three.js,MERGED,14.822222222222223,1,66,65,585,3,3,2
mrdoob/three.js,MERGED,168.74083333333334,1,17,6,1361,4,1,5
mrdoob/three.js,MERGED,117.86055555555555,38,3535,136,1033,3,4,1
mrdoob/three.js,MERGED,1.6944444444444444,1,25,10,212,2,1,18
mrdoob/three.js,MERGED,2.464722222222222,5,6,24,122,2,1,2
mrdoob/three.js,MERGED,26.07638888888889,6,28,12,626,3,3,4
mrdoob/three.js,MERGED,34.919444444444444,1,1,1,185,3,4,1
mrdoob/three.js,MERGED,39.464444444444446,1,7,7,380,2,5,1
mrdoob/three.js,MERGED,1.0008333333333332,1,3,3,63,2,0,1
mrdoob/three.js,MERGED,367.7713888888889,2,984,281,550,5,5,3
mrdoob/three.js,MERGED,32.506388888888885,2,2,0,115,3,2,1
mrdoob/three.js,MERGED,1.8258333333333334,1,1,1,18,2,0,1
mrdoob/three.js,MERGED,21.636666666666667,7,848,0,1934,8,46,1
mrdoob/three.js,MERGED,1.2441666666666666,1,3,0,99,2,1,4
mrdoob/three.js,MERGED,56.99805555555555,2,19,1,295,2,1,3
mrdoob/three.js,MERGED,1.8247222222222221,1,4,0,257,2,2,1
mrdoob/three.js,MERGED,5.100833333333333,1,15,7,89,2,2,1
mrdoob/three.js,MERGED,6.419722222222222,18,30,30,442,2,2,3
mrdoob/three.js,MERGED,19.8575,1,22,4,318,3,5,1
mrdoob/three.js,MERGED,4.215,2,105,8,250,2,3,6
mrdoob/three.js,MERGED,5.460555555555556,9,34,15,395,3,1,5
mrdoob/three.js,CLOSED,67.27722222222222,2,20,0,1018,2,1,2
mrdoob/three.js,MERGED,211.39194444444445,2,27,0,765,4,13,9
mrdoob/three.js,MERGED,96.2925,117,512,343,691,3,6,2
mrdoob/three.js,MERGED,47.32888888888889,3,19,26,590,2,2,1
mrdoob/three.js,MERGED,114.18138888888889,3,106,10,96,2,3,6
mrdoob/three.js,MERGED,4.373055555555555,6,20,20,274,2,0,1
mrdoob/three.js,MERGED,139.94916666666666,5,19,15,711,3,2,1
mrdoob/three.js,MERGED,116.71888888888888,2,3,3,311,2,1,6
mrdoob/three.js,MERGED,9.312777777777777,1,6,18,480,3,2,1
mrdoob/three.js,MERGED,157.20083333333332,1,25,48,184,2,2,1
mrdoob/three.js,MERGED,12.145833333333334,1,1,1,295,2,2,5
mrdoob/three.js,MERGED,1.2852777777777777,6,20,20,209,2,4,1
mrdoob/three.js,MERGED,2.5116666666666667,6,77,39,967,2,1,1
mrdoob/three.js,MERGED,42.56638888888889,4,145,0,643,2,1,6
mrdoob/three.js,MERGED,3.6519444444444447,2,2,2,1701,2,1,2
mrdoob/three.js,MERGED,6.316111111111111,1,25,13,97,2,2,2
mrdoob/three.js,MERGED,193.82166666666666,4,196,0,854,6,17,1
mrdoob/three.js,MERGED,36.26861111111111,6,124,13,218,3,2,17
mrdoob/three.js,MERGED,3.986388888888889,28,52,52,122,2,1,2
mrdoob/three.js,MERGED,1.2077777777777778,1,1,1,96,2,1,1
mrdoob/three.js,MERGED,6.865,7,14,17,0,2,0,1
mrdoob/three.js,MERGED,8.46861111111111,3,3,3,21,2,0,1
mrdoob/three.js,MERGED,8.910555555555556,8,62,62,15,2,1,1
