repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
mtdvio/every-programmer-should-know,MERGED,266.02555555555557,1,1,0,22,3,0,1
mtdvio/every-programmer-should-know,MERGED,2352.935,1,24,0,0,2,0,1
mtdvio/every-programmer-should-know,MERGED,5665.570277777778,1,1,1,220,2,0,1
mtdvio/every-programmer-should-know,MERGED,6061.9591666666665,1,1,1,0,2,0,1
mtdvio/every-programmer-should-know,MERGED,9934.635833333334,1,3,2,0,3,0,3
mtdvio/every-programmer-should-know,MERGED,5250.586944444444,1,4,0,0,4,1,1
mtdvio/every-programmer-should-know,MERGED,10557.084722222222,1,1,1,15,4,1,1
mtdvio/every-programmer-should-know,MERGED,965.1780555555556,1,1,1,132,3,1,1
mtdvio/every-programmer-should-know,MERGED,3885.113611111111,1,1,0,83,3,0,1
mtdvio/every-programmer-should-know,CLOSED,18908.959166666667,1,41,11,94,2,0,1
mtdvio/every-programmer-should-know,MERGED,5199.516666666666,1,1,0,0,3,2,1
mtdvio/every-programmer-should-know,CLOSED,25372.84388888889,1,5,3,487,4,1,1
mtdvio/every-programmer-should-know,MERGED,980.0752777777777,1,1,0,0,3,2,1
mtdvio/every-programmer-should-know,CLOSED,43654.5325,1,1,0,64,3,0,1
mtdvio/every-programmer-should-know,CLOSED,23359.668611111112,1,6,0,0,4,0,1
mtdvio/every-programmer-should-know,MERGED,1882.0447222222222,1,1,0,49,3,1,1
mtdvio/every-programmer-should-know,MERGED,1976.6533333333334,1,1,0,91,3,3,2
mtdvio/every-programmer-should-know,MERGED,21000.453611111112,1,8,7,338,4,3,3
mtdvio/every-programmer-should-know,MERGED,226.3697222222222,1,1,1,43,3,1,1
mtdvio/every-programmer-should-know,MERGED,150.03722222222223,1,2,0,45,3,2,2
mtdvio/every-programmer-should-know,MERGED,151.09222222222223,1,2,0,100,3,3,3
mtdvio/every-programmer-should-know,CLOSED,634.2122222222222,1,2,1,103,4,3,1
mtdvio/every-programmer-should-know,CLOSED,21278.24472222222,1,1,0,0,5,3,1
mtdvio/every-programmer-should-know,MERGED,126.98416666666667,1,1,0,106,3,1,1
mtdvio/every-programmer-should-know,MERGED,76.93305555555555,1,1,1,23,3,1,1
mtdvio/every-programmer-should-know,MERGED,5.163888888888889,1,1,1,61,2,1,1
mtdvio/every-programmer-should-know,MERGED,42.69166666666667,1,1,0,193,2,3,1
mtdvio/every-programmer-should-know,MERGED,14.823055555555555,1,1,1,0,3,1,1
