repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
mui/material-ui,MERGED,1.1694444444444445,6,0,8,160,3,1,1
mui/material-ui,MERGED,19.678055555555556,1,8,3,14,3,3,3
mui/material-ui,MERGED,19.92888888888889,1,1,1,72,3,1,1
mui/material-ui,MERGED,2.7725,14,52,855,140,3,1,4
mui/material-ui,MERGED,33.73305555555555,2,116,99,12689,2,1,1
mui/material-ui,MERGED,33.312777777777775,2,7,7,902,1,0,1
mui/material-ui,MERGED,33.323055555555555,2,7,7,1110,1,0,1
mui/material-ui,MERGED,32.58777777777778,4,129,129,875,2,1,1
mui/material-ui,MERGED,33.36,2,201,209,2139,2,1,1
mui/material-ui,MERGED,32.522222222222226,2,6,6,941,1,0,1
mui/material-ui,MERGED,32.53194444444444,3,4,4,806,1,0,1
mui/material-ui,MERGED,9.341388888888888,2,14,7,1541,2,1,1
mui/material-ui,MERGED,8.488333333333333,2,4,4,2201,1,0,1
mui/material-ui,MERGED,9.382777777777777,11,117,117,811,2,1,1
mui/material-ui,MERGED,8.527222222222223,2,6,6,881,1,0,1
mui/material-ui,MERGED,25.30472222222222,2,12,12,896,1,0,1
mui/material-ui,MERGED,14.405,2,3,2,59,4,1,1
mui/material-ui,MERGED,3.4130555555555557,7,32,13,48,4,1,3
mui/material-ui,MERGED,2.1675,5,0,122,58,3,1,1
mui/material-ui,MERGED,17.24111111111111,4,544,456,1026,6,7,1
mui/material-ui,MERGED,13.455555555555556,23,83,22,84,4,1,3
mui/material-ui,MERGED,4.347222222222222,1,17,0,62,4,1,2
mui/material-ui,MERGED,27.927222222222223,5,26,0,384,5,3,3
mui/material-ui,MERGED,1.1066666666666667,5,24,65,150,3,1,2
mui/material-ui,MERGED,75.03333333333333,2,811,818,896,2,1,1
mui/material-ui,MERGED,3.2688888888888887,1,6,1,560,4,1,10
mui/material-ui,MERGED,7.229166666666667,4,84,84,851,1,0,1
mui/material-ui,MERGED,5.984166666666667,2,21,17,916,1,0,1
mui/material-ui,MERGED,5.96,3,10,10,2130,2,1,1
mui/material-ui,MERGED,5.6825,1,2,2,1243,1,0,1
mui/material-ui,MERGED,31.191666666666666,7,55,55,1610,2,2,1
mui/material-ui,MERGED,5.503333333333333,6,15,15,2057,1,0,1
mui/material-ui,MERGED,5.4325,2,3,3,2503,2,1,1
mui/material-ui,MERGED,5.3244444444444445,2,6,6,959,1,0,1
mui/material-ui,MERGED,5.299444444444444,2,15,15,869,1,0,1
mui/material-ui,MERGED,242.2461111111111,12,55,751,504,4,2,5
mui/material-ui,MERGED,114.30361111111111,9,62,1,630,4,1,7
mui/material-ui,MERGED,231.65055555555554,47,96,132,350,4,11,13
mui/material-ui,MERGED,138.40527777777777,1,6,6,643,4,1,1
mui/material-ui,MERGED,365.99805555555554,4,67,399,9909,2,1,1
mui/material-ui,CLOSED,367.61333333333334,3,12,6,1388,2,1,1
mui/material-ui,MERGED,10.40611111111111,1,2,2,1377,1,0,1
mui/material-ui,MERGED,28.951666666666668,2,7,7,905,1,0,1
mui/material-ui,MERGED,58.18,3,4,4,794,1,0,1
mui/material-ui,MERGED,28.8625,2,99,99,3687,1,0,1
mui/material-ui,MERGED,53.736111111111114,2,10,12,909,2,1,1
mui/material-ui,MERGED,28.98111111111111,11,117,117,799,1,0,1
mui/material-ui,MERGED,36.92111111111111,2,124,115,779,1,0,1
mui/material-ui,MERGED,449.3302777777778,4,91,110,22,3,1,1
mui/material-ui,MERGED,21.671666666666667,3,55,35,1301,4,1,7
mui/material-ui,MERGED,7.170833333333333,8,12,11,21,3,1,4
mui/material-ui,MERGED,2.5925,1,2,3,57,3,1,1
mui/material-ui,MERGED,163.5963888888889,1,1,1,169,4,1,1
mui/material-ui,MERGED,18.970277777777778,2,1,1,0,5,1,2
mui/material-ui,MERGED,6.051944444444445,1,1,3,68,7,1,3
mui/material-ui,MERGED,2.4675,1,68,36,103,3,2,1
mui/material-ui,MERGED,20.794166666666666,3,14,14,199,4,3,2
mui/material-ui,MERGED,101.28194444444445,2,652,644,789,2,1,1
