repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
n8n-io/n8n,MERGED,2.2447222222222223,4,7,0,448,2,3,2
n8n-io/n8n,MERGED,2.5241666666666664,11,3004,244,403,2,2,7
n8n-io/n8n,MERGED,1.8244444444444445,3,248,81,465,2,3,4
n8n-io/n8n,CLOSED,1.0791666666666666,4,167,20,1547,3,2,3
n8n-io/n8n,MERGED,2.651388888888889,8,97,37,372,2,4,5
n8n-io/n8n,MERGED,1.791388888888889,4,60,32,617,2,2,4
n8n-io/n8n,MERGED,14.324722222222222,18,311,50,524,2,2,3
n8n-io/n8n,MERGED,15.2275,15,730,45,358,2,3,4
n8n-io/n8n,MERGED,20.36861111111111,5,113,5,954,2,3,2
n8n-io/n8n,MERGED,7.075277777777778,5,443,257,406,2,2,2
n8n-io/n8n,CLOSED,8.527777777777779,17,213,50,307,1,1,1
n8n-io/n8n,MERGED,16.36277777777778,3,6,6,567,2,2,2
n8n-io/n8n,MERGED,1.4683333333333333,2,62,2,477,2,2,2
n8n-io/n8n,MERGED,5.3372222222222225,22,468,293,574,2,2,3
n8n-io/n8n,MERGED,18.415,64,431,411,645,3,3,5
n8n-io/n8n,MERGED,5.3741666666666665,2,441,4,570,2,3,2
n8n-io/n8n,MERGED,1.7175,2,306,4,465,2,2,8
n8n-io/n8n,MERGED,1.49,1,34,2,573,2,2,2
n8n-io/n8n,MERGED,1.8130555555555556,1,40,5,750,2,2,3
n8n-io/n8n,MERGED,24.12361111111111,23,1992,3,537,2,6,13
n8n-io/n8n,CLOSED,24.204166666666666,16,117,32,595,2,2,2
n8n-io/n8n,MERGED,4.322222222222222,6,235,12,478,2,2,6
n8n-io/n8n,MERGED,1.2675,4,385,1,477,2,3,3
n8n-io/n8n,MERGED,3.4716666666666667,1,7,0,429,2,3,3
n8n-io/n8n,MERGED,1.0927777777777778,2,29,2,460,2,2,2
n8n-io/n8n,MERGED,11.606666666666667,2,40,1,37,2,1,1
n8n-io/n8n,MERGED,44.73111111111111,435,1583,671,487,3,5,3
n8n-io/n8n,MERGED,14.792777777777777,2,29,0,504,2,2,2
n8n-io/n8n,MERGED,16.51888888888889,4,13,18,423,2,2,2
n8n-io/n8n,MERGED,16.92527777777778,4,204,6,595,2,2,4
n8n-io/n8n,MERGED,21.61138888888889,7,678,585,366,3,2,8
n8n-io/n8n,CLOSED,2.1172222222222223,31,95,30,4999,2,2,1
n8n-io/n8n,CLOSED,23.220555555555556,16,117,32,307,1,1,2
n8n-io/n8n,MERGED,1.6544444444444444,3,43,22,37,4,2,2
n8n-io/n8n,MERGED,24.795277777777777,1,45,2,434,3,2,3
n8n-io/n8n,MERGED,24.852222222222224,1,4,3,384,2,2,2
n8n-io/n8n,MERGED,25.505555555555556,27,644,503,457,2,2,7
n8n-io/n8n,MERGED,39.352777777777774,2,9,8,2256,3,4,1
n8n-io/n8n,MERGED,71.83805555555556,2,2,0,567,4,4,4
n8n-io/n8n,MERGED,64.84388888888888,1,2,2,370,4,3,2
n8n-io/n8n,MERGED,1.9025,3,7,4,859,4,5,2
n8n-io/n8n,MERGED,71.98694444444445,5,37,27,619,4,4,3
n8n-io/n8n,MERGED,68.34972222222223,4,41,123,512,4,6,2
n8n-io/n8n,MERGED,74.485,6,287,153,1115,2,3,2
n8n-io/n8n,MERGED,2.136111111111111,18,446,409,422,4,4,4
