repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
neovim/neovim,MERGED,1.6527777777777777,2,3,3,220,3,0,1
neovim/neovim,MERGED,10.06,4,33,8,283,2,0,1
neovim/neovim,MERGED,22.351111111111113,9,865,841,0,2,1,1
neovim/neovim,MERGED,1.291111111111111,3,12,7,25,2,1,2
neovim/neovim,MERGED,4.370277777777778,3,116,8,836,3,1,2
neovim/neovim,MERGED,18.084722222222222,17,367,334,155,2,0,3
neovim/neovim,MERGED,23.770833333333332,1,3,1,295,3,1,3
neovim/neovim,MERGED,1.631388888888889,1,17,22,114,2,1,1
neovim/neovim,MERGED,14.071666666666667,4,109,28,10,2,1,2
neovim/neovim,MERGED,48.715,23,179,200,236,3,7,4
neovim/neovim,MERGED,15.706111111111111,1,15,5,13,4,12,3
neovim/neovim,MERGED,17.327222222222222,5,68,64,450,5,11,2
neovim/neovim,MERGED,31.869722222222222,3,25,4,76,3,3,9
neovim/neovim,MERGED,20.9775,2,64,6,755,5,4,2
neovim/neovim,MERGED,79.68611111111112,46,647,607,902,2,0,2
neovim/neovim,MERGED,1.4005555555555556,4,15,0,102,2,1,3
neovim/neovim,MERGED,12.161666666666667,6,303,274,149,3,0,1
neovim/neovim,MERGED,2.7905555555555557,4,17,2,227,3,0,2
neovim/neovim,MERGED,1.4516666666666667,2,0,22,165,2,0,1
neovim/neovim,MERGED,3.936111111111111,3,8,1,47,2,0,1
neovim/neovim,MERGED,10.241111111111111,2,96,1,223,4,0,3
neovim/neovim,MERGED,1.698888888888889,3,5,4,244,2,0,1
neovim/neovim,MERGED,3.743611111111111,1,16,15,331,3,3,1
neovim/neovim,MERGED,10.665277777777778,2,6,3,270,2,1,1
neovim/neovim,MERGED,16.530277777777776,4,66,31,1238,2,0,12
neovim/neovim,MERGED,21.648333333333333,2,16,4,116,3,1,1
neovim/neovim,MERGED,4.102222222222222,15,28,852,546,2,2,1
neovim/neovim,MERGED,2.3433333333333333,1,26,21,604,2,8,2
neovim/neovim,MERGED,33.37555555555556,2,2,2,80,5,2,1
neovim/neovim,MERGED,6.536388888888889,1,105,0,364,2,2,4
neovim/neovim,MERGED,80.31555555555556,1,1,1,161,4,4,1
neovim/neovim,MERGED,4.823888888888889,1,13,4,337,2,6,1
neovim/neovim,MERGED,4.161944444444444,2,3,1,274,3,0,1
neovim/neovim,MERGED,388.0422222222222,3,366,68,2595,6,20,8
neovim/neovim,MERGED,1.1352777777777778,1,99,0,0,2,1,1
neovim/neovim,MERGED,1.7947222222222223,7,190,12,939,2,0,1
neovim/neovim,MERGED,4.426666666666667,2,15,18,0,2,0,12
neovim/neovim,MERGED,12.387777777777778,1,11,0,185,3,4,5
neovim/neovim,MERGED,11.159722222222221,3,3,106,0,2,0,1
neovim/neovim,MERGED,1.0291666666666666,2,44,7,27,2,0,1
neovim/neovim,MERGED,11.791944444444445,1,2,2,642,3,1,4
neovim/neovim,MERGED,28.981666666666666,2,15,9,575,3,2,2
neovim/neovim,MERGED,334.3363888888889,2,28,1,267,3,4,1
neovim/neovim,MERGED,19.031388888888888,2,23,24,476,2,1,1
neovim/neovim,MERGED,244.08388888888888,21,4123,4047,0,2,2,3
neovim/neovim,MERGED,1.0169444444444444,1,2,0,76,2,1,1
neovim/neovim,MERGED,6.891666666666667,3,96,37,257,3,2,10
neovim/neovim,MERGED,16.960833333333333,2,4,1,214,4,5,1
neovim/neovim,MERGED,14.233055555555556,1,1,1,304,2,1,1
