repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
nestjs/nest,MERGED,104.15916666666666,2,9,9,3169,3,1,1
nestjs/nest,MERGED,68.60555555555555,35,35,35,812,3,1,1
nestjs/nest,CLOSED,134.93777777777777,1,1,1,8046,2,2,1
nestjs/nest,MERGED,137.28722222222223,4,4,4,1170,3,2,1
nestjs/nest,MERGED,137.23777777777778,1,1,1,7722,4,1,2
nestjs/nest,MERGED,31.86722222222222,2,5,5,3132,3,1,1
nestjs/nest,MERGED,268.1663888888889,2,24,1,424,3,4,1
nestjs/nest,MERGED,18.407222222222224,2,21,49,4033,3,1,1
nestjs/nest,MERGED,129.46666666666667,1,1,1,978,3,1,1
nestjs/nest,MERGED,453.3088888888889,37,73,73,842,3,2,1
nestjs/nest,MERGED,22.834444444444443,2,5,5,1523,3,1,1
nestjs/nest,MERGED,499.9433333333333,3,57,2,1886,5,14,1
nestjs/nest,MERGED,54.255,36,38,38,1585,3,1,1
nestjs/nest,MERGED,80.08583333333333,1,1,1,602,4,2,2
nestjs/nest,MERGED,86.60222222222222,1,3,36,187,3,1,2
nestjs/nest,CLOSED,706.5952777777778,1,5,4,1507,4,4,1
nestjs/nest,MERGED,62.41861111111111,36,36,36,557,3,1,1
