repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
netdata/netdata,MERGED,1.9858333333333333,1,1,1,168,2,0,1
netdata/netdata,MERGED,1.1141666666666667,2,9,9,89,2,0,1
netdata/netdata,MERGED,13.691944444444445,1,8,6,796,2,0,1
netdata/netdata,MERGED,2.1841666666666666,1,3,55,97,2,0,2
netdata/netdata,MERGED,49.214166666666664,2,30,14,136,2,0,1
netdata/netdata,MERGED,20.505,1,3,2,120,2,0,1
netdata/netdata,MERGED,8.898888888888889,7,72,72,129,2,0,1
netdata/netdata,MERGED,78.99638888888889,1,8,0,236,3,0,6
netdata/netdata,MERGED,5.815555555555555,1,4,0,462,2,0,1
netdata/netdata,MERGED,46.84444444444444,3,17,36,151,2,0,1
netdata/netdata,MERGED,7.457222222222223,1,55,21,786,2,0,2
netdata/netdata,MERGED,18.259444444444444,2,64,60,480,2,1,3
netdata/netdata,MERGED,15.704722222222221,1,1,1,607,2,2,7
netdata/netdata,MERGED,8.318055555555556,1,30,10,368,2,0,2
netdata/netdata,MERGED,11.128333333333334,2,12,15,392,3,0,6
netdata/netdata,MERGED,60.34305555555556,1,9,0,1070,2,0,1
netdata/netdata,MERGED,1.1097222222222223,1,7,3,160,2,0,2
netdata/netdata,MERGED,1.9005555555555556,1,0,6,159,2,0,1
netdata/netdata,MERGED,1.1733333333333333,1,1,1,87,2,0,1
netdata/netdata,MERGED,10.129444444444445,4,187,175,71,2,0,1
netdata/netdata,MERGED,16.096944444444443,2,9,2,204,4,10,5
netdata/netdata,MERGED,1.6655555555555555,1,1,0,32,4,7,2
netdata/netdata,MERGED,27.134166666666665,52,361,748,190,2,0,3
netdata/netdata,MERGED,211.6363888888889,365,109573,306,9243,3,3,2
netdata/netdata,MERGED,1.2291666666666667,9,99,30,511,2,0,2
netdata/netdata,MERGED,1.1094444444444445,26,412,1204,123,2,0,2
netdata/netdata,CLOSED,178.07833333333335,1,173,34,661,2,1,6
netdata/netdata,MERGED,2.556388888888889,13,207,669,87,2,0,3
