repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
nodejs/node,CLOSED,1.2044444444444444,1,5,2,286,3,4,1
nodejs/node,CLOSED,2.484722222222222,1,8,16,288,3,2,1
nodejs/node,MERGED,48.25861111111111,46,456,215,415,4,4,4
nodejs/node,MERGED,62.309444444444445,7,465,158,10,4,5,3
nodejs/node,MERGED,92.60666666666667,5,8,19,942,4,5,2
nodejs/node,MERGED,48.11416666666667,1,1,1,13,8,4,5
nodejs/node,CLOSED,21.019166666666667,6,401,0,272,6,5,2
nodejs/node,MERGED,48.7675,1,2,0,142,4,5,2
nodejs/node,MERGED,66.21666666666667,1,2,2,400,6,1,3
nodejs/node,MERGED,48.0725,3,12,7,226,6,2,4
nodejs/node,MERGED,95.36194444444445,12,1679,22,0,5,7,2
nodejs/node,CLOSED,97.36027777777778,3,32,1,733,7,7,4
nodejs/node,MERGED,48.418055555555554,2,30,1,353,7,5,5
nodejs/node,CLOSED,48.17583333333334,204,1339,885,48,5,3,4
nodejs/node,MERGED,67.59972222222223,1,1,1,3239,4,2,3
nodejs/node,MERGED,67.59861111111111,1,1,1,3532,3,2,2
nodejs/node,MERGED,67.59722222222223,1,1,1,2822,4,2,3
nodejs/node,MERGED,67.59583333333333,12,14,14,3586,4,2,3
nodejs/node,MERGED,67.5975,2,2,2,3450,4,2,3
nodejs/node,MERGED,48.82083333333333,3,3,3,5149,4,3,3
nodejs/node,MERGED,83.375,10,14,14,4114,4,3,3
nodejs/node,MERGED,48.82277777777778,2,4,4,7027,4,2,3
nodejs/node,MERGED,95.75194444444445,2,4,4,128,6,3,4
nodejs/node,CLOSED,49.66138888888889,3,46,8,146,4,3,6
nodejs/node,MERGED,48.05305555555555,1,2,2,23,10,2,9
nodejs/node,MERGED,48.15416666666667,1,2,2,38,10,2,8
nodejs/node,MERGED,161.3436111111111,175,274,270,139,6,4,2
nodejs/node,MERGED,48.0525,1,2,2,582,8,9,4
nodejs/node,MERGED,48.05166666666667,9,38,1,13,5,9,3
nodejs/node,MERGED,48.18222222222222,1,2,2,115,14,5,10
nodejs/node,MERGED,28.451666666666668,1,20,1,181,9,14,7
nodejs/node,MERGED,51.17916666666667,1,1,1,60,4,3,2
nodejs/node,MERGED,201.81694444444443,4,121,4,14,3,4,1
nodejs/node,MERGED,188.14805555555554,2,63,43,30,6,9,8
