repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
nomic-ai/gpt4all,MERGED,2.6733333333333333,2,5,5,30,2,0,1
nomic-ai/gpt4all,MERGED,120.97305555555556,12,474,126,0,2,2,5
nomic-ai/gpt4all,MERGED,90.43888888888888,2,124,158,947,2,1,1
nomic-ai/gpt4all,MERGED,116.25916666666667,3,5,4,369,2,2,1
nomic-ai/gpt4all,MERGED,96.02277777777778,52,261,148,811,2,1,1
nomic-ai/gpt4all,MERGED,103.49861111111112,2,4,3,525,2,1,1
nomic-ai/gpt4all,MERGED,140.9975,2,88,1,977,2,3,2
nomic-ai/gpt4all,MERGED,354.0577777777778,2,175,174,535,4,8,1
nomic-ai/gpt4all,MERGED,23.634722222222223,10,80,40,933,2,0,1
nomic-ai/gpt4all,MERGED,2.370277777777778,4,11,7,430,2,0,1
nomic-ai/gpt4all,MERGED,15.572777777777778,7,294,136,531,2,0,1
nomic-ai/gpt4all,MERGED,26.07638888888889,2,2,1,143,2,1,1
nomic-ai/gpt4all,MERGED,64.22666666666667,3,46,18,762,3,0,2
nomic-ai/gpt4all,MERGED,65.87722222222222,5,36,12,510,2,0,1
nomic-ai/gpt4all,MERGED,96.5663888888889,3,6,1,1225,2,1,1
nomic-ai/gpt4all,MERGED,70.65444444444445,2,2,1,152,2,0,1
nomic-ai/gpt4all,MERGED,18.154444444444444,2,43,43,93,2,0,1
nomic-ai/gpt4all,MERGED,4.474166666666667,3,73,3,82,2,0,1
nomic-ai/gpt4all,MERGED,23.9125,1,77,42,341,2,0,1
nomic-ai/gpt4all,MERGED,7.95,7,148,86,453,2,0,2
nomic-ai/gpt4all,MERGED,43.56333333333333,15,145,303,401,2,0,1
nomic-ai/gpt4all,MERGED,17.7775,1,72,0,189,2,1,1
nomic-ai/gpt4all,MERGED,17.268333333333334,4,51,9,832,3,2,1
nomic-ai/gpt4all,MERGED,5.394444444444445,1,153,50,579,2,0,3
nomic-ai/gpt4all,MERGED,18.476666666666667,4,29,28,1323,2,0,1
nomic-ai/gpt4all,MERGED,120.49916666666667,2,2,1,440,2,0,1
nomic-ai/gpt4all,MERGED,23.627222222222223,2,2,1,77,2,0,1
nomic-ai/gpt4all,MERGED,24.383055555555554,2,6,1,243,2,0,1
nomic-ai/gpt4all,MERGED,16.8,2,16,4,1381,2,0,1
nomic-ai/gpt4all,MERGED,1.3691666666666666,1,1,1,501,2,0,1
nomic-ai/gpt4all,MERGED,87.93444444444444,2,2,1,446,2,0,1
nomic-ai/gpt4all,MERGED,90.90861111111111,3,235,19,177,2,0,1
nomic-ai/gpt4all,MERGED,112.51611111111112,8,116,53,1195,2,0,1
nomic-ai/gpt4all,MERGED,125.62277777777778,1,86,86,552,2,0,1
nomic-ai/gpt4all,MERGED,18.77722222222222,4,57,15,346,2,0,1
nomic-ai/gpt4all,MERGED,210.37444444444444,2,98,56,273,2,3,1
nomic-ai/gpt4all,MERGED,161.02416666666667,7,474,15,739,2,1,3
nomic-ai/gpt4all,MERGED,1.6544444444444444,3,8,22,854,2,0,1
nomic-ai/gpt4all,MERGED,3.914722222222222,2,25,1,50,2,0,1
nomic-ai/gpt4all,MERGED,3.674722222222222,3,19,10,30,2,0,2
nomic-ai/gpt4all,MERGED,16.636388888888888,1,8,3,498,2,0,1
