repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
nvbn/thefuck,MERGED,11.2575,1,13,13,0,2,1,1
nvbn/thefuck,CLOSED,4152.600555555556,2,28,0,195,14,19,1
nvbn/thefuck,CLOSED,7966.658333333334,115,1123,619,64,1,0,1
nvbn/thefuck,CLOSED,16.72222222222222,1,2,2,17,2,1,1
nvbn/thefuck,CLOSED,66.49277777777777,2,61,14,665,2,2,1
nvbn/thefuck,CLOSED,17877.376944444444,1,12,0,11,2,1,1
nvbn/thefuck,MERGED,7337.721666666666,3,37,3,347,3,4,6
nvbn/thefuck,MERGED,1199.24,1,5,0,0,2,0,1
nvbn/thefuck,MERGED,2075.1658333333335,3,44,0,137,2,4,5
nvbn/thefuck,MERGED,72.78444444444445,2,51,50,1204,2,1,3
nvbn/thefuck,MERGED,121.24333333333334,2,2,2,441,2,1,1
nvbn/thefuck,MERGED,174.1772222222222,2,3,1,101,2,0,1
nvbn/thefuck,MERGED,77.26638888888888,2,4,0,167,2,0,3
nvbn/thefuck,MERGED,965.5894444444444,3,93,0,660,3,9,20
nvbn/thefuck,CLOSED,4683.1194444444445,2,7,0,494,2,0,2
nvbn/thefuck,CLOSED,478.2725,1,1,1,359,3,1,1
nvbn/thefuck,MERGED,985.9605555555555,2,5,4,452,4,15,4
nvbn/thefuck,CLOSED,554.1744444444445,3,30,0,251,2,1,1
nvbn/thefuck,MERGED,32.658055555555556,4,9,3,31,2,0,2
nvbn/thefuck,CLOSED,7984.2461111111115,1,133,0,13,2,0,3
nvbn/thefuck,MERGED,44.965833333333336,1,1,1,27,2,0,1
nvbn/thefuck,MERGED,62.27861111111111,1,1,1,0,2,0,1
nvbn/thefuck,CLOSED,3942.231111111111,3,89,0,125,3,3,3
nvbn/thefuck,CLOSED,8767.495,8,16,15,657,4,8,1
nvbn/thefuck,MERGED,14254.803333333333,18,95,78,299,6,7,1
nvbn/thefuck,MERGED,1416.733888888889,2,3,3,508,2,1,2
nvbn/thefuck,CLOSED,5924.7461111111115,1,8,0,147,2,3,1
nvbn/thefuck,CLOSED,5925.154166666666,1,86,85,178,1,0,1
nvbn/thefuck,MERGED,1.2919444444444443,1,1,1,118,2,0,1
nvbn/thefuck,MERGED,46.975833333333334,1,1,2,124,2,0,3
nvbn/thefuck,MERGED,280.44305555555553,5,95,59,10,2,0,1
nvbn/thefuck,MERGED,42.804722222222225,1,1,1,335,2,0,1
nvbn/thefuck,MERGED,202.51583333333335,3,61,0,718,2,0,5
nvbn/thefuck,MERGED,153.10861111111112,1,1,1,119,3,2,1
nvbn/thefuck,MERGED,1120.3438888888888,2,10,5,329,2,0,1
nvbn/thefuck,MERGED,1390.2388888888888,1,13,13,0,3,2,5
nvbn/thefuck,MERGED,2502.884722222222,3,75,0,371,2,8,9
nvbn/thefuck,MERGED,30.874166666666667,1,31,0,656,2,6,4
nvbn/thefuck,MERGED,2850.2755555555555,1,6,0,196,2,1,2
nvbn/thefuck,MERGED,331.93694444444446,1,61,2,49,2,0,1
nvbn/thefuck,MERGED,882.6444444444444,3,33,0,176,2,6,3
nvbn/thefuck,MERGED,1820.4302777777777,6,29,4,424,3,9,3
nvbn/thefuck,MERGED,3469.3233333333333,2,0,0,0,3,0,1
nvbn/thefuck,MERGED,5125.364722222223,1,2,1,156,2,1,2
nvbn/thefuck,MERGED,551.1125,3,77,0,12,2,1,11
nvbn/thefuck,MERGED,4546.906944444445,1,1,1,54,2,0,2
nvbn/thefuck,MERGED,184.95138888888889,2,2,0,11,2,3,2
nvbn/thefuck,MERGED,2943.112222222222,3,42,0,37,2,3,2
nvbn/thefuck,MERGED,6544.5055555555555,2,24,8,9,2,1,3
nvbn/thefuck,MERGED,6941.029444444444,3,6,2,1518,2,0,1
nvbn/thefuck,MERGED,7449.379166666667,3,56,0,168,3,0,2
nvbn/thefuck,MERGED,2558.9719444444445,2,5,1,177,3,1,1
nvbn/thefuck,MERGED,224.005,1,3,3,281,3,1,1
nvbn/thefuck,MERGED,9006.57138888889,1,1,1,9,4,1,3
nvbn/thefuck,MERGED,762.1758333333333,3,37,0,202,3,1,3
nvbn/thefuck,MERGED,6112.52,3,23,16,237,3,11,9
nvbn/thefuck,MERGED,1246.6294444444445,3,71,0,5,3,9,3
nvbn/thefuck,MERGED,757.5263888888888,1,77,192,0,3,5,3
nvbn/thefuck,MERGED,673.9780555555556,3,187,94,0,3,2,1
nvbn/thefuck,MERGED,1584.7097222222221,2,2,2,8,4,2,13
nvbn/thefuck,MERGED,8233.305833333334,1,1,1,23,2,1,4
nvbn/thefuck,MERGED,2.2533333333333334,3,46,0,0,2,0,1
nvbn/thefuck,MERGED,15.100555555555555,2,22,9,9,2,0,1
nvbn/thefuck,MERGED,2573.617777777778,3,48,0,24,3,2,6
nvbn/thefuck,CLOSED,12199.81138888889,0,0,0,213,3,4,11
nvbn/thefuck,MERGED,7.225,2,43,2,0,3,2,1
nvbn/thefuck,CLOSED,24094.719166666666,4,12,5,21,6,17,2
nvbn/thefuck,MERGED,51.19833333333333,1,1,1,0,3,1,1
nvbn/thefuck,MERGED,792.3713888888889,2,16,10,0,2,2,2
nvbn/thefuck,MERGED,344.98027777777776,1,1,1,12,3,1,1
nvbn/thefuck,CLOSED,14076.772222222222,3,46,0,242,2,6,1
nvbn/thefuck,MERGED,58.12277777777778,1,2,2,565,3,1,1
nvbn/thefuck,MERGED,208.7538888888889,3,112,0,111,3,2,3
nvbn/thefuck,MERGED,120.28361111111111,1,3,3,46,3,2,2
nvbn/thefuck,MERGED,120.40222222222222,3,61,0,283,3,2,2
nvbn/thefuck,CLOSED,4.106388888888889,1,3,0,137,3,2,1
nvbn/thefuck,CLOSED,45.157222222222224,1,2,1,51,2,0,1
nvbn/thefuck,MERGED,72.81027777777778,2,53,7,20,4,4,2
nvbn/thefuck,MERGED,15966.624444444444,3,51,0,268,4,1,8
nvbn/thefuck,MERGED,266.18861111111113,1,2,0,226,3,3,2
nvbn/thefuck,CLOSED,926.8769444444445,3,47,0,168,2,0,1
nvbn/thefuck,MERGED,126.51055555555556,2,2,2,266,4,2,2
nvbn/thefuck,MERGED,4290.670833333334,3,38,2,49,2,0,2
nvbn/thefuck,MERGED,16609.227777777778,3,59,0,58,3,9,8
nvbn/thefuck,MERGED,470.54833333333335,2,189,7,177,2,2,1
nvbn/thefuck,MERGED,808.9736111111112,3,50,0,219,2,3,1
nvbn/thefuck,MERGED,920.2641666666667,2,16,7,131,3,2,1
nvbn/thefuck,MERGED,118.81861111111111,3,48,0,18,3,3,5
nvbn/thefuck,MERGED,314.2269444444444,3,47,0,0,3,2,2
nvbn/thefuck,MERGED,648.4486111111111,3,43,0,188,4,6,7
nvbn/thefuck,CLOSED,6524.108055555555,3,43,0,55,2,0,1
nvbn/thefuck,MERGED,47.07555555555555,3,37,0,130,4,1,1
nvbn/thefuck,MERGED,71.90138888888889,2,4,3,107,2,0,1
nvbn/thefuck,MERGED,57.84,2,4,3,108,2,0,1
nvbn/thefuck,MERGED,214.05416666666667,1,3,2,0,3,3,6
