repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
nvm-sh/nvm,CLOSED,162.3088888888889,1,1,5,0,3,0,1
nvm-sh/nvm,CLOSED,4.402222222222222,19,0,1490,6,2,1,1
nvm-sh/nvm,CLOSED,1.961111111111111,1,1,1,0,2,0,1
nvm-sh/nvm,CLOSED,106.01138888888889,2,20,9,188,2,6,1
nvm-sh/nvm,MERGED,29.067222222222224,1,427,0,2969,2,13,52
nvm-sh/nvm,MERGED,659.0308333333334,1,1,1,0,2,0,1
nvm-sh/nvm,CLOSED,11.209722222222222,2,142,1064,78,2,1,2
nvm-sh/nvm,MERGED,1.5575,1,7,7,715,4,2,5
nvm-sh/nvm,CLOSED,17.91027777777778,0,0,0,0,3,1,1
nvm-sh/nvm,CLOSED,17.9475,1,28,0,0,1,0,1
nvm-sh/nvm,CLOSED,1.4280555555555556,1,5,0,26,2,0,1
nvm-sh/nvm,MERGED,582.3758333333334,1,2,3,94,3,0,3
nvm-sh/nvm,MERGED,1618.9025,1,6,1,209,2,1,1
nvm-sh/nvm,MERGED,1782.2883333333334,2,1,5,0,3,8,2
nvm-sh/nvm,MERGED,1949.0575,2,1,5,0,2,0,6
nvm-sh/nvm,MERGED,1967.09,1,1,3,79,2,3,4
nvm-sh/nvm,MERGED,2.971388888888889,3,17,17,583,2,2,1
nvm-sh/nvm,MERGED,3.0116666666666667,1,1,1,81,2,0,1
nvm-sh/nvm,MERGED,31.106944444444444,2,33,8,711,3,3,1
nvm-sh/nvm,MERGED,24.279722222222222,4,51,16,85,2,0,1
nvm-sh/nvm,CLOSED,391.25805555555553,2,2,6,0,2,4,1
nvm-sh/nvm,CLOSED,404.80694444444447,2,2,6,0,2,2,1
nvm-sh/nvm,MERGED,22.665555555555557,2,25,4,1145,5,5,5
nvm-sh/nvm,CLOSED,197.82972222222222,1,98,34,95,2,0,1
nvm-sh/nvm,MERGED,28.406666666666666,1,11,11,455,2,3,1
nvm-sh/nvm,MERGED,846.7083333333334,5,47,9,68,4,2,6
nvm-sh/nvm,CLOSED,1828.0961111111112,1,1,0,0,2,0,1
nvm-sh/nvm,CLOSED,6487.341944444444,1,10,2,72,2,3,1
nvm-sh/nvm,CLOSED,11959.015277777778,1,2,1,282,4,14,4
nvm-sh/nvm,MERGED,24.558333333333334,8,31,26,128,2,4,1
nvm-sh/nvm,MERGED,2.8280555555555558,1,1,1,8,2,0,1
nvm-sh/nvm,MERGED,269.7913888888889,1,4,2,59,3,0,2
nvm-sh/nvm,CLOSED,48.68361111111111,1,0,2,314,2,2,1
nvm-sh/nvm,MERGED,61.32194444444445,1,2,0,35,2,0,4
nvm-sh/nvm,CLOSED,20.47111111111111,1,2,2,158,3,3,2
nvm-sh/nvm,MERGED,97.81027777777778,1,10,10,61,2,1,5
nvm-sh/nvm,CLOSED,8917.23111111111,1,42,10,692,2,0,1
nvm-sh/nvm,CLOSED,10672.757222222222,1,1,1,218,2,1,3
nvm-sh/nvm,MERGED,539.1875,1,6,6,269,2,1,1
nvm-sh/nvm,MERGED,1009.3047222222223,1,6,6,573,2,0,1
nvm-sh/nvm,MERGED,1.5538888888888889,1,14,1,369,2,1,1
nvm-sh/nvm,MERGED,14.262222222222222,1,0,0,25,2,1,1
nvm-sh/nvm,MERGED,93.95083333333334,1,1,1,65,2,0,1
nvm-sh/nvm,MERGED,772.3361111111111,3,139,3,110,3,33,3
nvm-sh/nvm,MERGED,16.775277777777777,1,0,3,3257,2,0,1
nvm-sh/nvm,MERGED,8.620277777777778,1,1,1,157,3,2,1
nvm-sh/nvm,CLOSED,4.516944444444444,1,1,1,0,2,8,1
nvm-sh/nvm,CLOSED,1.5727777777777778,1,4,0,0,2,0,1
nvm-sh/nvm,MERGED,685.9391666666667,1,3,1,932,3,3,1
nvm-sh/nvm,MERGED,1095.318611111111,2,8,1,53,2,4,2
nvm-sh/nvm,CLOSED,43.01,1,1,1,1189,3,5,1
nvm-sh/nvm,MERGED,124.2875,1,1,1,115,2,0,1
nvm-sh/nvm,CLOSED,14336.534166666666,1,44,41,71,2,0,1
nvm-sh/nvm,MERGED,165.18194444444444,1,7,1,42,2,0,2
