repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
obsproject/obs-studio,MERGED,21.035555555555554,3,10,1,1183,4,3,3
obsproject/obs-studio,MERGED,11.238333333333333,3,7,18,2321,4,1,3
obsproject/obs-studio,MERGED,36.733333333333334,1,1,1,713,3,5,4
obsproject/obs-studio,CLOSED,62.577222222222225,1,2,1,674,4,9,2
obsproject/obs-studio,MERGED,2.4505555555555554,2,4,4,613,2,0,1
obsproject/obs-studio,MERGED,17.884722222222223,3,6,4,1007,2,0,1
obsproject/obs-studio,MERGED,24.122222222222224,1,0,1,645,2,0,1
obsproject/obs-studio,MERGED,71.78944444444444,2,2,22,380,2,0,1
obsproject/obs-studio,MERGED,72.38555555555556,2,2,10,646,2,0,1
obsproject/obs-studio,MERGED,1.2519444444444445,1,26,4,844,2,0,1
obsproject/obs-studio,MERGED,94.99194444444444,7,517,64,730,3,2,2
obsproject/obs-studio,MERGED,102.54333333333334,1,4,1,1123,3,4,2
obsproject/obs-studio,MERGED,8.97,2,29,9,1029,3,0,2
obsproject/obs-studio,MERGED,50.74,405,4300,1636,595,2,0,1
obsproject/obs-studio,MERGED,408.25944444444445,1,2,2,749,3,2,1
obsproject/obs-studio,MERGED,75.12305555555555,3,9,7,1218,4,0,4
obsproject/obs-studio,MERGED,249.21277777777777,3,0,10,1294,4,0,2
obsproject/obs-studio,MERGED,191.2175,3,17,10,2363,2,0,1
obsproject/obs-studio,MERGED,20.151666666666667,4,8,134,1172,3,2,1
obsproject/obs-studio,MERGED,34.33361111111111,1,3,3,2287,4,13,2
obsproject/obs-studio,MERGED,48.27916666666667,1,6,1,698,3,0,2
obsproject/obs-studio,MERGED,52.58444444444444,4,8,4,1051,2,0,2
obsproject/obs-studio,MERGED,79.88055555555556,7,47,28,1612,3,0,4
obsproject/obs-studio,MERGED,122.33777777777777,1,4,26,907,6,2,2
obsproject/obs-studio,MERGED,125.55972222222222,1,0,1,663,2,0,1
obsproject/obs-studio,MERGED,127.64777777777778,2,10,10,625,4,4,3
obsproject/obs-studio,MERGED,81.96111111111111,1,2,2,983,3,0,2
obsproject/obs-studio,MERGED,80.4088888888889,2,9,1,626,3,6,4
