repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
ohmyzsh/ohmyzsh,MERGED,18.480555555555554,1,1,1,1864,1,0,1
ohmyzsh/ohmyzsh,MERGED,18.426111111111112,1,1,1,6153,1,0,1
ohmyzsh/ohmyzsh,MERGED,60.6375,1,7,7,788,2,1,1
ohmyzsh/ohmyzsh,MERGED,72.05,1,34,30,1160,2,0,1
ohmyzsh/ohmyzsh,MERGED,10.892222222222221,1,4,0,833,2,1,2
ohmyzsh/ohmyzsh,MERGED,20.80527777777778,1,1,1,4487,1,0,1
ohmyzsh/ohmyzsh,MERGED,20.811666666666667,1,1,1,3948,1,0,1
ohmyzsh/ohmyzsh,MERGED,2.4947222222222223,1,5,2,1617,2,1,1
ohmyzsh/ohmyzsh,MERGED,5.361111111111111,2,23,0,617,2,1,1
ohmyzsh/ohmyzsh,MERGED,135.0675,1,2,2,828,2,1,1
ohmyzsh/ohmyzsh,MERGED,188.34,1,3,0,206,2,1,1
ohmyzsh/ohmyzsh,MERGED,16.067222222222224,1,1,1,5191,2,0,2
ohmyzsh/ohmyzsh,MERGED,12.731111111111112,1,6,1,989,2,0,1
ohmyzsh/ohmyzsh,MERGED,7.573888888888889,1,2,0,647,2,6,1
ohmyzsh/ohmyzsh,MERGED,85.1,2,6,0,995,3,2,1
ohmyzsh/ohmyzsh,MERGED,12.1225,1,1,1,3163,1,0,1
ohmyzsh/ohmyzsh,MERGED,1.8252777777777778,1,24,19,643,2,0,2
ohmyzsh/ohmyzsh,MERGED,17.7125,3,4,4,6032,1,0,1
ohmyzsh/ohmyzsh,MERGED,22.564166666666665,1,3,1,864,2,3,1
ohmyzsh/ohmyzsh,MERGED,5.078333333333333,1,1,1,976,2,1,1
ohmyzsh/ohmyzsh,MERGED,142.94222222222223,2,15,1,740,3,1,2
ohmyzsh/ohmyzsh,MERGED,9.448888888888888,3,55,49,1193,2,1,1
ohmyzsh/ohmyzsh,MERGED,4.358611111111111,1,4,0,678,2,1,1
ohmyzsh/ohmyzsh,MERGED,265.2661111111111,1,13,1,774,3,1,2
ohmyzsh/ohmyzsh,MERGED,22.143055555555556,1,5,4,649,2,0,1
ohmyzsh/ohmyzsh,MERGED,1253.7858333333334,1,39,1,934,2,0,1
ohmyzsh/ohmyzsh,MERGED,3.8608333333333333,2,2,2,996,3,2,1
ohmyzsh/ohmyzsh,MERGED,2.862222222222222,2,7,0,620,3,2,1
ohmyzsh/ohmyzsh,MERGED,2.898888888888889,1,1,1,741,2,2,1
ohmyzsh/ohmyzsh,MERGED,10.430555555555555,5,5,5,646,2,1,1
ohmyzsh/ohmyzsh,MERGED,48.36083333333333,1,1,1,1202,2,0,1
ohmyzsh/ohmyzsh,MERGED,1044.1163888888889,1,12,2,828,5,4,6
ohmyzsh/ohmyzsh,MERGED,164.3538888888889,2,3,0,652,2,1,1
ohmyzsh/ohmyzsh,MERGED,8.997777777777777,3,20,16,91,1,0,1
ohmyzsh/ohmyzsh,MERGED,35.32972222222222,1,1,1,821,2,1,1
ohmyzsh/ohmyzsh,MERGED,499.195,1,9,2,1225,3,3,3
ohmyzsh/ohmyzsh,MERGED,7.335555555555556,1,16,1,714,3,1,2
ohmyzsh/ohmyzsh,MERGED,13.790833333333333,2,22,10,1076,2,1,1
ohmyzsh/ohmyzsh,MERGED,12.315277777777778,1,2,2,1948,2,2,1
ohmyzsh/ohmyzsh,CLOSED,1882.4030555555555,4,834,0,3119,4,4,1
ohmyzsh/ohmyzsh,MERGED,4.805833333333333,1,3,0,937,4,6,1
ohmyzsh/ohmyzsh,MERGED,13.510833333333334,1,3,0,1379,2,1,1
ohmyzsh/ohmyzsh,MERGED,41.17638888888889,2,122,118,745,3,2,1
ohmyzsh/ohmyzsh,MERGED,47.66555555555556,2,2,0,620,2,2,2
ohmyzsh/ohmyzsh,MERGED,13.304722222222223,1,18,8,638,2,1,1
ohmyzsh/ohmyzsh,MERGED,10.124166666666667,1,62,32,679,2,1,1
ohmyzsh/ohmyzsh,MERGED,19.33111111111111,1,99,99,812,2,1,1
ohmyzsh/ohmyzsh,MERGED,21.252222222222223,2,4,0,582,2,1,1
ohmyzsh/ohmyzsh,MERGED,28.55527777777778,2,22,19,1264,2,2,2
ohmyzsh/ohmyzsh,MERGED,86.99861111111112,1,20,3,818,2,1,4
ohmyzsh/ohmyzsh,MERGED,66.2175,1,2,2,801,2,1,1
ohmyzsh/ohmyzsh,MERGED,3.4458333333333333,1,1,1,1027,2,0,1
ohmyzsh/ohmyzsh,MERGED,19.55527777777778,1,22,1,1164,2,0,1
ohmyzsh/ohmyzsh,MERGED,2.9575,3,13,4,91,1,0,1
ohmyzsh/ohmyzsh,MERGED,8.734444444444444,2,2,0,1004,2,1,1
ohmyzsh/ohmyzsh,MERGED,14.219166666666666,1,14,14,1106,2,1,1
ohmyzsh/ohmyzsh,MERGED,456.80805555555554,1,2,2,1533,2,1,1
ohmyzsh/ohmyzsh,MERGED,23.938055555555554,1,1,1,19,2,1,1
ohmyzsh/ohmyzsh,MERGED,2.2758333333333334,3,27,3,91,1,0,1
ohmyzsh/ohmyzsh,MERGED,49.23444444444444,1,1,1,0,3,0,2
ohmyzsh/ohmyzsh,MERGED,2736.551388888889,1,18,1,2230,5,5,3
ohmyzsh/ohmyzsh,MERGED,516.2575,3,732,0,825,6,3,3
ohmyzsh/ohmyzsh,CLOSED,119.70388888888888,2,912,0,668,2,0,1
ohmyzsh/ohmyzsh,CLOSED,2181.099166666667,2,895,0,685,3,1,1
ohmyzsh/ohmyzsh,MERGED,21.328333333333333,1,3,3,826,2,2,1
ohmyzsh/ohmyzsh,MERGED,922.175,2,2,0,678,2,1,2
ohmyzsh/ohmyzsh,MERGED,322.2366666666667,1,15,6,881,2,1,1
ohmyzsh/ohmyzsh,MERGED,360.165,1,10,2,770,3,2,1
ohmyzsh/ohmyzsh,CLOSED,36.55,1,31,1,918,3,6,1
ohmyzsh/ohmyzsh,MERGED,64.08555555555556,1,1,1,774,3,3,1
ohmyzsh/ohmyzsh,MERGED,2714.655,2,10,4,2140,2,1,2
ohmyzsh/ohmyzsh,MERGED,41.99666666666667,1,1,1,681,3,0,2
ohmyzsh/ohmyzsh,MERGED,43.47694444444444,1,1,1,653,2,1,1
ohmyzsh/ohmyzsh,MERGED,49.595,1,5,1,761,2,1,1
ohmyzsh/ohmyzsh,MERGED,654.4166666666666,2,2,0,768,2,1,1
ohmyzsh/ohmyzsh,MERGED,159.00416666666666,1,24,17,710,5,2,5
ohmyzsh/ohmyzsh,MERGED,73.94277777777778,1,4,0,846,3,6,3
ohmyzsh/ohmyzsh,MERGED,22.8075,1,1,1,627,2,0,1
ohmyzsh/ohmyzsh,MERGED,190.84277777777777,1,10,0,620,2,1,1
ohmyzsh/ohmyzsh,CLOSED,2773.25,2,21,3,786,2,1,4
ohmyzsh/ohmyzsh,MERGED,11.181944444444444,1,2,2,667,2,1,2
ohmyzsh/ohmyzsh,MERGED,642.1675,1,1,1,1529,3,1,4
ohmyzsh/ohmyzsh,MERGED,745.9358333333333,2,2,0,866,3,3,1
ohmyzsh/ohmyzsh,MERGED,4576.514722222222,1,13,19,1835,2,3,4
ohmyzsh/ohmyzsh,MERGED,1499.7491666666667,1,7,6,694,3,6,1
