repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
ollama/ollama,MERGED,4.7363888888888885,2,54,3,0,2,0,1
ollama/ollama,MERGED,2.551388888888889,2,28,0,316,2,0,1
ollama/ollama,MERGED,24.829166666666666,1,4,2,339,2,0,2
ollama/ollama,MERGED,23.38111111111111,2,51,2,160,2,0,1
ollama/ollama,MERGED,31.30611111111111,3,338,1,408,2,0,1
ollama/ollama,MERGED,149.1588888888889,15,1077,333,440,2,0,1
ollama/ollama,MERGED,25.954444444444444,2,325,0,269,4,1,8
ollama/ollama,MERGED,44.79472222222222,1,1,0,60,2,0,1
ollama/ollama,MERGED,9.012777777777778,6,119,102,223,2,0,6
ollama/ollama,MERGED,94.28361111111111,5,144,96,462,3,0,3
ollama/ollama,MERGED,1.176388888888889,1,18,1,56,2,0,1
ollama/ollama,MERGED,1.1780555555555556,1,15,3,0,2,0,2
ollama/ollama,MERGED,139.6863888888889,12,124,34,122,2,0,3
ollama/ollama,MERGED,29.00861111111111,2,23,14,528,2,0,1
ollama/ollama,MERGED,3.4827777777777778,2,28,21,87,3,1,3
ollama/ollama,MERGED,46.339166666666664,2,67,52,624,2,0,3
ollama/ollama,MERGED,16.670277777777777,1,1,0,0,2,0,1
ollama/ollama,MERGED,22.385,10,74,66,249,2,0,1
ollama/ollama,MERGED,27.025,12,949,101,1607,6,0,20
ollama/ollama,MERGED,70.33222222222223,8,192,23,217,3,1,1
ollama/ollama,MERGED,14.866111111111111,1,9,1,134,2,0,1
ollama/ollama,MERGED,18.126944444444444,6,104,19,31,2,0,1
ollama/ollama,MERGED,165.52388888888888,9,173,39,72,2,0,1
ollama/ollama,MERGED,21.842222222222222,16,59,50,0,3,0,2
ollama/ollama,MERGED,70.18416666666667,1,3,0,37,3,1,1
ollama/ollama,MERGED,69.99361111111111,4,4,20,105,2,0,1
ollama/ollama,MERGED,96.26527777777778,1,12,2,286,2,0,3
ollama/ollama,MERGED,266.05027777777775,3,102,42,403,3,0,2
ollama/ollama,MERGED,1.5852777777777778,2,4,4,135,2,0,1
ollama/ollama,MERGED,15.619722222222222,1,1,1,316,2,0,1
ollama/ollama,MERGED,9.491944444444444,1,2,4,116,2,0,1
ollama/ollama,MERGED,134.41027777777776,15,2012,57,1842,2,1,2
ollama/ollama,MERGED,18.988333333333333,2,25,2,214,2,0,1
ollama/ollama,MERGED,21.805,4,16,9,105,3,0,8
ollama/ollama,MERGED,24.441388888888888,1,5,1,210,2,0,1
ollama/ollama,MERGED,22.06861111111111,6,173,77,152,3,1,5
ollama/ollama,MERGED,2.4588888888888887,1,96,0,36,2,0,1
ollama/ollama,MERGED,29.641944444444444,3,13,5,148,2,0,1
ollama/ollama,MERGED,30.795555555555556,1,1,0,247,2,0,3
ollama/ollama,MERGED,2.352777777777778,3,5,3,255,2,0,1
ollama/ollama,MERGED,1.7955555555555556,1,3,0,73,2,0,1
ollama/ollama,MERGED,96.80333333333333,1,1,0,260,2,0,1
ollama/ollama,MERGED,94.72638888888889,1,121,14,1780,3,5,3
ollama/ollama,MERGED,262.9891666666667,14,27,37,82,2,1,5
ollama/ollama,MERGED,48.795833333333334,1,3,2,688,3,1,1
ollama/ollama,MERGED,228.5963888888889,1,17,16,508,5,18,11
ollama/ollama,MERGED,160.55777777777777,3,55,30,103,2,1,2
ollama/ollama,MERGED,1.643888888888889,1,5,1,272,2,0,1
ollama/ollama,CLOSED,54.99722222222222,1,5,2,0,2,0,1
ollama/ollama,MERGED,11.025277777777777,1,1,0,72,2,0,1
ollama/ollama,MERGED,37.43277777777778,1,1,1,32,2,0,1
ollama/ollama,MERGED,88.70861111111111,2,34,2,492,2,0,1
ollama/ollama,MERGED,120.02805555555555,7,22,18,109,2,0,1
ollama/ollama,MERGED,27.601111111111113,8,65,70,366,3,2,2
ollama/ollama,MERGED,1.2466666666666666,7,171,2,498,3,0,2
ollama/ollama,MERGED,388.9175,6,369,337,157,4,5,28
ollama/ollama,MERGED,116.20166666666667,3,9,4,40,2,3,2
ollama/ollama,MERGED,1.2727777777777778,2,184,4,12,2,0,2
ollama/ollama,MERGED,2.747777777777778,3,67,37,39,2,0,1
ollama/ollama,MERGED,9.363333333333333,2,2,2,33,3,0,1
ollama/ollama,MERGED,13.121666666666666,2,234,0,0,2,0,1
ollama/ollama,MERGED,14.899444444444445,2,12,1,316,3,1,1
ollama/ollama,MERGED,122.33916666666667,6,49,58,0,2,0,1
ollama/ollama,MERGED,1.3225,3,32,32,286,3,1,1
ollama/ollama,MERGED,122.30944444444444,3,29,25,298,3,1,2
ollama/ollama,MERGED,499.05805555555554,8,146,25,1232,4,8,2
ollama/ollama,MERGED,142.65222222222224,3,25,5,58,2,4,3
ollama/ollama,MERGED,4.544722222222222,2,31,1,228,3,1,2
ollama/ollama,MERGED,1.0752777777777778,3,29,20,450,2,0,1
ollama/ollama,MERGED,9.830833333333333,1,1,0,310,2,0,1
ollama/ollama,MERGED,12.614722222222222,1,1,0,114,2,0,2
ollama/ollama,MERGED,13.627222222222223,1,1,0,419,2,0,1
ollama/ollama,MERGED,16.148611111111112,1,1,0,930,2,0,1
ollama/ollama,MERGED,14.33611111111111,1,1,1,61,2,0,1
ollama/ollama,MERGED,92.99638888888889,3,193,18,775,2,0,1
ollama/ollama,MERGED,21.851666666666667,1,2,0,101,2,0,1
ollama/ollama,MERGED,144.79194444444445,1,66,34,83,2,0,1
ollama/ollama,MERGED,24.502222222222223,4,167,228,604,2,0,1
ollama/ollama,MERGED,3.795,2,8,4,103,2,0,1
ollama/ollama,CLOSED,261.1975,1,4,0,0,1,1,1
ollama/ollama,MERGED,8.4475,4,4,4,46,2,0,1
ollama/ollama,MERGED,141.37083333333334,3,460,0,31,2,0,1
ollama/ollama,MERGED,25.102777777777778,1,32,12,0,2,0,1
ollama/ollama,MERGED,430.01972222222224,20,589,233,340,3,0,17
ollama/ollama,MERGED,141.33277777777778,243,156798,48333,240,7,3,6
ollama/ollama,MERGED,2.846388888888889,8,211,45,173,2,0,1
ollama/ollama,MERGED,77.16055555555556,1,1,0,0,2,0,1
ollama/ollama,CLOSED,67.78194444444445,1,4,4,532,2,1,2
ollama/ollama,MERGED,49.17944444444444,1,9,2,58,3,0,2
ollama/ollama,MERGED,1.7872222222222223,56,6689,347,51,8,6,1
ollama/ollama,MERGED,293.57972222222224,1,3,3,847,2,0,1
ollama/ollama,MERGED,312.1647222222222,3,7,11,358,2,0,1
ollama/ollama,MERGED,123.11638888888889,1,2,1,272,2,0,1
ollama/ollama,MERGED,1.9111111111111112,2,196,42,679,2,0,1
ollama/ollama,MERGED,7.7908333333333335,1,1,1,82,2,0,1
ollama/ollama,MERGED,22.983888888888888,1,17,4,362,3,1,2
ollama/ollama,MERGED,12.380555555555556,4,8,8,619,2,0,1
ollama/ollama,MERGED,24.7175,1,1,0,209,2,0,1
ollama/ollama,MERGED,4.841666666666667,1,1,1,72,2,0,2
ollama/ollama,MERGED,101.75361111111111,5,67,10,782,2,0,1
ollama/ollama,MERGED,7.410833333333334,2,78,244,315,3,2,2
ollama/ollama,MERGED,530.5741666666667,2,258,13,152,2,0,1
ollama/ollama,MERGED,9.688333333333333,1,2,14,137,3,1,1
ollama/ollama,MERGED,1.1133333333333333,2,17,11,181,3,0,2
ollama/ollama,MERGED,122.95388888888888,1,1,1,0,2,0,1
ollama/ollama,MERGED,79.75361111111111,1,1,0,123,2,0,1
ollama/ollama,MERGED,86.91805555555555,2,310,17,165,2,0,1
ollama/ollama,MERGED,61.81611111111111,1,1,1,0,2,0,1
ollama/ollama,MERGED,22.604444444444443,1,2,1,57,2,0,1
ollama/ollama,MERGED,29.52888888888889,1,1,1,53,3,0,2
ollama/ollama,MERGED,42.0,1,1,1,68,2,0,1
ollama/ollama,MERGED,36.639722222222225,1,2,2,0,3,0,2
ollama/ollama,MERGED,39.60166666666667,2,14,4,177,2,0,1
ollama/ollama,MERGED,65.90777777777778,1,1,1,13,3,0,1
ollama/ollama,CLOSED,2.5933333333333333,1,87,0,45,2,1,1
ollama/ollama,MERGED,1.5722222222222222,1,1,1,134,2,0,1
ollama/ollama,MERGED,142.95833333333334,1,1,1,51,2,0,1
ollama/ollama,MERGED,27.515,4,261,0,184,3,0,6
ollama/ollama,MERGED,20.19527777777778,6,45,33,567,2,0,1
ollama/ollama,MERGED,73.2475,1,11,9,244,2,0,1
ollama/ollama,MERGED,1.2208333333333334,3,4,6,390,3,0,2
ollama/ollama,MERGED,1.205,1,2,0,12,2,0,1
