repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
open-webui/open-webui,MERGED,5.518611111111111,156,6069,3148,0,13,0,1
open-webui/open-webui,MERGED,4.384722222222222,1,18,18,2867,4,1,3
open-webui/open-webui,CLOSED,45.24583333333333,68,1797,756,0,11,1,2
open-webui/open-webui,CLOSED,5.690277777777778,3,121,33,3391,2,1,2
open-webui/open-webui,MERGED,1.8602777777777777,3,112,32,3615,2,2,2
open-webui/open-webui,MERGED,13.890555555555556,4,449,315,1524,2,5,4
open-webui/open-webui,MERGED,20.272777777777776,4,314,5,2768,2,5,2
open-webui/open-webui,MERGED,18.290277777777778,5,6,6,2604,2,1,5
open-webui/open-webui,MERGED,3.3225,167,7550,2554,0,14,3,1
open-webui/open-webui,MERGED,11.37111111111111,2,16,10,615,2,1,2
open-webui/open-webui,MERGED,343.1563888888889,1,86,53,2822,2,3,5
