repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
openai/openai-cookbook,MERGED,9.125277777777777,3,16,40,57,2,0,1
openai/openai-cookbook,MERGED,7.3372222222222225,3,9,5,61,2,0,1
openai/openai-cookbook,MERGED,1.5755555555555556,9,10,8,1494,2,0,1
openai/openai-cookbook,MERGED,71.06166666666667,8,717,1,1443,2,0,1
openai/openai-cookbook,MERGED,50.048611111111114,1,692,587,166,2,0,1
openai/openai-cookbook,MERGED,38.87111111111111,9,268,0,1957,2,0,4
openai/openai-cookbook,CLOSED,197.95166666666665,164,75,17,2750,2,0,1
openai/openai-cookbook,CLOSED,201.3488888888889,2,647,271,1930,1,0,1
openai/openai-cookbook,MERGED,1.4691666666666667,2,4,4,58,2,1,1
openai/openai-cookbook,CLOSED,245.13611111111112,178,1503,1608,2754,3,1,2
openai/openai-cookbook,MERGED,2.1819444444444445,2,22,52,39,2,0,1
openai/openai-cookbook,CLOSED,141.03805555555556,0,0,0,1307,1,0,1
openai/openai-cookbook,CLOSED,19.46472222222222,163,102,0,2534,1,0,1
openai/openai-cookbook,CLOSED,410.095,4,225,0,2815,2,0,2
openai/openai-cookbook,MERGED,52.035,6,1426,0,2429,3,3,1
openai/openai-cookbook,MERGED,1.5833333333333333,1,257,42,155,2,0,1
openai/openai-cookbook,CLOSED,70.32861111111112,8,673,168,1406,2,0,2
openai/openai-cookbook,MERGED,23.841944444444444,2,15,0,1470,3,0,3
openai/openai-cookbook,MERGED,24.18138888888889,3,613,0,1441,3,2,5
openai/openai-cookbook,MERGED,17.171666666666667,1,64,22,1466,2,0,1
openai/openai-cookbook,MERGED,4.816666666666666,1,1,1,1491,2,0,1
openai/openai-cookbook,CLOSED,360.9222222222222,4,53,168,2978,2,0,1
openai/openai-cookbook,MERGED,58.02861111111111,1,9,9,95,2,0,1
openai/openai-cookbook,CLOSED,150.9275,2,36,168,2548,1,0,2
openai/openai-cookbook,CLOSED,150.94083333333333,1,8,0,1406,1,0,1
openai/openai-cookbook,CLOSED,10.522222222222222,2,1,169,1746,1,0,1
openai/openai-cookbook,MERGED,17.02611111111111,1,1,1,1406,3,1,1
openai/openai-cookbook,MERGED,8.041944444444445,3,525,0,1534,3,1,10
openai/openai-cookbook,CLOSED,71.23833333333333,1,1,1,1743,1,0,1
openai/openai-cookbook,MERGED,17.950555555555557,2,3,7,430,2,0,1
openai/openai-cookbook,MERGED,149.99833333333333,1,7,7,838,2,1,1
openai/openai-cookbook,MERGED,2.6494444444444443,2,653,67,388,2,0,1
openai/openai-cookbook,MERGED,168.3552777777778,1,1,1,1406,2,0,1
openai/openai-cookbook,MERGED,7.8405555555555555,1,4,9,1556,2,1,1
openai/openai-cookbook,MERGED,1.6827777777777777,1,5,5,1406,2,0,2
openai/openai-cookbook,MERGED,8.522222222222222,1,3,1,1379,2,0,1
openai/openai-cookbook,MERGED,121.90722222222222,1,68,4524,214,2,1,1
openai/openai-cookbook,MERGED,15.512777777777778,1,0,1,69,2,0,1
openai/openai-cookbook,MERGED,17.477777777777778,4,213,1,1548,2,1,1
openai/openai-cookbook,MERGED,38.66277777777778,1,1,1,1406,2,0,1
openai/openai-cookbook,MERGED,9.614166666666666,1,4,5,1354,2,0,1
openai/openai-cookbook,MERGED,6.738888888888889,1,1,1,1365,2,0,1
openai/openai-cookbook,MERGED,9.0125,1,5,1,1475,2,0,1
openai/openai-cookbook,MERGED,9.439166666666667,1,1,1,266,2,0,1
openai/openai-cookbook,MERGED,4.530277777777778,1,1,1,352,3,0,1
openai/openai-cookbook,MERGED,11.315833333333334,1,1,1,99,2,0,1
