repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
openai/whisper,CLOSED,2437.382222222222,1,8,0,0,3,0,1
openai/whisper,MERGED,3084.5602777777776,1,5,1,244,5,8,1
openai/whisper,MERGED,5215.696388888889,1,2,1,383,5,4,1
openai/whisper,CLOSED,1678.4222222222222,0,0,0,21,1,3,1
openai/whisper,MERGED,12.64861111111111,1,1,1,0,4,1,1
openai/whisper,CLOSED,3270.6858333333334,1,87,120,239,0,0,1
openai/whisper,MERGED,664.7519444444445,1,1,1,39,3,1,1
openai/whisper,MERGED,3.8536111111111113,1,1,1,136,3,1,1
openai/whisper,CLOSED,691.3630555555555,0,0,0,1343,4,2,9
openai/whisper,CLOSED,1148.4122222222222,4,109,34,0,6,0,1
openai/whisper,MERGED,214.34194444444444,1,7,2,0,3,5,2
openai/whisper,MERGED,1528.6169444444445,4,60,5,394,3,0,1
openai/whisper,MERGED,1544.2975,1,1,1,0,3,0,2
openai/whisper,MERGED,153.2136111111111,1,9,6,207,3,0,7
openai/whisper,MERGED,3270.0175,1,1,1,897,4,1,1
openai/whisper,MERGED,434.3519444444444,3,20,13,405,5,9,2
openai/whisper,MERGED,372.83194444444445,1,7,0,97,2,2,4
openai/whisper,CLOSED,508.3519444444444,1,1,8,102,3,1,1
openai/whisper,MERGED,74.61416666666666,1,3,0,187,3,2,1
openai/whisper,MERGED,143.15194444444444,15,100601,100096,291,4,1,6
openai/whisper,CLOSED,20205.686944444446,1,12,1,258,7,12,1
openai/whisper,MERGED,14.565555555555555,1,7,1,4,4,1,3
openai/whisper,MERGED,896.0969444444445,1,5,5,60,3,0,1
openai/whisper,MERGED,1081.4852777777778,14,769,78,0,15,15,25
openai/whisper,CLOSED,898.6211111111111,1,4,1,916,3,2,1
openai/whisper,CLOSED,728.4802777777778,1,37,0,688,5,4,2
openai/whisper,MERGED,1076.6730555555555,1,1,1,364,2,2,1
openai/whisper,CLOSED,27.675833333333333,1,399,0,340,3,4,1
openai/whisper,MERGED,2674.6908333333336,2,22,1,710,4,8,2
openai/whisper,MERGED,50.056111111111115,1,2,2,260,3,0,1
