repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
opencv/opencv,MERGED,29.755555555555556,2,11,10,793,2,0,1
opencv/opencv,MERGED,4.427777777777778,11,64,534,736,2,0,1
opencv/opencv,MERGED,11.821944444444444,4,14,14,763,2,1,1
opencv/opencv,MERGED,68.225,2,3,3,675,2,1,1
opencv/opencv,MERGED,2.807777777777778,1,2,2,689,2,0,1
opencv/opencv,MERGED,38.781666666666666,3,24,27,1403,2,0,1
opencv/opencv,MERGED,19.05611111111111,1,3,1,695,3,0,2
opencv/opencv,MERGED,51.11083333333333,3,280,797,701,2,2,1
opencv/opencv,MERGED,21.58861111111111,1,25,13,1025,2,1,1
opencv/opencv,CLOSED,68.21861111111112,2,88,3,1802,3,6,2
opencv/opencv,MERGED,33.57527777777778,2,7,2,972,3,0,2
opencv/opencv,CLOSED,68.94222222222223,2,123,1,1976,3,2,1
opencv/opencv,MERGED,6.305,2,10,0,719,2,0,1
opencv/opencv,MERGED,96.22972222222222,4,2835,305,700,3,2,3
opencv/opencv,MERGED,1.8611111111111112,4,6,8,664,2,2,1
opencv/opencv,MERGED,289.01916666666665,3,427,1,821,5,6,6
opencv/opencv,MERGED,31.3225,2,68,4,664,2,0,7
opencv/opencv,MERGED,7.546666666666667,1,23,14,1245,2,0,1
opencv/opencv,MERGED,6.842222222222222,1,1,1,677,2,0,1
opencv/opencv,MERGED,46.59861111111111,3,21,1,677,2,1,1
opencv/opencv,MERGED,22.563055555555554,3,3,20,784,3,0,2
opencv/opencv,MERGED,7.482222222222222,11,95,19,690,3,5,3
opencv/opencv,MERGED,56.804722222222225,40,2555,797,677,2,2,1
opencv/opencv,MERGED,77.3386111111111,3,147,14,775,2,3,1
opencv/opencv,MERGED,14.205,1,15,6,664,2,1,1
opencv/opencv,MERGED,19.708333333333332,2,11,6,747,2,0,2
opencv/opencv,CLOSED,187.70527777777778,3,57,0,744,3,9,1
opencv/opencv,MERGED,121.53277777777778,2,963,466,896,2,10,3
opencv/opencv,MERGED,46.62277777777778,2,26,5,664,2,0,2
opencv/opencv,MERGED,6.803333333333334,3,31,21,664,2,0,1
opencv/opencv,MERGED,15.945833333333333,1,3,2,873,2,0,1
opencv/opencv,MERGED,74.76027777777777,2,42,4,677,2,0,1
opencv/opencv,MERGED,435.35777777777776,3,139,2,918,3,6,6
opencv/opencv,MERGED,156.15166666666667,1,45,0,703,2,1,1
opencv/opencv,MERGED,308.43305555555554,7,144,24,727,2,2,4
opencv/opencv,MERGED,9.971944444444444,1,1,1,714,2,0,1
opencv/opencv,MERGED,175.44833333333332,1,20,2,608,3,5,1
opencv/opencv,MERGED,8.181944444444444,2,6,6,984,2,4,1
opencv/opencv,MERGED,2.773888888888889,1,6,2,970,2,0,1
opencv/opencv,MERGED,131.71055555555554,2,7,0,868,3,0,1
opencv/opencv,MERGED,4.2625,4,60,25,804,2,1,1
opencv/opencv,MERGED,4.681388888888889,4,38,9,6239,2,0,1
opencv/opencv,MERGED,6.067777777777778,61,990,673,1042,10,0,1
opencv/opencv,MERGED,1.0619444444444444,1,4,3,1252,2,0,1
opencv/opencv,MERGED,11.740555555555556,2,33,33,338,2,0,1
opencv/opencv,MERGED,3.028888888888889,1,2,0,664,2,0,1
opencv/opencv,MERGED,5.917777777777777,3,0,9,664,2,0,1
opencv/opencv,MERGED,1.2183333333333333,1,1,1,1003,2,1,1
opencv/opencv,MERGED,3.4138888888888888,2,4,4,678,2,1,1
opencv/opencv,MERGED,183.95555555555555,52,522,625,3598,2,4,4
opencv/opencv,CLOSED,18.5,1,2,1,677,3,2,2
opencv/opencv,MERGED,45.529444444444444,1,63,8,1517,2,5,2
opencv/opencv,MERGED,140.21805555555557,1,114,105,677,4,4,1
opencv/opencv,MERGED,579.4936111111111,4,481,0,1562,4,7,41
opencv/opencv,MERGED,83.71388888888889,1,4,1,698,4,1,1
opencv/opencv,MERGED,85.79305555555555,1,1,1,664,2,0,1
