repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
ossu/computer-science,MERGED,12.54111111111111,1,1,2,97,3,0,1
ossu/computer-science,MERGED,493.03305555555556,1,16,11,292,3,0,1
ossu/computer-science,MERGED,4.640833333333333,1,19,12,172,3,0,2
ossu/computer-science,CLOSED,125.93194444444444,1,1,1,10,4,2,1
ossu/computer-science,MERGED,23.541944444444443,3,18,39,212,2,0,1
ossu/computer-science,MERGED,82.31555555555556,1,2,2,320,3,0,1
ossu/computer-science,MERGED,34.86972222222222,1,8,21,1284,2,1,1
ossu/computer-science,MERGED,3.8497222222222223,1,1,1,223,3,0,2
ossu/computer-science,CLOSED,13.701666666666666,2,5,0,0,3,0,1
ossu/computer-science,MERGED,1503.8227777777777,1,1,0,350,4,1,1
ossu/computer-science,MERGED,497.1036111111111,1,1,1,14,3,1,1
ossu/computer-science,MERGED,34.916111111111114,1,6,6,46,3,0,1
ossu/computer-science,MERGED,1678.1544444444444,1,7,0,173,6,4,1
ossu/computer-science,MERGED,1067.6663888888888,1,2,0,185,4,5,1
ossu/computer-science,MERGED,1850.0547222222222,1,1,1,92,5,6,1
ossu/computer-science,CLOSED,641.8994444444445,1,1,0,76,3,1,1
ossu/computer-science,MERGED,61.44777777777778,1,1,1,69,4,1,2
ossu/computer-science,CLOSED,513.7305555555556,1,1,0,204,4,6,2
ossu/computer-science,CLOSED,7661.668333333333,1,1,1,85,4,2,1
ossu/computer-science,MERGED,12.568333333333333,1,4,4,25,2,0,2
ossu/computer-science,MERGED,6.221388888888889,1,1,1,0,2,0,1
ossu/computer-science,CLOSED,341.6788888888889,2,24,1,237,2,0,1
ossu/computer-science,MERGED,74.30222222222223,1,4,4,61,4,4,3
ossu/computer-science,CLOSED,6115.543333333333,1,11,0,69,5,7,1
ossu/computer-science,MERGED,57.22666666666667,1,3,2,62,2,4,2
ossu/computer-science,MERGED,1.5791666666666666,1,4,4,0,2,2,1
ossu/computer-science,CLOSED,215.80444444444444,2,8,0,37,2,0,1
ossu/computer-science,CLOSED,6.9725,3,11,0,178,3,1,16
ossu/computer-science,CLOSED,238.12722222222223,1,3,0,86,3,1,1
