repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
oven-sh/bun,MERGED,6.293333333333333,4,173,22,1176,3,2,7
oven-sh/bun,MERGED,12.104166666666666,11,126,142,364,3,2,3
oven-sh/bun,MERGED,7.960277777777778,4,160,37,1827,3,3,2
oven-sh/bun,MERGED,12.526111111111112,4,58,9,4424,2,2,1
oven-sh/bun,MERGED,4.098333333333334,2,88,2,707,2,2,1
oven-sh/bun,CLOSED,2.0105555555555554,1,2,2,1314,3,3,1
oven-sh/bun,MERGED,1.7519444444444445,1,13,6,726,2,2,1
oven-sh/bun,MERGED,1.5788888888888888,14,236,358,352,2,4,10
oven-sh/bun,CLOSED,20.209722222222222,6,54,45,39,3,3,1
oven-sh/bun,MERGED,7.235,15,596,252,165,3,1,1
oven-sh/bun,MERGED,15.206388888888888,20,981,533,160,3,2,5
oven-sh/bun,MERGED,20.615833333333335,13,115,296,336,2,2,1
oven-sh/bun,MERGED,11.067222222222222,2,39,2,1254,3,3,4
oven-sh/bun,MERGED,13.143611111111111,3,45,14,119,4,2,2
oven-sh/bun,MERGED,1.0777777777777777,7,532,50,520,3,2,1
oven-sh/bun,CLOSED,4.903611111111111,2,19,3,351,2,2,1
oven-sh/bun,MERGED,2.5597222222222222,8,328,69,57,2,2,2
oven-sh/bun,MERGED,1.8619444444444444,2,32,0,211,3,2,1
oven-sh/bun,MERGED,19.691944444444445,4,277,0,892,3,2,4
oven-sh/bun,CLOSED,39.79805555555556,1,256,52,351,2,2,5
oven-sh/bun,MERGED,1.6541666666666666,2,1,50,63,3,2,1
oven-sh/bun,MERGED,1.0883333333333334,2,169,66,168,2,2,1
oven-sh/bun,MERGED,13.22888888888889,7,8439,246,423,3,2,3
oven-sh/bun,CLOSED,73.33222222222223,20,582,253,2526,3,5,13
oven-sh/bun,MERGED,51.022777777777776,2,169,0,174,3,2,6
oven-sh/bun,MERGED,15.910833333333333,3,53,16,133,3,2,4
oven-sh/bun,MERGED,62.49388888888889,4,28,16,1180,3,2,2
oven-sh/bun,MERGED,1.0697222222222222,3,291,0,873,2,2,3
oven-sh/bun,MERGED,53.614444444444445,2,58,32,57,2,2,1
oven-sh/bun,MERGED,3.9858333333333333,5,25,28,237,3,2,4
oven-sh/bun,MERGED,4.108333333333333,17,129,80,410,3,4,1
oven-sh/bun,MERGED,8.277222222222223,5,465,387,696,3,3,1
oven-sh/bun,MERGED,10.917777777777777,5,148,2,582,3,2,1
