repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
papers-we-love/papers-we-love,MERGED,3.6461111111111113,2,2,0,378,3,0,2
papers-we-love/papers-we-love,MERGED,3.477777777777778,1,1,1,14,2,1,1
papers-we-love/papers-we-love,MERGED,5.404444444444445,1,1,1,52,2,1,1
papers-we-love/papers-we-love,MERGED,15.288611111111111,1,1,0,57,2,0,1
papers-we-love/papers-we-love,MERGED,3416.282222222222,1,3,1,158,4,3,4
papers-we-love/papers-we-love,CLOSED,12841.299722222222,1,4,0,471,14,10,5
papers-we-love/papers-we-love,MERGED,16.761111111111113,1,1,0,329,2,0,1
papers-we-love/papers-we-love,MERGED,9.4425,1,9,0,492,3,0,1
papers-we-love/papers-we-love,MERGED,9.81638888888889,1,8,0,479,2,0,1
papers-we-love/papers-we-love,MERGED,2.4877777777777776,2,2,0,183,2,0,1
papers-we-love/papers-we-love,MERGED,2.375277777777778,1,1,1,196,2,0,1
papers-we-love/papers-we-love,MERGED,2.0408333333333335,7,7,7,432,2,1,1
papers-we-love/papers-we-love,MERGED,4.602222222222222,1,1,1,175,2,0,1
papers-we-love/papers-we-love,MERGED,24.95611111111111,1,1,1,371,2,0,1
papers-we-love/papers-we-love,MERGED,17.70277777777778,2,8,45,0,2,0,1
papers-we-love/papers-we-love,MERGED,6.033611111111111,1,1,0,196,2,1,1
papers-we-love/papers-we-love,MERGED,454.0338888888889,1,1,1,248,2,0,1
papers-we-love/papers-we-love,MERGED,1.4027777777777777,13,30,32,141,2,1,1
papers-we-love/papers-we-love,MERGED,10.822777777777778,1,1,1,161,2,0,1
papers-we-love/papers-we-love,MERGED,12.057777777777778,1,1,1,31,2,0,1
papers-we-love/papers-we-love,MERGED,39.88444444444445,1,3,0,382,3,5,2
papers-we-love/papers-we-love,MERGED,8.057222222222222,1,2,2,129,3,1,1
papers-we-love/papers-we-love,MERGED,4849.336388888889,9,19,1,999,4,10,1
papers-we-love/papers-we-love,MERGED,42.41111111111111,1,72,3,1766,3,4,1
papers-we-love/papers-we-love,MERGED,5.3677777777777775,1,16,0,1328,2,2,1
papers-we-love/papers-we-love,MERGED,16.555555555555557,1,7,0,373,3,0,2
papers-we-love/papers-we-love,MERGED,8681.583333333334,19,25,0,200,5,7,3
papers-we-love/papers-we-love,MERGED,2.9966666666666666,1,1,0,434,4,0,1
