repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
practical-tutorials/project-based-learning,CLOSED,5690.794722222222,1,1,0,913,2,2,1
practical-tutorials/project-based-learning,CLOSED,7508.775277777778,1,2,0,901,2,0,1
practical-tutorials/project-based-learning,MERGED,1356.8827777777778,1,18,1,707,3,2,1
practical-tutorials/project-based-learning,CLOSED,1720.36,1,1,0,1658,3,1,1
practical-tutorials/project-based-learning,CLOSED,5202.192777777777,1,14,0,954,3,4,1
practical-tutorials/project-based-learning,MERGED,8.677777777777777,1,17,0,119,2,0,1
practical-tutorials/project-based-learning,MERGED,24.400555555555556,1,9,1,70,2,0,1
practical-tutorials/project-based-learning,MERGED,88.72333333333333,1,1,1,661,2,0,1
practical-tutorials/project-based-learning,CLOSED,3931.9822222222224,1,4,0,591,3,1,1
practical-tutorials/project-based-learning,MERGED,308.55916666666667,1,5,0,625,2,0,1
practical-tutorials/project-based-learning,MERGED,599.6472222222222,1,5,0,0,2,0,1
practical-tutorials/project-based-learning,MERGED,511.4947222222222,1,1,0,60,2,0,1
practical-tutorials/project-based-learning,MERGED,2603.279722222222,1,7,7,92,3,0,1
practical-tutorials/project-based-learning,CLOSED,6558.545277777778,1,1,0,458,3,1,1
practical-tutorials/project-based-learning,MERGED,7876.823333333334,1,0,1,54,3,1,1
practical-tutorials/project-based-learning,CLOSED,8647.316111111111,1,1,0,569,3,1,1
practical-tutorials/project-based-learning,MERGED,454.7475,1,1,1,780,2,0,1
practical-tutorials/project-based-learning,CLOSED,10259.715555555556,1,21,0,507,3,3,1
practical-tutorials/project-based-learning,MERGED,913.2833333333333,1,1,0,458,2,1,3
practical-tutorials/project-based-learning,MERGED,11248.124166666666,1,8,0,489,3,0,1
practical-tutorials/project-based-learning,MERGED,996.0683333333334,1,1,1,488,2,1,1
practical-tutorials/project-based-learning,MERGED,2130.8033333333333,1,1,0,474,2,0,1
practical-tutorials/project-based-learning,MERGED,177.09527777777777,1,2,0,458,2,1,1
practical-tutorials/project-based-learning,MERGED,546.5755555555555,1,1,0,783,2,2,1
practical-tutorials/project-based-learning,MERGED,1330.6725,1,5,0,582,1,0,1
practical-tutorials/project-based-learning,MERGED,1928.6027777777779,1,6,0,659,3,1,2
practical-tutorials/project-based-learning,CLOSED,9000.073888888888,1,2,0,637,2,0,1
practical-tutorials/project-based-learning,MERGED,6665.727777777778,1,1,0,103,2,0,1
practical-tutorials/project-based-learning,CLOSED,16066.257222222222,1,1,0,565,5,4,2
practical-tutorials/project-based-learning,CLOSED,16094.121388888889,1,21,0,127,3,1,1
practical-tutorials/project-based-learning,MERGED,18.139166666666668,1,9,0,703,2,0,1
practical-tutorials/project-based-learning,CLOSED,16395.970833333333,1,1,0,573,3,1,1
practical-tutorials/project-based-learning,MERGED,37.53777777777778,1,1,0,182,2,0,1
practical-tutorials/project-based-learning,MERGED,45.22805555555556,1,3,1,855,3,0,1
practical-tutorials/project-based-learning,MERGED,190.73222222222222,1,5,0,596,2,0,1
practical-tutorials/project-based-learning,MERGED,3503.087777777778,1,1,0,458,2,0,1
practical-tutorials/project-based-learning,CLOSED,16967.105,1,4,0,458,3,1,1
practical-tutorials/project-based-learning,MERGED,24652.977777777778,1,1,1,643,2,0,1
practical-tutorials/project-based-learning,MERGED,60.039722222222224,1,1,0,78,2,0,1
practical-tutorials/project-based-learning,MERGED,77.2761111111111,1,1,0,263,2,0,1
practical-tutorials/project-based-learning,MERGED,68.24277777777777,1,1,0,76,2,0,1
practical-tutorials/project-based-learning,MERGED,239.12944444444443,1,5,0,27,2,0,1
practical-tutorials/project-based-learning,MERGED,144.35611111111112,1,11,0,0,2,0,1
practical-tutorials/project-based-learning,MERGED,126.0736111111111,1,5,1,0,2,1,1
practical-tutorials/project-based-learning,MERGED,143.82833333333335,1,1,0,0,1,0,1
practical-tutorials/project-based-learning,MERGED,58.05777777777778,1,1,0,94,2,0,1
practical-tutorials/project-based-learning,MERGED,5.1722222222222225,1,1,0,57,2,0,1
practical-tutorials/project-based-learning,MERGED,63.44555555555556,1,5,0,0,2,1,1
practical-tutorials/project-based-learning,MERGED,36.29555555555555,1,6,0,0,2,1,1
practical-tutorials/project-based-learning,MERGED,869.5838888888889,1,17,6,201,2,2,1
practical-tutorials/project-based-learning,MERGED,28.89527777777778,1,6,0,0,2,0,1
practical-tutorials/project-based-learning,MERGED,28.754444444444445,1,6,0,0,2,0,1
practical-tutorials/project-based-learning,MERGED,59.13111111111111,1,10,0,0,2,1,1
practical-tutorials/project-based-learning,MERGED,5.989444444444445,1,1,0,0,2,0,1
practical-tutorials/project-based-learning,MERGED,8.723333333333333,1,3,0,0,2,0,1
practical-tutorials/project-based-learning,MERGED,170.9572222222222,1,2,1,175,2,0,1
practical-tutorials/project-based-learning,MERGED,22.115,1,4,0,104,1,0,1
practical-tutorials/project-based-learning,MERGED,11.449722222222222,1,1,0,0,1,0,1
practical-tutorials/project-based-learning,MERGED,15.076944444444445,1,1,0,0,2,0,1
practical-tutorials/project-based-learning,MERGED,3.801388888888889,1,1,0,0,2,0,1
practical-tutorials/project-based-learning,MERGED,10.192777777777778,1,4,0,0,2,0,1
