repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
public-apis/public-apis,CLOSED,38.72611111111111,1,1,0,514,2,0,1
public-apis/public-apis,CLOSED,1208.5877777777778,1,1,1,514,2,0,1
public-apis/public-apis,CLOSED,287.0002777777778,1,2,1,514,2,0,1
public-apis/public-apis,CLOSED,1060.671388888889,1,2,2,301,2,0,1
public-apis/public-apis,CLOSED,791.8958333333334,1,1,1,633,2,0,1
public-apis/public-apis,CLOSED,4995.998888888889,1,0,1,26,2,0,1
public-apis/public-apis,CLOSED,1463.1358333333333,1,1,0,514,2,0,1
public-apis/public-apis,CLOSED,1746.8502777777778,1,0,1,514,5,2,2
public-apis/public-apis,CLOSED,1317.3280555555555,1,57,52,514,2,0,1
public-apis/public-apis,CLOSED,5545.265555555556,1,0,1,27,1,0,1
public-apis/public-apis,CLOSED,2763.221111111111,1,1,1,37,2,1,1
public-apis/public-apis,CLOSED,17.648333333333333,1,1,0,514,3,0,2
public-apis/public-apis,CLOSED,230.23416666666665,1,1,0,514,2,0,1
public-apis/public-apis,CLOSED,5983.858055555555,1,1,1,49,2,0,1
public-apis/public-apis,CLOSED,1398.6763888888888,1,1,1,514,2,1,1
public-apis/public-apis,CLOSED,1182.0669444444445,1,1,1,623,2,2,1
public-apis/public-apis,CLOSED,3050.1447222222223,1,1,1,514,2,0,1
public-apis/public-apis,CLOSED,9922.593611111111,1,0,1,125,2,1,1
public-apis/public-apis,CLOSED,10079.851111111111,1,1,0,514,2,1,1
public-apis/public-apis,MERGED,1097.9458333333334,2,347,248,514,6,0,4
public-apis/public-apis,CLOSED,3383.248888888889,1,1,1,514,3,1,1
public-apis/public-apis,CLOSED,34.45361111111111,1,1,0,514,2,0,1
public-apis/public-apis,CLOSED,38.913333333333334,1,1,0,514,3,0,1
public-apis/public-apis,CLOSED,9479.8825,1,1,1,514,3,1,2
public-apis/public-apis,CLOSED,7172.581388888889,1,3,0,514,3,2,1
public-apis/public-apis,CLOSED,133.1,1,1,0,514,2,1,1
public-apis/public-apis,CLOSED,1012.1894444444445,1,1,1,79,2,0,1
public-apis/public-apis,CLOSED,199.75666666666666,1,1,1,514,2,0,1
public-apis/public-apis,CLOSED,20783.598611111112,1,1,0,514,3,1,1
public-apis/public-apis,CLOSED,23674.004444444443,1,1,0,561,3,2,1
public-apis/public-apis,CLOSED,10007.43,1,2,0,514,6,6,2
public-apis/public-apis,CLOSED,128.63666666666666,1,1,0,514,3,1,1
public-apis/public-apis,CLOSED,183.11638888888888,1,1,0,514,4,1,2
public-apis/public-apis,CLOSED,358.7922222222222,1,1,0,514,3,1,1
public-apis/public-apis,CLOSED,654.4805555555556,1,3,2,514,3,2,1
public-apis/public-apis,CLOSED,370.1502777777778,1,1,0,514,3,10,1
public-apis/public-apis,CLOSED,39.59111111111111,1,1,0,514,2,1,1
public-apis/public-apis,CLOSED,41.76027777777778,1,2,0,514,3,1,1
public-apis/public-apis,MERGED,3.9994444444444444,1,1,0,514,2,0,1
public-apis/public-apis,MERGED,21.656111111111112,1,1,0,514,2,0,1
public-apis/public-apis,MERGED,40.84777777777778,1,1,0,514,2,0,1
public-apis/public-apis,MERGED,30.023333333333333,1,1,0,514,2,0,1
public-apis/public-apis,MERGED,12.5125,1,1,1,574,2,0,1
public-apis/public-apis,MERGED,72.34194444444445,1,1,0,521,3,1,1
public-apis/public-apis,MERGED,109.315,1,1,0,514,2,0,1
