repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
punkpeye/awesome-mcp-servers,CLOSED,147.415,1,1,0,0,1,0,1
punkpeye/awesome-mcp-servers,MERGED,55.689166666666665,7,7,0,0,2,1,1
punkpeye/awesome-mcp-servers,MERGED,102.73527777777778,1,1,0,139,3,2,1
punkpeye/awesome-mcp-servers,MERGED,104.3775,1,1,0,62,3,2,1
punkpeye/awesome-mcp-servers,MERGED,140.9113888888889,7,35,0,0,4,4,1
punkpeye/awesome-mcp-servers,MERGED,144.77,1,1,0,429,3,1,2
punkpeye/awesome-mcp-servers,MERGED,156.72972222222222,1,1,0,0,3,1,1
punkpeye/awesome-mcp-servers,MERGED,203.24916666666667,1,1,0,411,3,4,1
punkpeye/awesome-mcp-servers,MERGED,88.48416666666667,1,1,0,0,2,4,1
punkpeye/awesome-mcp-servers,MERGED,81.78611111111111,1,1,0,681,2,2,1
