repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
puppeteer/puppeteer,MERGED,6.203055555555555,2,3,3,117,2,0,1
puppeteer/puppeteer,MERGED,53.901944444444446,1,1,1,2112,1,0,1
puppeteer/puppeteer,MERGED,37.76444444444444,3,5,5,20752,1,0,1
puppeteer/puppeteer,MERGED,73.41222222222223,2,8,1,117,2,0,1
puppeteer/puppeteer,MERGED,10.072777777777778,2,45,68,128,2,2,3
puppeteer/puppeteer,MERGED,1.3427777777777778,3,32,7,210,2,0,1
puppeteer/puppeteer,MERGED,2.4005555555555556,4,23,6,275,2,0,2
puppeteer/puppeteer,MERGED,15.546944444444444,4,7,7,10284,1,0,1
puppeteer/puppeteer,MERGED,1.0016666666666667,4,26,14,60,2,0,1
puppeteer/puppeteer,CLOSED,20.801111111111112,13,727,10,190,2,0,5
puppeteer/puppeteer,MERGED,2.8575,6,132,17,0,2,0,3
puppeteer/puppeteer,MERGED,30.928055555555556,1,1,1,2112,1,1,1
puppeteer/puppeteer,CLOSED,36.38861111111111,3,6,6,8781,1,1,1
puppeteer/puppeteer,CLOSED,37.15,4,344,276,10747,1,1,1
puppeteer/puppeteer,MERGED,40.89222222222222,2,8,8,2723,1,0,1
puppeteer/puppeteer,MERGED,147.61083333333335,623,330,270,772,3,3,1
puppeteer/puppeteer,MERGED,1.0977777777777777,2,42,9,0,2,0,4
puppeteer/puppeteer,MERGED,1.058888888888889,4,55,44,213,2,0,7
puppeteer/puppeteer,MERGED,12.014166666666666,622,90,10,500,2,1,1
puppeteer/puppeteer,MERGED,1.8941666666666668,1,15,17,0,2,0,1
puppeteer/puppeteer,MERGED,1.2105555555555556,1,1,0,0,2,0,1
puppeteer/puppeteer,MERGED,56.33861111111111,6,602,454,21158,1,0,1
puppeteer/puppeteer,MERGED,105.66777777777777,5,18,18,14,3,1,10
puppeteer/puppeteer,MERGED,51.65277777777778,2,2,2,117,2,0,1
puppeteer/puppeteer,MERGED,118.8963888888889,4,98,32,199,2,2,2
