repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
python/cpython,CLOSED,3.8769444444444443,2,2,1,16,2,1,1
python/cpython,MERGED,11.421111111111111,15,35,11,16,2,2,1
python/cpython,MERGED,17.675555555555555,10,293,305,357,2,2,3
python/cpython,MERGED,1.4672222222222222,1,2,2,103,2,2,1
python/cpython,MERGED,23.325555555555557,1,1,1,212,3,0,1
python/cpython,MERGED,1.4033333333333333,2,4,3,99,3,0,1
python/cpython,MERGED,2.7430555555555554,2,4,3,99,4,0,1
python/cpython,MERGED,1.8125,1,13,0,315,4,0,1
python/cpython,MERGED,24.5725,1,1,0,110,4,0,1
python/cpython,MERGED,21.494722222222222,7,60,37,28,4,3,1
python/cpython,MERGED,29.138055555555557,3,104,29,471,4,4,3
python/cpython,MERGED,22.094722222222224,3,104,8,471,4,0,1
python/cpython,MERGED,21.974444444444444,3,104,8,471,4,0,1
python/cpython,MERGED,6.036666666666667,1,13,0,334,3,2,4
python/cpython,MERGED,27.240833333333335,5,28,1,475,2,12,3
python/cpython,MERGED,2.993333333333333,1,12,2,191,4,0,1
python/cpython,MERGED,2.1391666666666667,1,3,3,16,3,10,1
python/cpython,MERGED,5.6125,1,8,2,16,3,9,2
python/cpython,MERGED,31.440555555555555,2,5,5,145,4,1,1
python/cpython,MERGED,31.435555555555556,2,5,5,145,4,1,1
python/cpython,MERGED,4.4127777777777775,1,12,2,103,2,3,2
python/cpython,MERGED,1.0955555555555556,7,153,130,230,3,0,1
python/cpython,MERGED,6.916111111111111,7,153,130,230,4,1,1
python/cpython,MERGED,36.02333333333333,2,4,4,466,2,3,1
python/cpython,MERGED,14.363333333333333,1,1,1,16,3,3,1
python/cpython,MERGED,1.8677777777777778,13,38,39,103,2,5,1
python/cpython,MERGED,1.9875,1,34,22,172,2,2,1
python/cpython,MERGED,49.155,1,1,1,196,4,1,1
python/cpython,MERGED,1.5477777777777777,1,618,624,286,3,0,1
python/cpython,MERGED,43.2875,3,66,0,16,5,10,6
python/cpython,MERGED,31.121111111111112,3,65,0,16,4,4,1
python/cpython,MERGED,31.206666666666667,3,65,0,16,3,0,1
python/cpython,MERGED,43.80638888888889,3,65,0,16,6,1,2
python/cpython,MERGED,21.27111111111111,3,65,0,16,4,1,1
python/cpython,MERGED,5.003055555555555,1,1,1,310,3,0,2
python/cpython,MERGED,4.9575,1,1,1,242,3,7,5
python/cpython,MERGED,70.60722222222222,3,51,0,138,3,2,2
python/cpython,MERGED,1.9194444444444445,1,0,1,193,4,0,1
python/cpython,MERGED,68.81333333333333,8,306,149,48,8,16,8
python/cpython,MERGED,4.056388888888889,4,9,8,99,3,0,1
python/cpython,MERGED,4.700555555555556,1,8,1,81,3,4,3
python/cpython,MERGED,4.5625,1,7,1,135,4,1,1
python/cpython,MERGED,7.577222222222222,1,10,7,257,4,0,1
python/cpython,MERGED,6.768611111111111,5,17,12,103,2,4,1
python/cpython,MERGED,56.64083333333333,2,4,3,16,2,3,1
python/cpython,MERGED,1.4175,2,5,4,103,4,4,10
python/cpython,MERGED,9.688333333333333,1,7,1,31,3,4,1
python/cpython,MERGED,76.81,2,7,1,499,4,0,1
python/cpython,CLOSED,23.394166666666667,3,20,0,821,2,7,1
python/cpython,MERGED,21.664444444444445,2,17,1,349,6,18,2
python/cpython,MERGED,48.73833333333334,1,618,624,185,2,2,2
python/cpython,MERGED,13.036944444444444,1,2,3,106,3,0,1
python/cpython,CLOSED,7.778333333333333,6,24,4,1901,3,2,2
python/cpython,MERGED,37.4125,2,274,178,143,2,3,1
python/cpython,MERGED,60.213055555555556,1,0,1,268,5,4,3
python/cpython,MERGED,19.64388888888889,3,37,0,276,2,3,2
python/cpython,MERGED,1.353888888888889,1,1,1,516,4,0,1
python/cpython,MERGED,120.77027777777778,2,2,3,102,3,0,1
python/cpython,MERGED,68.18277777777777,3,49,0,214,3,6,4
python/cpython,MERGED,20.174722222222222,1,0,2,20,3,3,1
python/cpython,MERGED,29.905277777777776,1,180,158,212,3,0,1
python/cpython,MERGED,122.90083333333334,1,3,1,997,2,0,1
python/cpython,MERGED,1.6858333333333333,1,8,2,16,2,3,3
python/cpython,MERGED,1.5430555555555556,1,0,21,104,2,2,1
python/cpython,MERGED,8.875,1,1,1,279,5,7,6
python/cpython,MERGED,4.142222222222222,1,6,2,204,4,3,1
python/cpython,MERGED,148.42166666666665,1,4,4,399,4,6,4
python/cpython,MERGED,3.025,1,6,2,542,2,6,1
python/cpython,MERGED,27.939722222222223,2,14,35,116,3,3,3
python/cpython,MERGED,4.9425,1,3,1,103,3,1,1
python/cpython,MERGED,146.35916666666665,2,42,32,126,3,0,1
python/cpython,MERGED,153.18555555555557,2,42,32,126,3,0,1
python/cpython,MERGED,172.73777777777778,4,10,20,127,3,0,2
python/cpython,MERGED,1.6691666666666667,2,6,0,168,3,0,1
python/cpython,MERGED,1.3913888888888888,2,6,0,168,4,0,1
python/cpython,MERGED,15.179722222222223,1,58,46,212,3,0,3
python/cpython,MERGED,13.639722222222222,2,1454,1444,303,3,1,1
python/cpython,MERGED,22.823333333333334,7,653,630,140,2,3,3
python/cpython,MERGED,12.845833333333333,2,6,0,157,2,3,1
python/cpython,MERGED,15.61111111111111,1,1,1,0,3,1,2
python/cpython,MERGED,1.74,2,3,1,372,4,2,3
python/cpython,MERGED,178.06472222222223,6,134,19,493,4,0,1
python/cpython,MERGED,22.278055555555557,1,58,46,103,4,4,5
python/cpython,MERGED,2.4005555555555556,1,13,8,54,2,0,1
python/cpython,CLOSED,21.68611111111111,3,33,2,99,3,3,1
python/cpython,MERGED,185.81055555555557,1,10,5,211,4,0,1
python/cpython,MERGED,185.5872222222222,1,10,5,211,3,1,1
python/cpython,MERGED,3.2155555555555555,1,7,5,211,3,0,1
python/cpython,MERGED,69.08694444444444,1,181,159,403,3,3,22
python/cpython,CLOSED,1.6088888888888888,1,70,59,388,4,4,2
python/cpython,MERGED,1.4008333333333334,1,10,0,198,4,0,1
python/cpython,MERGED,44.76444444444444,4,10,20,439,4,6,1
python/cpython,MERGED,53.37083333333333,4,55,2,427,4,3,1
python/cpython,MERGED,161.2761111111111,3,65,0,31,5,38,44
